,log2FC,t,p,mean_case,mean_ctrl,FDR,n_case,n_ctrl,dataset,contrast,axis
HAPLN1,-0.9639275089867692,-40.23382052899211,3.886598420498094e-06,2.0473536800721175,3.0112811890588866,0.06773175067402029,3,3,GSE212311_CCI_DRG,CCI_vs_Sham,DRG
APLP2,-0.27811505705580863,-26.963398198458215,1.2378911036640829e-05,7.008856255037851,7.28697131209366,0.07538087798935376,3,3,GSE212311_CCI_DRG,CCI_vs_Sham,DRG
MAP1LC3B,0.2595125405731933,26.07357652208469,1.2976567049294846e-05,7.281004378001664,7.021491837428471,0.07538087798935376,3,3,GSE212311_CCI_DRG,CCI_vs_Sham,DRG
SYT12,-0.3292108553578834,-23.004117079588816,2.8361888000151047e-05,2.0785611357138962,2.4077719910717796,0.12356565554465808,3,3,GSE212311_CCI_DRG,CCI_vs_Sham,DRG
DDAH1,0.1927207007241476,20.210887823396074,4.040977254904933e-05,4.584055060020542,4.391334359296394,0.14084422124245652,3,3,GSE212311_CCI_DRG,CCI_vs_Sham,DRG
RORC;LINGO4,-0.37442494091051204,-22.835191752979608,8.284604118021423e-05,0.5875376022737536,0.9619625431842657,0.20054933790246984,3,3,GSE212311_CCI_DRG,CCI_vs_Sham,DRG
HECW1,-0.3001086822100656,-16.13884187950673,9.161824879917174e-05,3.5682333315161134,3.868342013726179,0.20054933790246984,3,3,GSE212311_CCI_DRG,CCI_vs_Sham,DRG
USP37,0.7106952647064486,35.1415890766191,9.939136448142414e-05,2.8182245358339877,2.107529271127539,0.20054933790246984,3,3,GSE212311_CCI_DRG,CCI_vs_Sham,DRG
SMIM18,-0.4771572794142154,-17.71765252705625,0.00011556478785649109,2.1820008058392584,2.6591580852534737,0.20054933790246984,3,3,GSE212311_CCI_DRG,CCI_vs_Sham,DRG
CNNM1,-0.4019260612956326,-21.441430816812588,0.00011748139736364593,3.268946919004611,3.670872980300244,0.20054933790246984,3,3,GSE212311_CCI_DRG,CCI_vs_Sham,DRG
ASCC3,0.12255695794025279,17.489787249768327,0.0001334987603004514,2.9454609255981627,2.82290396765791,0.20054933790246984,3,3,GSE212311_CCI_DRG,CCI_vs_Sham,DRG
CHDH,0.3524034668831142,21.07114360615131,0.0001391288890730866,3.2977533512852575,2.9453498844021433,0.20054933790246984,3,3,GSE212311_CCI_DRG,CCI_vs_Sham,DRG
SUV39H2,-0.20518850128007093,-15.005565251653655,0.00015873730070176882,1.5070607288558555,1.7122492301359264,0.20054933790246984,3,3,GSE212311_CCI_DRG,CCI_vs_Sham,DRG
B4GALT2,0.2551942919186465,32.53980562516223,0.0001723274334326818,2.0660178868796035,1.810823594960957,0.20054933790246984,3,3,GSE212311_CCI_DRG,CCI_vs_Sham,DRG
