,log2FC,t,p,mean_case,mean_ctrl,FDR,n_case,n_ctrl,dataset,contrast,axis
CCL7,-1.3569753987676836,-27.696994149651438,1.115444862567681e-06,1.8977287198678816,3.254704118635565,0.011652676939480492,4,4,GSE241361_S1R_DRG,KO_vs_WT_SNI,DRG
GM10874,3.3059302148261187,20.81332174502048,1.2169384161394868e-06,3.51827739104987,0.21234717622375138,0.011652676939480492,4,4,GSE241361_S1R_DRG,KO_vs_WT_SNI,DRG
4930447C04RIK,-2.4781012118517065,-19.13598863421428,1.941423028826484e-06,1.05424586699578,3.5323470788474864,0.011652676939480492,4,4,GSE241361_S1R_DRG,KO_vs_WT_SNI,DRG
CCL8,-2.5549147411324853,-17.98801107960398,1.977292146011198e-06,1.6821256470579378,4.237040388190423,0.011652676939480492,4,4,GSE241361_S1R_DRG,KO_vs_WT_SNI,DRG
GM1976,1.1251981068164256,12.79914133094379,2.0783940177484233e-05,4.317448863364599,3.1922507565481735,0.09798796436076716,4,4,GSE241361_S1R_DRG,KO_vs_WT_SNI,DRG
SLC6A2,-0.6273682680749886,-12.01614240626578,2.6365006453478996e-05,0.3251323129981206,0.9525005810731092,0.09933383558168789,4,4,GSE241361_S1R_DRG,KO_vs_WT_SNI,DRG
H2-EA,-3.4366875037261737,-13.4435207843831,2.949717257336e-05,0.6603099540357508,4.096997457761924,0.09933383558168789,4,4,GSE241361_S1R_DRG,KO_vs_WT_SNI,DRG
GM5468,0.791418226637699,11.822276001001871,3.505290574429052e-05,1.0476112650818028,0.2561930384441038,0.10328776838877005,4,4,GSE241361_S1R_DRG,KO_vs_WT_SNI,DRG
SPATA31F3,0.909657288089985,10.382364976447416,5.070330314748938e-05,1.2048967643545214,0.2952394762645364,0.11311339374386814,4,4,GSE241361_S1R_DRG,KO_vs_WT_SNI,DRG
CXCL10,-1.563916310847439,-10.267348434462717,5.8171290953197586e-05,1.2348686047468644,2.7987849155943034,0.11311339374386814,4,4,GSE241361_S1R_DRG,KO_vs_WT_SNI,DRG
GM3716,-1.050961233909626,-10.29348912087653,6.138292320412089e-05,0.3635176231607571,1.414478857070383,0.11311339374386814,4,4,GSE241361_S1R_DRG,KO_vs_WT_SNI,DRG
H60B,-0.7244367635459779,-9.886811955576304,6.274523256938702e-05,0.15005664611099506,0.8744934096569729,0.11311339374386814,4,4,GSE241361_S1R_DRG,KO_vs_WT_SNI,DRG
4930447K03RIK,0.2789890062355144,9.821931450221504,6.818743944067912e-05,0.31186954331056915,0.032880537075054714,0.11311339374386814,4,4,GSE241361_S1R_DRG,KO_vs_WT_SNI,DRG
