,log2FC,t,p,mean_case,mean_ctrl,FDR,n_case,n_ctrl,dataset,contrast,axis
CD207,2.278825705249294,29.876423827540563,6.686908854515905e-08,2.4614011322168885,0.18257542696759457,0.0015902806637809726,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
GPR151,5.68366785293801,23.06218633253874,1.530256008516548e-06,7.091284146270406,1.407616293332397,0.012994798663292126,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
MCOLN2,2.710677158532717,20.504921901861557,2.3371291128738637e-06,3.1073141965460476,0.3966370380133306,0.012994798663292126,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
NPY,6.941345313228696,27.434870896472145,2.670833515644837e-06,7.29972714883853,0.3583818356098332,0.012994798663292126,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
LMO7,3.5432639348729698,16.33294888231936,2.7320659875729806e-06,7.294887635501437,3.7516237006284676,0.012994798663292126,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
NTS,5.616171748918931,17.08589158335802,3.6188184614734596e-06,8.77170940634009,3.155537657421159,0.014343790108460304,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
SLC6A4,4.272587054966406,13.047776742148478,7.503604141584612e-06,5.2925209688726955,1.0199339139062897,0.02392387143186349,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
IGFN1,4.087728335712915,11.405924620396727,8.939911152372588e-06,4.711233978597497,0.6235056428845823,0.02392387143186349,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
GAL,6.4687244853204495,35.883494019436164,9.053689466267405e-06,10.442422672330501,3.9736981870100516,0.02392387143186349,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
LTC4S,0.9980346443076751,10.840557883495002,1.4111099754787343e-05,1.743844231343671,0.745809587035996,0.03355901743683526,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
FCRL2,2.10441199494461,10.910790535724468,1.5949342424536615e-05,6.31618988107285,4.21177788612824,0.03448247832184816,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
