,log2FC,t,p,mean_case,mean_ctrl,FDR,n_case,n_ctrl,dataset,contrast,axis
CRYBB1,0.7441472417369559,39.372630627190944,4.774832098970103e-09,1.7912934581155335,1.0471462163785776,0.00011004555538496396,4,5,GSE241361_S1R_SC,SNI_vs_Naive_WT_SC,SC
HEXB,0.9119598271514224,23.21274009484582,6.986907319626075e-08,7.713171577663896,6.801211750512474,0.0008051362649771108,4,5,GSE241361_S1R_SC,SNI_vs_Naive_WT_SC,SC
IL10RA,0.8730038059967273,21.172610923042566,1.591668965912772e-07,3.7382311505173145,2.865227344520587,0.0012227731552463886,4,5,GSE241361_S1R_SC,SNI_vs_Naive_WT_SC,SC
NCKAP1L,1.0177569217661033,32.1568078994117,3.6531756712732325e-07,4.964224288500882,3.9464673667347783,0.0015856994438765868,4,5,GSE241361_S1R_SC,SNI_vs_Naive_WT_SC,SC
CSF1R,1.0590371852706788,17.950377368658703,4.196711500911757e-07,7.46889725825849,6.4098600729878115,0.0015856994438765868,4,5,GSE241361_S1R_SC,SNI_vs_Naive_WT_SC,SC
GM5691,-0.06721530706219829,-59.15490463389026,4.890590237688749e-07,0.0,0.06721530706219829,0.0015856994438765868,4,5,GSE241361_S1R_SC,SNI_vs_Naive_WT_SC,SC
CD53,0.9566204757949217,17.513848598664335,5.636232011245877e-07,4.0613897807890105,3.1047693049940888,0.0015856994438765868,4,5,GSE241361_S1R_SC,SNI_vs_Naive_WT_SC,SC
C1QC,1.4140241824864876,19.121320133594544,5.664012863725355e-07,5.998262217401598,4.58423803491511,0.0015856994438765868,4,5,GSE241361_S1R_SC,SNI_vs_Naive_WT_SC,SC
FCGR1,1.2806497465461755,18.80973460065144,6.660186285133271e-07,3.4866648469489228,2.2060151004027473,0.0015856994438765868,4,5,GSE241361_S1R_SC,SNI_vs_Naive_WT_SC,SC
CX3CR1,1.006862162210913,18.519186370871797,7.111190613641182e-07,6.308393846382268,5.301531684171355,0.0015856994438765868,4,5,GSE241361_S1R_SC,SNI_vs_Naive_WT_SC,SC
C1QA,1.1734365038712715,17.587282853721682,7.856694472712115e-07,6.223001791970923,5.049565288099651,0.0015856994438765868,4,5,GSE241361_S1R_SC,SNI_vs_Naive_WT_SC,SC
