,log2FC,t,p,mean_case,mean_ctrl,FDR,n_case,n_ctrl,dataset,contrast,axis
LMNTD1,0.20899056556847198,5.384475240574079,7.587837947737443e-05,0.20899056556847198,0.0,0.6126703741883478,16,8,GSE267799_SMIR_DRG,acute_vs_baseline,DRG
RBM12B,0.2785753755301559,5.354098618654971,0.00015893240881174536,3.532205707204827,3.253630331674671,0.6126703741883478,16,8,GSE267799_SMIR_DRG,acute_vs_baseline,DRG
ZFP799,0.34009529760663204,4.386296590730403,0.0002364403946312578,3.375047768327305,3.0349524707206728,0.6126703741883478,16,8,GSE267799_SMIR_DRG,acute_vs_baseline,DRG
KRT8,0.4191986579936464,4.442857930541625,0.00023865286568635805,3.8336488928690478,3.4144502348754013,0.6126703741883478,16,8,GSE267799_SMIR_DRG,acute_vs_baseline,DRG
ACAA1A,0.246821674702014,4.742538252979084,0.0002853192491578703,4.795685370661545,4.548863695959531,0.6126703741883478,16,8,GSE267799_SMIR_DRG,acute_vs_baseline,DRG
KRIT1,0.17533476609272913,4.28779081930526,0.0003009313044987085,5.888969444888283,5.713634678795554,0.6126703741883478,16,8,GSE267799_SMIR_DRG,acute_vs_baseline,DRG
DHTKD1,0.18382416520424094,4.272389190743856,0.0003122739691587446,4.619135271892272,4.435311106688031,0.6126703741883478,16,8,GSE267799_SMIR_DRG,acute_vs_baseline,DRG
IL17RB,-0.34109853124103395,-4.315897967309336,0.00032648306300225394,2.5481811853881755,2.8892797166292095,0.6126703741883478,16,8,GSE267799_SMIR_DRG,acute_vs_baseline,DRG
CHODL,-0.5500270090108725,-4.1852878435082115,0.0003839184318038909,3.4910338116222586,4.041060820633131,0.6126703741883478,16,8,GSE267799_SMIR_DRG,acute_vs_baseline,DRG
S1PR2,0.2944648858897212,4.365849161895648,0.0003868845505104495,4.01208519243437,3.7176203065446485,0.6126703741883478,16,8,GSE267799_SMIR_DRG,acute_vs_baseline,DRG
ASPRV1,0.14185917921487234,4.448805398945871,0.0004688286246608505,0.14185917921487234,0.0,0.6749427363753845,16,8,GSE267799_SMIR_DRG,acute_vs_baseline,DRG
NPPB,0.6638736769914747,4.161883215384341,0.000582476357740521,1.1402106171691855,0.4763369401777108,0.7686746334315742,16,8,GSE267799_SMIR_DRG,acute_vs_baseline,DRG
DUOXA1,-0.4574126029628267,-4.463419942877819,0.0006401140573115577,0.745367761636468,1.2027803645992947,0.7797574008912176,16,8,GSE267799_SMIR_DRG,acute_vs_baseline,DRG
CTNNA1,0.15521730175760418,4.068104328236764,0.0008310549053389842,8.052918379423842,7.8977010776662375,0.9119199998202719,16,8,GSE267799_SMIR_DRG,acute_vs_baseline,DRG
PLK2,0.3250300891287363,3.925992167924348,0.0009278531085269994,5.591420910941927,5.26639082181319,0.9119199998202719,16,8,GSE267799_SMIR_DRG,acute_vs_baseline,DRG
