,log2FC,t,p,mean_case,mean_ctrl,FDR,n_case,n_ctrl,dataset,contrast,axis
NR1D1,1.2314662137712853,5.927774769565225,2.969945258301325e-06,4.931767718244927,3.700301504473642,0.0472934082931903,12,16,GSE267799_SMIR_DRG,chronic_vs_acute,DRG
MEGF11,0.6675233764167869,5.636705061731085,7.090846488057327e-06,1.5553094469909727,0.8877860705741858,0.05645731973791244,12,16,GSE267799_SMIR_DRG,chronic_vs_acute,DRG
HSPA5,-0.25732762796885567,-4.630373559179847,9.294166029870333e-05,8.755631270628955,9.01295889859781,0.4031241874430957,12,16,GSE267799_SMIR_DRG,chronic_vs_acute,DRG
ALDH3A1,-0.6130563138712731,-4.622649015432595,0.00010126204155817526,0.6481801349752735,1.2612364488465466,0.4031241874430957,12,16,GSE267799_SMIR_DRG,chronic_vs_acute,DRG
CRY1,-0.5341204340609171,-4.620780434712347,0.00015079537236067412,2.9938448505079407,3.527965284568858,0.41166878209501373,12,16,GSE267799_SMIR_DRG,chronic_vs_acute,DRG
MYRF,0.3821842121861332,4.398764882007687,0.00016448940975821665,3.8629483017518864,3.4807640895657532,0.41166878209501373,12,16,GSE267799_SMIR_DRG,chronic_vs_acute,DRG
NPPB,-0.5865398051411578,-4.381443998093455,0.00018096467436982518,0.5536708120280277,1.1402106171691855,0.41166878209501373,12,16,GSE267799_SMIR_DRG,chronic_vs_acute,DRG
BNIP1,-0.22088588988875513,-4.285838062294707,0.0002888030245794425,3.940904989207364,4.161790879096119,0.4652817492843359,12,16,GSE267799_SMIR_DRG,chronic_vs_acute,DRG
NEK6,-0.17897985945507422,-4.190908105233253,0.0002891990532598727,6.142560634516468,6.3215404939715425,0.4652817492843359,12,16,GSE267799_SMIR_DRG,chronic_vs_acute,DRG
LRRTM3,-0.30033008989588517,-4.158429322729851,0.00031102385614749123,3.164161105905807,3.464491195801692,0.4652817492843359,12,16,GSE267799_SMIR_DRG,chronic_vs_acute,DRG
NOS1,0.6153205733022062,4.11577169990811,0.0004153740806671424,3.246909771068422,2.631589197766216,0.4652817492843359,12,16,GSE267799_SMIR_DRG,chronic_vs_acute,DRG
HSPA12B,0.2680112840329114,4.043116292936217,0.00041775334858808584,4.309794347631131,4.04178306359822,0.4652817492843359,12,16,GSE267799_SMIR_DRG,chronic_vs_acute,DRG
ACSM1,-0.2274286515835383,-4.167534114456945,0.0004181683426760682,0.12059101086935575,0.34801966245289406,0.4652817492843359,12,16,GSE267799_SMIR_DRG,chronic_vs_acute,DRG
CD80,0.4450195025970993,4.04753378735244,0.0004502388584255464,1.0488291492028752,0.6038096466057759,0.4652817492843359,12,16,GSE267799_SMIR_DRG,chronic_vs_acute,DRG
MECOM,0.3843514459098376,3.994981917682179,0.000473935705003726,2.9402182187850268,2.555866772875189,0.4652817492843359,12,16,GSE267799_SMIR_DRG,chronic_vs_acute,DRG
GTPBP8,-0.27676080693872995,-4.052960535648884,0.0005061365036459612,3.1402046934610275,3.4169655003997574,0.4652817492843359,12,16,GSE267799_SMIR_DRG,chronic_vs_acute,DRG
DDIT3,-0.27229414380152495,-3.9611243720667613,0.0005329522669103772,4.82645166105221,5.098745804853735,0.4652817492843359,12,16,GSE267799_SMIR_DRG,chronic_vs_acute,DRG
SNORD2,0.16033090255533042,3.9148529724842964,0.0005997833603702494,0.38561987840977024,0.22528897585443983,0.4652817492843359,12,16,GSE267799_SMIR_DRG,chronic_vs_acute,DRG
ERGIC1,0.2146907770180153,3.989745373744317,0.0006199936272222714,5.047745150962093,4.833054373944078,0.4652817492843359,12,16,GSE267799_SMIR_DRG,chronic_vs_acute,DRG
WIPI2,0.12623858294637103,3.8981180867336223,0.00063234289366079,5.610492882621902,5.484254299675531,0.4652817492843359,12,16,GSE267799_SMIR_DRG,chronic_vs_acute,DRG
TMEM220,0.3347963873635047,3.8847370371308045,0.0006396658601409365,1.9044452565881544,1.5696488692246497,0.4652817492843359,12,16,GSE267799_SMIR_DRG,chronic_vs_acute,DRG
SOCS2,0.3740553937223696,3.933555047259833,0.0006686545093920736,3.323888095926262,2.9498327022038926,0.4652817492843359,12,16,GSE267799_SMIR_DRG,chronic_vs_acute,DRG
CCT6A,-0.14412852776202723,-4.052664130722859,0.0006720346793230173,7.977978719748477,8.122107247510504,0.4652817492843359,12,16,GSE267799_SMIR_DRG,chronic_vs_acute,DRG
CIAO1,-0.1307609223002819,-3.8548022371026605,0.0007137175954639098,5.923190960967499,6.053951883267781,0.47135039545402835,12,16,GSE267799_SMIR_DRG,chronic_vs_acute,DRG
SNORD54,-0.09998086344660256,-3.824150517724815,0.0007399999928630186,0.059627187748409825,0.1596080511950124,0.47135039545402835,12,16,GSE267799_SMIR_DRG,chronic_vs_acute,DRG
C7H22ORF23,-0.3137965856552072,-3.845891884611046,0.0007909363013627504,1.83717967389592,2.1509762595511273,0.48441806395770914,12,16,GSE267799_SMIR_DRG,chronic_vs_acute,DRG
CCT3,-0.16241952549742056,-3.82046086891569,0.0008228415957338272,7.992578342285586,8.154997867783006,0.4852936877950172,12,16,GSE267799_SMIR_DRG,chronic_vs_acute,DRG
IMMT,-0.12042427802712208,-3.8183738745323184,0.000857523317449616,7.586310472717067,7.7067347507441895,0.487685760966703,12,16,GSE267799_SMIR_DRG,chronic_vs_acute,DRG
ROBO1,0.22941380533325617,3.78374605865783,0.0009627278636135774,5.003684080929735,4.7742702755964785,0.5100271626824004,12,16,GSE267799_SMIR_DRG,chronic_vs_acute,DRG
ABLIM3,0.26922593485070845,3.700709767562019,0.0010153930255482418,5.220850794923423,4.951624860072714,0.5100271626824004,12,16,GSE267799_SMIR_DRG,chronic_vs_acute,DRG
PDIA4,-0.2567665693152694,-3.6923222149448116,0.0010798648361992386,6.725296401458627,6.982062970773897,0.5100271626824004,12,16,GSE267799_SMIR_DRG,chronic_vs_acute,DRG
