,log2FC,t,p,mean_case,mean_ctrl,FDR,n_case,n_ctrl,dataset,contrast,axis
DUOXA1,-0.6400687027919371,-5.54590787747361,4.339069516510426e-05,0.5627116618073577,1.2027803645992947,0.5086174315700788,12,8,GSE267799_SMIR_DRG,chronic_vs_baseline,DRG
ZFP799,0.35699533734073174,5.1845782487429695,6.437380478041751e-05,3.3919478080614045,3.0349524707206728,0.5086174315700788,12,8,GSE267799_SMIR_DRG,chronic_vs_baseline,DRG
EOGT,0.24128097277267901,4.535457527303793,0.0002831088150526358,5.02458306691346,4.783302094140781,0.7357806336699702,12,8,GSE267799_SMIR_DRG,chronic_vs_baseline,DRG
CYP21A1,0.3895449037354796,4.535339632924088,0.00031259148190660607,0.45834161180058747,0.06879670806510783,0.7357806336699702,12,8,GSE267799_SMIR_DRG,chronic_vs_baseline,DRG
KRIT1,0.16173811615456746,4.447260293552387,0.00031277445077631806,5.875372794950121,5.713634678795554,0.7357806336699702,12,8,GSE267799_SMIR_DRG,chronic_vs_baseline,DRG
FYB2,0.331221595176395,4.213083712931622,0.0005303663048144348,0.39893758123150175,0.06771598605510676,0.7357806336699702,12,8,GSE267799_SMIR_DRG,chronic_vs_baseline,DRG
CHODL,-0.566311769223987,-4.191103423220029,0.0005785060323852597,3.474749051409144,4.041060820633131,0.7357806336699702,12,8,GSE267799_SMIR_DRG,chronic_vs_baseline,DRG
CDHR5,0.4295934460296509,4.219658246471953,0.0006150412624474769,1.6193452549905245,1.1897518089608736,0.7357806336699702,12,8,GSE267799_SMIR_DRG,chronic_vs_baseline,DRG
AHCYL2,0.17307223375597403,4.262963966117497,0.0007423507378238488,7.4998334959056825,7.3267612621497085,0.7357806336699702,12,8,GSE267799_SMIR_DRG,chronic_vs_baseline,DRG
SPATA6L,0.3855265620042565,4.036624032555023,0.0007964268842317438,1.323679320178232,0.9381527581739755,0.7357806336699702,12,8,GSE267799_SMIR_DRG,chronic_vs_baseline,DRG
PLIN1,0.5281922563659703,4.397863080579002,0.0008372899225912634,0.555659919248351,0.0274676628823807,0.7357806336699702,12,8,GSE267799_SMIR_DRG,chronic_vs_baseline,DRG
VIP,1.5875816153886109,4.284596046968275,0.0010460322844307894,1.79695066610831,0.20936905071969913,0.7357806336699702,12,8,GSE267799_SMIR_DRG,chronic_vs_baseline,DRG
LSM6L1,-0.27584206948022993,-3.890173915676234,0.0011548063098100927,2.372620910341429,2.648462979821659,0.7357806336699702,12,8,GSE267799_SMIR_DRG,chronic_vs_baseline,DRG
