,log2FC,t,p,mean_case,mean_ctrl,FDR,n_case,n_ctrl,dataset,contrast,axis
ATF3,4.925770655181511,49.94566122679121,5.0055236488080045e-27,8.190507197700299,3.2647365425187878,8.815227697915777e-23,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
STAC2,5.70250300727105,51.876425004661925,1.810372506955711e-24,6.6636089245711165,0.9611059173000672,1.5941235109998513e-20,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
REG3B,4.798846047860891,38.61993094397255,5.77418491847384e-24,5.74298866697014,0.9441426191092488,3.3896390199747595e-20,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
TGM1,4.546891661370772,42.48996224877889,2.3484003331363865e-23,5.813665049510389,1.2667733881396173,1.0339419566716226e-19,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
SBNO2,1.7999848767654916,34.38589369364601,1.9125906220197156e-22,6.8664592843246055,5.066474407559114,6.736526688877842e-19,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
SSC5D,1.7942377317844365,31.343774493414415,4.04191879505629e-22,6.926318233321548,5.132080501537112,1.186370531662272e-18,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
DNAH3,2.321755165619725,31.09451797236249,1.0155850384073871e-21,2.7523461100826863,0.43059094446296114,2.5550668730560705e-18,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
SMAGP,2.992104809907798,40.12778761973834,1.7204534788427073e-21,4.111279037367493,1.119174227459695,3.521158130384758e-18,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
GAL,4.667659541771869,33.31433766149438,1.799467558540845e-21,7.494290971930158,2.826631430158289,3.521158130384758e-18,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
VGF,2.634080455067248,35.50419527194185,2.285869131006324e-21,8.077297902253894,5.443217447186647,4.025644126615238e-18,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
NPY,7.313084139062974,40.48046641872254,5.243097580921335e-21,8.38008111233287,1.0669969732698958,8.394199227055058e-18,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
CDHR5,2.6200538765555264,30.535530892145438,7.184019098234042e-21,3.698328724368183,1.0782748478126563,1.0543146694916641e-17,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
MAP7D1,0.6117917683229441,27.738120184278998,7.972669268299368e-21,8.219812825849846,7.608021057526902,1.0800513729540012e-17,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
ADCYAP1,2.1039958842865616,37.60690093579701,1.3378056151832789e-20,8.108385260146841,6.0043893758602795,1.682863906356623e-17,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
MISP3,1.8994160308939787,26.82463212986708,2.2427143929945612e-20,3.713682417868568,1.8142663869745894,2.4984268779352784e-17,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
GADD45G,1.919122245138222,26.94254061795904,2.2698784877045286e-20,5.250663311153153,3.3315410660149314,2.4984268779352784e-17,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
