,log2FC,t,p,mean_case,mean_ctrl,FDR,n_case,n_ctrl,dataset,contrast,axis
ATF3,5.150782297309643,38.80827301517181,7.850569079192692e-14,8.256713894229463,3.1059315969198202,7.77443376898459e-10,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
ANKRD1,3.522521456059938,38.33007293135995,9.009135835198551e-14,3.932607554235637,0.4100860981756989,7.77443376898459e-10,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
STAC2,5.800561671678034,44.091384656821546,9.056945367812838e-13,6.825982024021121,1.025420352343087,5.210460670102726e-09,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
CACNB1,0.9357193217637088,27.42419556066118,3.5365588260812217e-12,6.711121547776012,5.775402226012304,1.5259367194833952e-08,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
TGM1,4.675534397075667,31.685123858334777,9.03177589692272e-12,5.868157856341265,1.1926234592655969,3.117588404099784e-08,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
ADCYAP1,2.1720695944609663,27.233124960026803,1.2164624992662754e-11,8.151657435030398,5.979587840569431,3.4991543791394413e-08,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
SPR,1.2088705281442085,31.282327727119547,1.7516114739698004e-11,5.2109626393578266,4.002092111213618,4.054499150307343e-08,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
MISP3,1.8832211794530698,23.711162381512786,2.028592187067634e-11,3.787481109210254,1.904259929757184,4.054499150307343e-08,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
SERPINB2,2.0753314096039244,25.90648116214466,2.1142877543754615e-11,2.180900525184841,0.10556911558091651,4.054499150307343e-08,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
REG3B,4.764788605611711,22.826582486907828,3.1090231438198694e-11,5.740221114591796,0.9754325089800845,5.257654360266049e-08,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
DGCR6,1.1863450832714877,22.590024385870695,3.350958801954142e-11,7.2232949802738275,6.03694989700234,5.257654360266049e-08,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
GADD45G,2.0061336141079087,22.115544084021373,4.5366212914336696e-11,5.328390572834607,3.3222569587266984,6.524795572404475e-08,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
DNAH3,2.28432496600264,21.53571000458302,5.870468089490007e-11,2.7557044352441515,0.4713794692415116,7.793723750500618e-08,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
QDPR,0.8020186263963964,21.652256922980495,6.784343789613361e-11,7.986816204906803,7.184797578510406,8.363642104638356e-08,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
CDHR5,2.646289436716435,21.078922780513697,8.827278489443036e-11,3.7183458458059904,1.0720564090895555,1.0156666629953157e-07,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
NKAIN1,1.7872295851422768,20.343292459576055,1.1812861915938056e-10,4.501756163796868,2.714526578654591,1.2742386487948431e-07,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
KRI1,0.42759824355071885,19.904276751911294,1.490021018924023e-10,5.535283670667484,5.107685427116765,1.454488093696335e-07,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
HECW1,-1.1507108047344605,-19.86517434680713,1.516935261981229e-10,6.233905589750933,7.384616394485393,1.454488093696335e-07,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
ZDHHC18,0.831239706180849,21.118290071501953,1.617160475967056e-10,7.356916152106707,6.525676445925858,1.4689775081429167e-07,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
SLC4A8,1.2258986791549855,19.81613272277722,2.1397852679547587e-10,6.7873045128205804,5.561405833665595,1.7229511941696957e-07,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
ARNT2,0.5435595049716575,19.250314440843947,2.1778314909183736e-10,6.179063664873614,5.635504159901957,1.7229511941696957e-07,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
SBNO2,1.7466968393377043,19.93599149711753,2.1962411652896058e-10,6.866571860831644,5.1198750214939395,1.7229511941696957e-07,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
PLEKHA2,1.0554603601094836,19.524448042430876,2.306055133697491e-10,6.9346175630884686,5.879157202978985,1.7304437196732605e-07,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
TUBB2B,1.3319795647491741,23.91179696577836,2.477532764333409e-10,10.608305106952752,9.276325542203578,1.7363588754930425e-07,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
CCNF,1.271017414383712,19.243235827506926,2.5151498862811324e-10,3.009920729614351,1.7389033152306388,1.7363588754930425e-07,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
SMAGP,3.0434205419555815,28.745902709770903,2.7929069884386045e-10,4.2043908083708885,1.160970266415307,1.8539531428254568e-07,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
CCKBR,3.2779823820358303,30.139514021712472,3.348771656252414e-10,3.7999839589161115,0.5220015768802815,2.1310592290090674e-07,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
