,log2FC,t,p,mean_case,mean_ctrl,FDR,n_case,n_ctrl,dataset,contrast,axis
REG3B,3.586986673617215,18.65580842732937,5.276771495826414e-09,4.580699217864211,0.9937125442469962,9.038054218051481e-05,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
ATF3,4.558978281176884,18.002409328474638,7.493306214329541e-08,8.08438052970137,3.525402248524486,0.00047529485435143613,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
ALKAL2,3.2705473117909287,15.312154671405994,8.324874842680456e-08,4.339610030193348,1.0690627184024188,0.00047529485435143613,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
CSMD3,-0.6816722087174325,-11.738376438800623,3.6136974409570613e-07,2.6432442370559075,3.32491644577334,0.0014665091875019892,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
CCL2,1.9305302294848734,16.099541496175732,4.6779800934308945e-07,5.365524688139881,3.4349944586550074,0.0014665091875019892,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
SHISA7,0.9321423477678059,11.336450352521789,5.137234426092909e-07,3.8171092967924594,2.8849669490246534,0.0014665091875019892,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
IL1R1,1.3598420744494315,11.014424369213218,1.1597476660582208e-06,5.183292670375228,3.8234505959257965,0.002837736860606458,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
HS2ST1,0.5295222414263945,11.818886337031634,1.4881580670884961e-06,6.722469320595792,6.1929470791693975,0.003099272349139698,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
PTPN9,0.6160338829497292,10.601847117151685,1.6285293754237086e-06,6.818641779838764,6.202607896889035,0.003099272349139698,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
SOX11,2.687200944641731,13.094919666847268,1.8276475150832396e-06,4.21523104399535,1.5280300993536189,0.003130394663834573,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
DAAM1,-0.29943167432670137,-9.501944132315764,2.5358113505512904e-06,5.675823260879363,5.975254935206064,0.0033052894344151682,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
PPP2R3B,0.40203801167658915,9.390228367654439,2.995749880079108e-06,4.054704877341273,3.6526668656646835,0.0033052894344151682,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
AZIN2,1.0722643602171456,10.609962636414007,2.9983858057664115e-06,6.0300614126311975,4.957797052414052,0.0033052894344151682,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
MEX3D,0.5371309171315648,10.00787419205707,3.031296794023908e-06,4.859391746946719,4.322260829815154,0.0033052894344151682,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
GPAM,0.48169941108398806,10.15680372584085,3.0525341298379557e-06,8.21274277763852,7.731043366554531,0.0033052894344151682,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
CLDN12,0.44619584516962707,10.582511068279443,3.0876127364924505e-06,5.0017446783119945,4.5555488331423675,0.0033052894344151682,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
GALR2,0.7872328365382297,9.12901817626701,3.91020555820248e-06,3.9470238878638444,3.1597910513256147,0.003939647105934828,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
FRAT2,1.0410601133524238,10.821202873871556,6.070599482316421e-06,4.4109912551029495,3.3699311417505258,0.00577651266295087,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
