,log2FC,t,p,mean_case,mean_ctrl,FDR,n_case,n_ctrl,dataset,contrast,axis
HSD3B1,1.160996496491494,33.553756924233824,5.863895091483288e-08,1.1861759457399859,0.025179449248491824,0.0005390192625504454,5,5,GSE278227_CCI_DRG,M_5W_IL_vs_CL,DRG
VIP,5.668271544498251,34.96877505222081,6.402425711859276e-08,5.8280626324803615,0.1597910879821111,0.0005390192625504454,5,5,GSE278227_CCI_DRG,M_5W_IL_vs_CL,DRG
BCAP31,-0.19232652082115287,-20.987030369282493,1.1818624024402791e-07,7.016370672229219,7.208697193050372,0.0005390192625504454,5,5,GSE278227_CCI_DRG,M_5W_IL_vs_CL,DRG
SMAGP,2.980826099517,16.426065746230105,1.922596766121999e-07,4.077001884019346,1.0961757845023459,0.0005390192625504454,5,5,GSE278227_CCI_DRG,M_5W_IL_vs_CL,DRG
ZBTB42,0.8757281457447985,19.63508223127261,2.292888026708423e-07,4.334412105731022,3.458683959986223,0.0005390192625504454,5,5,GSE278227_CCI_DRG,M_5W_IL_vs_CL,DRG
PRDM16,0.514703716310918,16.02555586799846,2.324805045222617e-07,5.113582452657775,4.598878736346857,0.0005390192625504454,5,5,GSE278227_CCI_DRG,M_5W_IL_vs_CL,DRG
CDH22,1.9314467725522584,16.45133723922664,2.76066153252122e-07,3.383310921431608,1.4518641488793498,0.0005390192625504454,5,5,GSE278227_CCI_DRG,M_5W_IL_vs_CL,DRG
NPY,7.2633276824588355,25.88270001023652,3.053065929484914e-07,8.586414819874904,1.323087137416068,0.0005390192625504454,5,5,GSE278227_CCI_DRG,M_5W_IL_vs_CL,DRG
MAFK,0.4758504552777776,17.29853907543163,3.1090209054801054e-07,4.926235505046156,4.450385049768379,0.0005390192625504454,5,5,GSE278227_CCI_DRG,M_5W_IL_vs_CL,DRG
PPP1R36,0.8670324668240683,16.012798900110766,3.3381023778449016e-07,5.2750454477456845,4.408012980921616,0.0005390192625504454,5,5,GSE278227_CCI_DRG,M_5W_IL_vs_CL,DRG
STAC2,5.954537549148062,26.45021665867915,3.4680122375799364e-07,7.005509272312341,1.0509717231642781,0.0005390192625504454,5,5,GSE278227_CCI_DRG,M_5W_IL_vs_CL,DRG
VCL,0.45056852783924395,15.08811123835888,3.781043520550269e-07,7.832244291449567,7.381675763610323,0.0005390192625504454,5,5,GSE278227_CCI_DRG,M_5W_IL_vs_CL,DRG
P2RX2,1.3521231918269683,14.91747377282865,4.157071115386115e-07,4.119064627830406,2.766941436003438,0.0005470385813146943,5,5,GSE278227_CCI_DRG,M_5W_IL_vs_CL,DRG
RHOC,1.2311811151496652,14.929929455147578,4.804757879257003e-07,7.12892838489074,5.897747269741075,0.0005871070931460682,5,5,GSE278227_CCI_DRG,M_5W_IL_vs_CL,DRG
CABP2,1.3883111617798516,18.628889494686984,5.753515825686962e-07,1.573241121871628,0.18492996009177648,0.0006116086089958919,5,5,GSE278227_CCI_DRG,M_5W_IL_vs_CL,DRG
XKR4,0.8587926574283342,15.580468393749275,5.843862150591456e-07,5.3982341322995415,4.539441474871207,0.0006116086089958919,5,5,GSE278227_CCI_DRG,M_5W_IL_vs_CL,DRG
PCYT1B,-0.43659968894013,-14.805402730603262,6.077831503437284e-07,6.55746368090327,6.9940633698434,0.0006116086089958919,5,5,GSE278227_CCI_DRG,M_5W_IL_vs_CL,DRG
PDYN,1.245701050024667,13.860345067335826,7.309326341283332e-07,1.500851985188861,0.255150935164194,0.000623898533654229,5,5,GSE278227_CCI_DRG,M_5W_IL_vs_CL,DRG
NCCRP1,0.8823970414838137,15.146665272751937,7.543411170971389e-07,1.009112085164047,0.12671504368023323,0.000623898533654229,5,5,GSE278227_CCI_DRG,M_5W_IL_vs_CL,DRG
NEFM,-0.7973089517980672,-13.712675421319524,7.737424472697899e-07,12.540367078475935,13.337676030274002,0.000623898533654229,5,5,GSE278227_CCI_DRG,M_5W_IL_vs_CL,DRG
ABHD12,-0.48294044874452347,-16.105725985863977,7.84230786761183e-07,7.498508552506752,7.981449001251275,0.000623898533654229,5,5,GSE278227_CCI_DRG,M_5W_IL_vs_CL,DRG
RGS2,0.8263837983167681,14.709459914400439,8.308721238872692e-07,3.7743516070276284,2.9479678087108603,0.000623898533654229,5,5,GSE278227_CCI_DRG,M_5W_IL_vs_CL,DRG
ABCA1,0.8705509640715992,13.878522193962088,8.752791563787537e-07,7.898020691635191,7.027469727563592,0.000623898533654229,5,5,GSE278227_CCI_DRG,M_5W_IL_vs_CL,DRG
FAM78B,0.6258250824307812,25.492421085077034,8.968200842576265e-07,6.8025660940316985,6.176741011600917,0.000623898533654229,5,5,GSE278227_CCI_DRG,M_5W_IL_vs_CL,DRG
CRYBA2,1.9680679186226193,13.436277739712292,9.2228112288916e-07,3.7886286395401307,1.8205607209175114,0.000623898533654229,5,5,GSE278227_CCI_DRG,M_5W_IL_vs_CL,DRG
FSCN1,1.3961045609208007,13.527981556782299,9.482294893908899e-07,6.995751275435474,5.599646714514673,0.000623898533654229,5,5,GSE278227_CCI_DRG,M_5W_IL_vs_CL,DRG
FETUB,0.5894863434515657,14.560730888932753,1.1080253843683143e-06,0.6622107160161999,0.07272437256463411,0.0006293854904404795,5,5,GSE278227_CCI_DRG,M_5W_IL_vs_CL,DRG
PRR18,0.8643275801302113,13.121809803632196,1.109063366850947e-06,3.8518055441453476,2.9874779640151363,0.0006293854904404795,5,5,GSE278227_CCI_DRG,M_5W_IL_vs_CL,DRG
ECEL1,3.482598043527913,16.344402711962804,1.1214477798359668e-06,5.680058687377298,2.197460643849385,0.0006293854904404795,5,5,GSE278227_CCI_DRG,M_5W_IL_vs_CL,DRG
SMAD1,1.1581903622664331,16.245251757306633,1.1246090455818867e-06,6.02060132442218,4.862410962155747,0.0006293854904404795,5,5,GSE278227_CCI_DRG,M_5W_IL_vs_CL,DRG
IGSF9B,0.8605487899665336,13.074463885728614,1.1405243586634047e-06,6.79525615838332,5.934707368416786,0.0006293854904404795,5,5,GSE278227_CCI_DRG,M_5W_IL_vs_CL,DRG
NTRK3,-0.42665809782835673,-13.092924969088521,1.238954233938231e-06,7.699809927415728,8.126468025244085,0.000634067853672752,5,5,GSE278227_CCI_DRG,M_5W_IL_vs_CL,DRG
TP53I11,1.2219838009959796,13.458627719780143,1.2746037173086049e-06,6.094957870926683,4.872974069930703,0.000634067853672752,5,5,GSE278227_CCI_DRG,M_5W_IL_vs_CL,DRG
LIFR,0.5901312352967576,14.967319612288104,1.290811325255398e-06,9.77578445046411,9.185653215167353,0.000634067853672752,5,5,GSE278227_CCI_DRG,M_5W_IL_vs_CL,DRG
CCKBR,3.5361828952526286,23.325428819686657,1.3179694647307064e-06,4.090135485001886,0.553952589749257,0.000634067853672752,5,5,GSE278227_CCI_DRG,M_5W_IL_vs_CL,DRG
CLIC1,0.94878511573779,13.109807471281117,1.3343334735616456e-06,6.911984064415124,5.963198948677334,0.000634067853672752,5,5,GSE278227_CCI_DRG,M_5W_IL_vs_CL,DRG
NXPE3,-0.552139873109156,-14.000209518595177,1.5006215763830114e-06,5.503115603014615,6.055255476123771,0.0006643110422562313,5,5,GSE278227_CCI_DRG,M_5W_IL_vs_CL,DRG
HDLBP,-0.19297631418483618,-13.094457026209858,1.5581924259535201e-06,9.412618933963891,9.605595248148727,0.0006643110422562313,5,5,GSE278227_CCI_DRG,M_5W_IL_vs_CL,DRG
GPRIN1,1.0404342341075248,12.578666379588526,1.5723233564968521e-06,4.690478869969281,3.6500446358617564,0.0006643110422562313,5,5,GSE278227_CCI_DRG,M_5W_IL_vs_CL,DRG
PLSCR3,0.4822532955428267,13.632038101460862,1.586864844842955e-06,6.0829678726082115,5.600714577065385,0.0006643110422562313,5,5,GSE278227_CCI_DRG,M_5W_IL_vs_CL,DRG
SCN1A,-0.6822346963061712,-12.733148587687914,1.5921408039110003e-06,7.026368057892883,7.708602754199054,0.0006643110422562313,5,5,GSE278227_CCI_DRG,M_5W_IL_vs_CL,DRG
DOCK3,-0.3410415160807263,-12.472004698869995,1.729079703170656e-06,6.146362105371938,6.487403621452664,0.0007000508596038819,5,5,GSE278227_CCI_DRG,M_5W_IL_vs_CL,DRG
CBR3,0.7254929231677121,12.655629833414652,1.7596414896221968e-06,3.2451074064195753,2.519614483251863,0.0007000508596038819,5,5,GSE278227_CCI_DRG,M_5W_IL_vs_CL,DRG
PLA2G7,-1.3821522618878772,-12.3199632516791,1.8544405210570472e-06,4.795837688498897,6.177989950386774,0.0007011959089541346,5,5,GSE278227_CCI_DRG,M_5W_IL_vs_CL,DRG
WASHC2C,-0.24031736819440663,-12.222565658650607,1.9077980287840834e-06,7.462301467146247,7.702618835340654,0.0007011959089541346,5,5,GSE278227_CCI_DRG,M_5W_IL_vs_CL,DRG
PDCL3,0.5010251106386034,12.866835812157861,1.9897645613133794e-06,5.469982410172401,4.968957299533797,0.0007011959089541346,5,5,GSE278227_CCI_DRG,M_5W_IL_vs_CL,DRG
PDE6B,3.476066115799901,12.263775516267042,1.9985607413245077e-06,4.6535369929814365,1.1774708771815354,0.0007011959089541346,5,5,GSE278227_CCI_DRG,M_5W_IL_vs_CL,DRG
PLEKHO2,0.7197112906307863,12.347616588434326,2.0613399184658688e-06,5.691294300241895,4.971583009611109,0.0007011959089541346,5,5,GSE278227_CCI_DRG,M_5W_IL_vs_CL,DRG
ERICH5,-0.35091395135656,-14.965953086493858,2.228331734725678e-06,0.24896693700478453,0.5998808883613446,0.0007011959089541346,5,5,GSE278227_CCI_DRG,M_5W_IL_vs_CL,DRG
TLN1,0.5904476240654173,12.348454955211887,2.2771665997613743e-06,8.408272362574966,7.8178247385095485,0.0007011959089541346,5,5,GSE278227_CCI_DRG,M_5W_IL_vs_CL,DRG
DCLK1,0.4780157973923993,14.322257784865464,2.2993882198347032e-06,7.992786257834382,7.514770460441983,0.0007011959089541346,5,5,GSE278227_CCI_DRG,M_5W_IL_vs_CL,DRG
CDC42SE2,0.8137685111291093,12.706075423053486,2.3123638145554506e-06,6.568580550922545,5.7548120397934355,0.0007011959089541346,5,5,GSE278227_CCI_DRG,M_5W_IL_vs_CL,DRG
PPP1R14B,0.599403219789898,12.279250356689877,2.344381763189969e-06,5.031936825493505,4.432533605703607,0.0007011959089541346,5,5,GSE278227_CCI_DRG,M_5W_IL_vs_CL,DRG
ACP7,1.856863924903911,11.921028436686326,2.357523704243957e-06,2.306271964674156,0.4494080397702448,0.0007011959089541346,5,5,GSE278227_CCI_DRG,M_5W_IL_vs_CL,DRG
PRPH,0.5781884397306261,12.324902204923927,2.4124506727518688e-06,11.457956378196512,10.879767938465886,0.0007011959089541346,5,5,GSE278227_CCI_DRG,M_5W_IL_vs_CL,DRG
