,log2FC,t,p,mean_case,mean_ctrl,FDR,n_case,n_ctrl,dataset,contrast,axis
RNU1-27P,-0.06558561493976103,-7.871817122942412,1.6110776979755677e-06,0.007224740926695085,0.07281035586645612,0.018428112202686482,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
PARP11-AS1,0.19184069826837952,7.853262477700436,1.6976500868577393e-06,0.19184069826837952,0.0,0.018428112202686482,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
MYLK3,0.5047200414767056,7.326098661073956,2.201077662749663e-06,1.2158642146404375,0.7111441731637319,0.018428112202686482,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
ZNF442,-0.5451669926108758,-10.283614822403868,2.6251157266355167e-06,1.127417619314882,1.6725846119257577,0.018428112202686482,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
RPL17P38,0.1573675498169467,7.418108846070885,3.2611510233394354e-06,0.1573675498169467,0.0,0.018428112202686482,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
DUX4L8,-0.23372942796685714,-6.852707961676443,6.986151176276672e-06,0.13518089515122184,0.368910323118079,0.030810170896067298,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
ELOVL6,0.3621496536020965,6.671278095549865,7.633297808185428e-06,5.741992659281996,5.379843005679899,0.030810170896067298,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
UQCRHL,-0.5117957416884669,-6.682868308210818,1.1191236939567472e-05,3.534324518917846,4.046120260606313,0.03952465106131742,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
KCNJ15,0.1198919469850617,6.282453553212288,1.397641870845187e-05,0.19270230285151782,0.07281035586645612,0.04243628440793549,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
HAND1,0.1856177184546306,6.337000480783102,1.501956693138511e-05,6.899586012294703,6.713968293840073,0.04243628440793549,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
MPND,-0.2398879135026828,-6.653666711809612,3.1244847034935404e-05,5.294356636926035,5.534244550428718,0.05803982524886022,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
KCTD16,0.43988809601910184,5.8518506243101625,3.2115895420365154e-05,2.7279349319024315,2.2880468358833297,0.05803982524886022,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
ABHD3,0.28035660687207864,5.692276289606664,3.5064547650775615e-05,3.018484215799789,2.7381276089277105,0.05803982524886022,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
