symbol,K,meta_Z,meta_p,consistency,n_up,n_dn,lfc_GSE267799_SMIR_DRG,lfc_GSE212311_CCI_DRG,lfc_GSE278227_CCI_DRG,lfc_GSE241361_S1R_DRG,lfc_GSE265957_Xtail_DRG_Day4,lfc_GSE265957_Xtail_DRG_Day63,meta_FDR,incision_lfc,concordant_incision
ATF3,6,10.53326478722921,6.069223687690905e-26,1.0,6,0,0.8014242533721352,2.920452272182585,4.925770655181511,5.88876790319457,2.6165350487487,2.41899651184567,1.0045779047865986e-21,0.8014242533721352,True
GAL,6,10.338977724858434,4.695192304649756e-25,1.0,6,0,0.5665499107593992,3.9261030011584035,4.667659541771869,6.4687244853204495,2.94076406521814,1.47292494808524,3.8857411513281385e-21,0.5665499107593992,True
SMAGP,3,9.658244811858399,4.535681251860115e-22,1.0,3,0,,1.3964502593917612,2.992104809907798,0.931957338878117,,,2.5024865360262872e-18,,False
ECEL1,6,9.543721743119564,1.3779637501592583e-21,1.0,6,0,0.49556244907950897,0.9434382486903288,3.3744916153293,6.250011023135994,2.5681978663932,3.899814537103,5.702013998159011e-18,0.49556244907950897,True
CDHR5,4,9.387908146128746,6.120367132396514e-21,1.0,4,0,0.4295934460296509,0.7355602436243904,2.6200538765555264,0.06614079181153774,,,2.0260863355085418e-17,0.4295934460296509,True
NPY,6,9.274639430845195,1.7822080875809073e-20,1.0,6,0,0.3021868119271387,5.180143696372307,7.313084139062974,6.941345313228696,1.88924862514286,4.91027087367542,4.916518044273196e-17,0.3021868119271387,True
FLRT3,6,9.251705143719247,2.209394725317947e-20,1.0,6,0,0.45656869019742174,1.3973470688836174,2.8447620650159635,3.644446065030338,1.58190060639629,0.759246845172221,5.224271641923237e-17,0.45656869019742174,True
ITGA7,6,9.201845392265088,3.5185432868939547e-20,0.8333333333333334,5,1,0.3684084890029027,0.2819720921858475,0.824351453180066,-0.44647235590839784,1.70284455722601,0.555916616934151,7.279866060583592e-17,0.3684084890029027,True
STAC2,6,9.141800039545188,6.142132573074727e-20,0.8333333333333334,5,1,0.9906954266863371,2.737444402531584,5.70250300727105,-0.0492977164584083,0.226219725569598,0.125730073575829,1.129606426105921e-16,0.9906954266863371,True
ADCYAP1,6,8.953599534156496,3.4407534836871653e-19,1.0,6,0,0.42538853933995213,1.0437114419758107,2.1039958842865616,1.5474812829758777,0.8374990244172,0.449405946052909,5.695135166198996e-16,0.42538853933995213,True
IL13RA1,5,8.884098769787782,6.444101945128608e-19,1.0,5,0,,0.7592836921577453,1.3649145890030496,1.5618166061369756,0.924638049307158,0.32798845123073,9.696615945069883e-16,,False
TGM1,4,8.862104292407663,7.851809335175917e-19,1.0,4,0,0.2321264576292077,1.8971112318209717,4.546891661370772,0.5083675443397058,,,1.083026234298598e-15,0.2321264576292077,True
SDC1,6,8.850539610768529,8.709714356645121e-19,1.0,6,0,0.1816238622364934,1.0117607122870484,2.106601389916317,3.009705827172721,1.82516848645924,1.01050951816453,1.1089476310091543e-15,0.1816238622364934,True
