set,n_members,n_present,mean_Z,stouffer_Z,stouffer_p,t_p,perm_p,frac_up
Complement,22,18,3.440935860840878,14.598654484971334,2.864428893184812e-48,1.4871810341807994e-05,0.0004997501249375312,0.9444444444444444
DAM_microglia,16,16,3.883803838437064,15.535215353748256,2.0039792062672885e-54,2.6058932358135254e-05,0.0004997501249375312,0.9375
Neuroinflammation,19,19,4.943492029073286,21.548182182929285,5.506679876982203e-103,2.620814133107664e-07,0.0004997501249375312,1.0
Mitochondria_OXPHOS,20,19,-2.3727696295737783,-10.342663031614537,4.518047653417575e-25,0.0016398927287429473,0.00399800099950025,0.2631578947368421
Neuropeptides_pain,19,18,2.192655478692606,9.302649346736263,1.369888852465825e-20,0.08575258259078208,0.010494752623688156,0.5555555555555556
Synaptic,20,20,-1.4131806313720072,-6.319935912467759,2.6167180012203297e-10,0.04662557107121587,0.111944027986007,0.45
Nav_SCN,14,14,-1.3652366377846035,-5.108247750461182,3.2516012399637555e-07,0.1190043535077231,0.17991004497751126,0.21428571428571427
P2RX_P2RY,12,12,0.847763122380386,2.9367376014921214,0.0033168462349735567,0.42663476825524493,0.4397801099450275,0.5833333333333334
MAPK_kinase,15,15,0.7697838465340007,2.9813600178056707,0.0028697120850923025,0.49811112794712453,0.46476761619190404,0.6
Sigma1,1,1,2.062896680603185,2.062896680603185,0.03912244557440938,,0.4657671164417791,1.0
Opioid_GPCR,8,8,-0.854892338509327,-2.4180006789774824,0.015606047695145241,0.5415924485235808,0.49975012493753124,0.375
ASIC,8,4,-0.9697036507267025,-1.939407301453405,0.05245176215901254,0.6620234222314757,0.5162418790604698,0.5
Myelin_OL,14,13,0.6971662431346418,2.5136686371445456,0.011948263875067694,0.39112536548984955,0.5242378810594702,0.5384615384615384
K2P_KCNK,15,14,0.6597312525016022,2.468488314208244,0.01356850822342741,0.4092450940664074,0.5442278860569715,0.7142857142857143
Autophagy_mitophagy,11,11,0.6013151477275502,1.9943367257694127,0.04611526828043304,0.5374047033107113,0.6056971514242878,0.45454545454545453
CPSP_literature,24,24,0.5161900362755919,2.5288043983678783,0.011445179195841027,0.5988802584190852,0.6131934032983508,0.4166666666666667
Kv_KCNQ_KCNH,13,13,0.32954469383891277,1.1881902911932818,0.23475844786268385,0.7297860683610583,0.7536231884057971,0.46153846153846156
CACNA,18,18,0.2402159310977636,1.0191498829696146,0.30813181537164824,0.7822617618057294,0.8280859570214892,0.4444444444444444
TRP_channels,12,12,-0.16631777184759822,-0.5761416620833776,0.564519433149528,0.8663650255375652,0.888055972013993,0.3333333333333333
