symbol,hub_freq,lasso_freq,rf_freq,xgb_freq,n_methods_pub,borderline
CDHR5,0.155,0.0,0.795,0.18,3,False
GALNS,0.1,0.0,0.485,0.175,3,False
WBP1L,0.075,0.0,0.58,0.1,2,False
TFE3,0.07,0.0,0.975,0.075,3,False
MEGF11,0.07,0.0,0.28,0.21,2,False
PTPN23,0.065,0.0,0.715,0.07,2,False
SPRR1A,0.065,0.0,1.0,0.065,3,False
CCDC160,0.06,0.0,0.69,0.105,2,False
NPY,0.05,0.0,0.595,0.07,2,False
SLC2A1,0.05,0.0,0.375,0.1,2,False
ITPKC,0.05,0.0,0.585,0.055,2,False
LNP1,0.05,0.0,0.285,0.165,2,False
ECEL1,0.045,0.0,0.775,0.05,2,False
AXL,0.045,0.0,0.53,0.1,2,False
ANKRD1,0.045,0.0,0.275,0.165,2,False
FLRT3,0.04,0.0,0.875,0.05,2,False
WDR81,0.04,0.0,0.7,0.04,2,False
ATF3,0.035,0.0,0.94,0.035,3,False
VASH2,0.035,0.0,0.825,0.05,2,False
REG3B,0.035,0.0,0.21,0.17,2,False
TNS3,0.035,0.0,0.385,0.09,2,False
MAPK14,0.03,0.0,0.655,0.045,2,False
AGRN,0.03,0.0,0.28,0.095,2,False
FLNC,0.025,0.0,0.9,0.035,2,False
CHL1,0.025,0.0,0.92,0.03,2,False
SRRM4,0.025,0.0,0.92,0.025,2,False
RNF19B,0.025,0.0,0.96,0.03,2,False
ANKRD13B,0.025,0.0,0.455,0.095,2,False
TNIK,0.02,0.0,0.825,0.025,2,False
CRISP3,0.02,0.0,0.5,0.045,2,False
VIP,0.02,0.0,0.285,0.085,2,False
RUBCN,0.02,0.0,0.23,0.05,2,False
SERPINE1,0.015,0.0,0.325,0.1,2,False
CTTN,0.01,0.0,0.22,0.055,2,False
ACVR1,0.005,0.0,0.335,0.04,2,False
