symbol,n_methods,lasso_freq,rf_gini,shap_meanabs,in_meta_core
SPRR1A,3,0.96,0.033499954387956395,1.0427443981170654,True
ATF3,3,0.85,0.02376407199054233,0.14523690938949585,True
TFE3,3,0.62,0.022930040204818918,0.20361745357513428,True
CDHR5,3,0.79,0.011664891179254781,0.3193367123603821,True
GALNS,3,0.78,0.004596152759620802,0.045040104538202286,True
CHL1,2,0.06,0.020381589219136412,0.12044305354356766,True
FLNC,2,0.04,0.019520990206170062,0.33984506130218506,True
RNF19B,2,0.03,0.01883199756460924,0.5359498262405396,True
SRRM4,2,0.38,0.016230465501704698,0.07969273626804352,True
ECEL1,2,0.17,0.01589517635879428,0.12877517938613892,True
FLRT3,2,0.07,0.015705915280026843,0.11962077021598816,True
PTPN23,2,0.5,0.015219496188807649,0.09201501309871674,True
MAPK14,2,0.01,0.01280147080360599,0.0575072355568409,True
VASH2,2,0.0,0.012119797928100475,0.1052602007985115,True
TNIK,2,0.11,0.010705554632284783,0.049049608409404755,True
WDR81,2,0.25,0.009944354035427186,0.044027190655469894,True
CCDC160,2,0.39,0.008342624728149747,0.0344662107527256,True
SLC2A1,2,0.41,0.008105708395677123,0.07846739888191223,True
ANKRD13B,2,0.08,0.006792852813625943,0.014452972449362278,True
NPY,2,0.0,0.006669362277104148,0.0,True
AXL,2,0.05,0.006231548899419686,0.12751753628253937,True
SERPINE1,2,0.02,0.0058033096036167395,0.0,True
CRISP3,2,0.02,0.005585675098759344,0.028059376403689384,True
WBP1L,2,0.0,0.005472492549873813,0.024635247886180878,True
ITPKC,2,0.11,0.004675475873291769,0.021014681085944176,True
ACVR1,2,0.0,0.004350531438809782,0.0,True
LNP1,2,0.17,0.0042200996291273584,0.013026807457208633,True
AGRN,2,0.02,0.003594208339381151,0.05310915410518646,True
VIP,2,0.26,0.0035789929933318964,0.0,True
REG3B,2,0.02,0.0034277429267457783,0.0,False
TNS3,2,0.02,0.003272016735851556,0.0,True
ANKRD1,2,0.17,0.0029774097513358094,0.00831587240099907,False
CTTN,2,0.07,0.0029727015845216506,0.021621230989694595,True
RUBCN,2,0.0,0.0028260070011540367,0.0,True
MEGF11,2,0.71,0.0013571014008359596,0.03353862464427948,False
