gene,neuron_mean,ipsc_mean,log2FC_neuron_vs_ipsc,t,p_welch,direction
SPRR1A,1.688,0.0,1.426,3.576,0.0374,neuron_up
ATF3,652.938,858.5,-0.394,-0.64,0.5513,neuron_down
TFE3,4251.812,3849.25,0.143,0.324,0.7576,neuron_up
CDHR5,0.312,0.0,0.392,1.667,0.1942,neuron_up
GALNS,954.688,350.75,1.442,6.392,0.0013,neuron_up
CHL1,2035.125,5.25,8.348,1.939,0.1478,neuron_up
FLNC,569.125,1976.75,-1.795,-2.565,0.0476,neuron_down
RNF19B,1919.875,754.75,1.346,4.82,0.0083,neuron_up
SRRM4,4005.062,86.75,5.513,10.39,0.0019,neuron_up
ECEL1,63.375,414.5,-2.69,-2.85,0.0558,neuron_down
FLRT3,198.562,25.5,2.913,6.199,0.004,neuron_up
PTPN23,3863.812,2796.5,0.466,2.123,0.0787,neuron_up
MAPK14,1293.0,2111.75,-0.707,-5.325,0.003,neuron_down
VASH2,635.562,5419.0,-3.09,-6.006,0.0066,neuron_down
TNIK,3024.125,3011.75,0.006,0.018,0.9865,neuron_up
WDR81,713.0,732.25,-0.038,-0.134,0.8978,neuron_down
CCDC160,30.375,122.0,-1.971,-1.197,0.3097,neuron_down
SLC2A1,4055.625,8869.75,-1.129,-2.455,0.0746,neuron_down
ANKRD13B,1914.312,805.75,1.247,7.727,0.0038,neuron_up
NPY,0.125,8.5,-3.078,-5.382,0.0124,neuron_down
AXL,27.938,1802.0,-5.961,-7.036,0.0059,neuron_down
SERPINE1,211.312,257.25,-0.283,-0.265,0.7998,neuron_down
CRISP3,2.812,0.0,1.931,2.36,0.0994,neuron_up
ITPKC,1072.062,639.25,0.745,3.777,0.0092,neuron_up
ACVR1,1119.0,887.5,0.334,1.063,0.3374,neuron_up
LNP1,284.125,357.0,-0.328,-1.974,0.0962,neuron_down
AGRN,6354.062,9565.25,-0.59,-2.645,0.0603,neuron_down
VIP,0.188,0.0,0.248,1.567,0.2152,neuron_up
TNS3,38.938,1686.0,-5.401,-4.769,0.0174,neuron_down
ANKRD1,43.188,3.75,3.218,1.546,0.2194,neuron_up
CTTN,4533.25,5906.5,-0.382,-3.432,0.0156,neuron_down
RUBCN,2913.5,707.5,2.04,12.367,0.001,neuron_up
MEGF11,392.25,81.0,2.262,2.127,0.1216,neuron_up
