miRNA,log2FC,t,p,FDR
hsa-miR-106a-5p,-0.6623442538753217,-4.127397023397086,0.00012861952161892891,0.12849090209730998
hsa-miR-532-5p,0.3474286098676034,3.7507298552226844,0.00042138315393172213,0.13762410966563726
hsa-miR-194-5p,0.4724801765021489,3.7427521691790178,0.0005039906882412066,0.13762410966563726
hsa-let-7f-1-3p,0.7398482055201152,3.5695963380166047,0.0007372485878123014,0.13762410966563726
hsa-miR-192-5p,0.3795479742394452,3.499658496922396,0.0010059204941834069,0.13762410966563726
hsa-miR-532-3p,0.3731759854192358,3.462710383762907,0.0010708072422192648,0.13762410966563726
hsa-miR-7-5p,0.41096619926695865,3.4588509827714793,0.00118111810080245,0.13762410966563726
hsa-miR-3127-3p,0.31166366094369385,3.4909974811184785,0.0011964130066815114,0.13762410966563726
hsa-miR-500a-3p,0.5908731362316213,3.410749408384022,0.0012542746897943715,0.13762410966563726
hsa-miR-125b-5p,0.6054590912969164,3.381909898489389,0.0013776187153717442,0.13762410966563726
hsa-miR-5584-5p,0.23447362981321968,3.5021926140159527,0.0015156852221751293,0.1376517760866322
hsa-let-7b-5p,-0.24478434752822054,-3.3437218124786208,0.0016540934272754498,0.13770327782068117
hsa-miR-296-5p,0.39345432713383266,3.2754681798021945,0.001897534804708158,0.14382417863271363
hsa-miR-100-5p,0.7023946317544452,3.2234034632629975,0.0021128829236387483,0.14382417863271363
hsa-miR-187-3p,0.3325384411683988,3.269435408354414,0.0021789674154869105,0.14382417863271363
hsa-miR-19b-3p,0.35523269104933064,3.188953249703743,0.00230900687347113,0.14382417863271363
hsa-miR-25-3p,0.25535863140816595,3.1614516690641414,0.002547492379088698,0.14382417863271363
hsa-miR-30d-5p,0.2711146613455533,3.123509624532827,0.0027889192232673737,0.14382417863271363
hsa-miR-191-5p,0.42777431166987157,3.1251848167398406,0.0028167555660445747,0.14382417863271363
hsa-let-7c-3p,0.4929993048429431,3.1230185991194697,0.002879362935589862,0.14382417863271363
hsa-miR-23b-5p,0.7158250884373374,3.061755151899985,0.0033671612962962337,0.14599950141207904
hsa-miR-589-5p,0.6165654037370008,3.0978368469789914,0.003376740923804193,0.14599950141207904
hsa-miR-3184-3p,-0.39664331539086994,-3.0744188991685437,0.0033926866637173066,0.14599950141207904
hsa-miR-421,0.30338105520594905,3.062576572761406,0.0035074955294193163,0.14599950141207904
hsa-miR-515-5p,0.1676071381426154,3.1210687036614178,0.0037876589127143205,0.15135485015206426
hsa-miR-4659b-3p,0.512492074575438,3.0062206101677647,0.003941297438305047,0.15143677464872082
hsa-miR-15b-3p,0.3229082016789304,2.9582562710812357,0.00449966015163978,0.16648742561067187
hsa-miR-3615,0.27017288530869,2.929146531703577,0.0049804753054763585,0.17769624393467434
hsa-miR-196b-5p,-0.397723028673469,-2.896483352329775,0.005314760793896102,0.18308434596904158
hsa-miR-335-5p,0.47518339069593285,2.8709127745558627,0.005710070345409284,0.1851712991983846
hsa-miR-874-3p,0.5928638155662931,2.8696740264825973,0.005746056331481404,0.1851712991983846
hsa-miR-3065-5p,0.6670278169944523,2.8684206028408807,0.006048894092726062,0.18696920906214334
hsa-miR-3611,0.4541848359273133,2.8419975143971254,0.006179069385924661,0.18696920906214334
hsa-let-7a-5p,-0.22238099652849286,-2.8305151934058568,0.006518695204704207,0.18696920906214334
hsa-miR-128-3p,0.30535868515171494,2.834880594267612,0.006550472789964982,0.18696920906214334
hsa-miR-4659a-5p,0.2468741170478504,2.846037603754448,0.006917312211566148,0.1919554138709606
hsa-miR-505-3p,0.6272698168144428,2.785668238608655,0.007316750334429823,0.19755225902960522
hsa-miR-580-3p,0.3945370133831467,2.755324080014415,0.007850673977277943,0.20639008692896488
hsa-miR-425-5p,0.3137989756182087,2.744844562126407,0.008393984080583707,0.2105486879912184
hsa-miR-548n,0.5416343871035173,2.72317784149082,0.00855750820955836,0.2105486879912184
hsa-miR-589-3p,0.4555897940036765,2.7190061991882226,0.00864113734498494,0.2105486879912184
hsa-miR-5695,0.4344139970278883,2.692743448424294,0.00926024505477034,0.21554994061402813
hsa-miR-4686,0.3224631001678142,2.693598116744915,0.009726177406136294,0.21554994061402813
hsa-miR-125b-2-3p,0.6588290862303425,2.6754718378617333,0.009733119073007855,0.21554994061402813
hsa-miR-10a-5p,0.4102954087701782,2.683347323806875,0.009739133699660616,0.21554994061402813
hsa-miR-345-3p,0.14658808365588852,2.741484149382786,0.010047421095671454,0.21554994061402813
hsa-miR-200b-3p,0.6546630575798238,2.663137097970236,0.010140988197056378,0.21554994061402813
hsa-miR-489-3p,0.3996346052428954,2.677573227581201,0.010406438031681352,0.21658399153436814
hsa-miR-6853-3p,0.18135573517667763,2.6795736160235313,0.010813012536830105,0.2204530515161893
hsa-miR-197-5p,0.4642573754561321,2.647092915717285,0.01126711338392569,0.2236978790876716
hsa-miR-656-3p,-0.39958609114162547,-2.6299381097496477,0.011502797078041837,0.2236978790876716
hsa-miR-23b-3p,0.3851404832308081,2.612280514677379,0.01164393364620513,0.2236978790876716
hsa-miR-423-5p,-0.2533800906769095,-2.5981825819725652,0.011934715145874878,0.22495812133450951
hsa-miR-196a-5p,-0.6768903202181114,-2.590369568698669,0.012181188993124117,0.22535199637279618
hsa-miR-23a-3p,0.3472320799573776,2.5831707082376427,0.012454469339942032,0.2262184521927653
hsa-miR-19b-1-5p,0.4464613206996687,2.5497888140636547,0.013629429975895162,0.24313929546284405
hsa-miR-1276,0.15880802219373377,2.5988709564825614,0.01404508432011211,0.24615858308407013
hsa-miR-99a-3p,0.45460267080484934,2.538266362963062,0.014349135468435886,0.2471514884994388
