miRNA,rho,p,FDR
hsa-miR-139-3p,0.4334367385153881,0.000847051256373017,0.5559764259922532
hsa-miR-1260a,0.42444684383058867,0.0011130659179024087,0.5559764259922532
hsa-miR-6869-5p,-0.39311109001971056,0.0027256032223481465,0.7777400408542186
hsa-miR-99b-5p,0.38708261217850176,0.003207118393634236,0.7777400408542186
hsa-miR-125a-5p,0.3797275294018002,0.003895533592864187,0.7777400408542186
hsa-miR-6762-3p,-0.3700514008549351,0.004998095081694818,0.7777400408542186
hsa-miR-146a-3p,0.3666249282121099,0.005449629915895426,0.7777400408542186
hsa-miR-155-5p,0.3524281989096708,0.0077237892792178554,0.9164471256099551
hsa-let-7e-5p,0.3401127114696124,0.010325809724666006,0.9164471256099551
hsa-miR-125a-3p,0.3382718832536423,0.010773552450180586,0.9164471256099551
hsa-miR-4766-3p,-0.3324017867975954,0.012315146314899647,0.9164471256099551
hsa-miR-135b-5p,0.3315875271646666,0.012543304404989023,0.9164471256099551
hsa-miR-942-3p,-0.3311071402289079,0.012679608742155301,0.9164471256099551
hsa-miR-487b-5p,-0.3229956962387616,0.015180995067879571,0.9164471256099551
hsa-miR-2115-5p,-0.32233266467071753,0.015402946209047454,0.9164471256099551
hsa-miR-6793-5p,0.3220652864136988,0.015493233755127846,0.9164471256099551
hsa-miR-342-3p,0.313155477850818,0.018771788907856142,0.9164471256099551
hsa-miR-1304-3p,-0.30429135170635696,0.02260095032200402,0.9164471256099551
hsa-miR-3939,0.3036871961733397,0.02288436052402436,0.9164471256099551
hsa-miR-3691-5p,-0.3029245662567476,0.023246389813118256,0.9164471256099551
hsa-miR-139-5p,0.301284716346095,0.024041235560509626,0.9164471256099551
hsa-miR-490-5p,0.2923234982137823,0.028800381198657,0.9164471256099551
hsa-miR-208a-3p,-0.28957799992046185,0.03040737306740019,0.9164471256099551
hsa-miR-199b-5p,0.28742979297602933,0.031716356451074186,0.9164471256099551
hsa-miR-15a-3p,-0.2856622202293967,0.03282831475815069,0.9164471256099551
hsa-miR-6735-3p,0.2851892926211588,0.03313126767899762,0.9164471256099551
hsa-miR-6747-3p,0.2837778834728886,0.034049258724116,0.9164471256099551
hsa-miR-581,-0.28343573800648947,0.034274946281927454,0.9164471256099551
hsa-miR-181b-5p,0.28260622706200644,0.03482727324571873,0.9164471256099551
hsa-miR-126-3p,0.282229920501338,0.03508026005083868,0.9164471256099551
hsa-miR-146b-3p,0.2821272914393375,0.03514952042838352,0.9164471256099551
hsa-miR-6743-3p,-0.28208563277012233,0.03517766659763212,0.9164471256099551
hsa-miR-204-5p,0.28045101675999623,0.0362969238689857,0.9164471256099551
hsa-miR-3065-5p,0.28022522873082795,0.036453819211094744,0.9164471256099551
hsa-miR-3164,0.2780958176665408,0.03796131027411507,0.9164471256099551
hsa-miR-491-3p,-0.27534566261737187,0.03998413343745332,0.9164471256099551
hsa-miR-548aq-5p,-0.2741327066795989,0.04090411763858609,0.9164471256099551
hsa-miR-933,-0.2735509411945561,0.04135151205592498,0.9164471256099551
hsa-miR-345-3p,-0.2728392214229466,0.04190431466521703,0.9164471256099551
hsa-miR-4659a-5p,0.27227181442724574,0.042349369483859464,0.9164471256099551
hsa-miR-143-3p,0.26970917493727864,0.04440808596159903,0.9164471256099551
hsa-miR-6787-3p,0.2692925199426933,0.04475043888472252,0.9164471256099551
hsa-miR-9-5p,0.2672624857001375,0.04644954278018778,0.9164471256099551
hsa-miR-144-3p,-0.26396194746525137,0.049324429129051196,0.9164471256099551
hsa-miR-548ar-3p,-0.2638881505162456,0.049390330159865464,0.9164471256099551
hsa-miR-126-5p,0.26372247965391693,0.04953853653210687,0.9164471256099551
hsa-miR-299-3p,-0.2635922564958573,0.04965528628496818,0.9164471256099551
hsa-miR-412-5p,0.26355416429856654,0.04968947967519307,0.9164471256099551
hsa-miR-6772-3p,0.26237291469533,0.05075938750053006,0.9164471256099551
hsa-miR-5003-3p,-0.2622350087636399,0.0508855080162106,0.9164471256099551
hsa-miR-1273h-3p,0.26208491231953174,0.05102306700081219,0.9164471256099551
hsa-miR-23c,-0.2617229791688599,0.05135601306355785,0.9164471256099551
hsa-miR-1468-5p,-0.2614196886006353,0.0516363723504431,0.9164471256099551
hsa-miR-181d-5p,0.26078044654323634,0.05223135930267023,0.9164471256099551
hsa-miR-4678,0.2598460785412515,0.05311105305911353,0.9164471256099551
hsa-miR-150-5p,0.25913838155122854,0.05378531403462649,0.9164471256099551
hsa-miR-4745-3p,0.25851425453779076,0.05438570110304549,0.9164471256099551
hsa-miR-4726-5p,-0.25681394940643265,0.056048937818691004,0.9164471256099551
hsa-miR-4719,-0.2564859342511236,0.05637449006254174,0.9164471256099551
hsa-miR-760,0.2558320398671048,0.057028038986512264,0.9164471256099551
hsa-miR-181b-2-3p,0.25516293581165755,0.057703116471847275,0.9164471256099551
hsa-miR-671-5p,0.2540411381385376,0.0588494025792119,0.9164471256099551
hsa-miR-659-5p,0.25398586882982765,0.05890634987872986,0.9164471256099551
hsa-miR-3934-5p,-0.2535238393685044,0.05938414800266521,0.9164471256099551
hsa-miR-146a-5p,0.25328852501720084,0.05962869185650359,0.9164471256099551
hsa-miR-22-3p,-0.25130436315185806,0.061723115120900784,0.9291946625359813
hsa-miR-625-3p,0.24979913690918423,0.06335113547340271,0.9291946625359813
hsa-miR-548q,-0.24882542955082976,0.064422520071704,0.9291946625359813
hsa-miR-1306-5p,0.2487044269145124,0.06455667034048668,0.9291946625359813
hsa-miR-16-2-3p,-0.24767813629450752,0.06570350357202083,0.9291946625359813
hsa-miR-548j-3p,-0.2473807426754678,0.06603885989995463,0.9291946625359813
hsa-miR-4745-5p,-0.2444435554610016,0.06942512309098965,0.9322503825977866
hsa-miR-671-3p,0.24423965288412347,0.06966525104401897,0.9322503825977866
hsa-miR-10a-5p,0.24398349006248998,0.06996786249868255,0.9322503825977866
hsa-miR-4326,0.24345694052474584,0.07059318072107522,0.9322503825977866
hsa-miR-502-5p,-0.24275444293495757,0.07143437823787485,0.9322503825977866
hsa-miR-5683,0.24179473032725696,0.0725964565419158,0.9322503825977866
hsa-miR-197-5p,-0.24144366261007938,0.07302528844359744,0.9322503825977866
hsa-miR-548k,0.24077498797244248,0.07384765008844722,0.9322503825977866
hsa-miR-769-5p,0.23816784321579576,0.0771245178834822,0.9322503825977866
hsa-miR-4767,-0.23706297135233192,0.07854748887661268,0.9322503825977866
hsa-miR-338-3p,0.2370047138464569,0.07862309144964201,0.9322503825977866
hsa-miR-1260b,0.23602876666866057,0.07989818519096728,0.9322503825977866
hsa-miR-3680-5p,-0.23551464953974863,0.08057642670192876,0.9322503825977866
hsa-miR-96-3p,-0.23542346085238067,0.08069719914929496,0.9322503825977866
hsa-miR-4536-5p,-0.23539690046973583,0.0807324031987463,0.9322503825977866
hsa-miR-125b-5p,0.2350547616684477,0.0811869702562637,0.9322503825977866
hsa-miR-542-5p,0.23286932102480992,0.08413837530790935,0.9492334175305921
hsa-miR-146b-5p,0.2325574544931025,0.08456634050072342,0.9492334175305921
hsa-miR-4777-3p,-0.23015396950472805,0.08792225289168461,0.9613833038438232
hsa-miR-6815-5p,0.2299153211319716,0.08826108670538527,0.9613833038438232
hsa-miR-378d,-0.2297223608416341,0.08853579975338512,0.9613833038438232
hsa-miR-409-5p,-0.22803879846538572,0.09096115286529273,0.9770988356174993
hsa-miR-4754,-0.22576571931360506,0.09431778236772556,0.9863362615743116
hsa-miR-5193,0.22500863948434704,0.09545692314276806,0.9863362615743116
hsa-miR-200c-3p,0.22417608109639608,0.09672196363219121,0.9863362615743116
hsa-miR-641,-0.22352163647392656,0.09772548427281647,0.9863362615743116
hsa-miR-1224-5p,0.22280769360305627,0.09882944104008276,0.9863362615743116
hsa-miR-518f-3p,0.22181784084486533,0.10037600837155733,0.9863362615743116
hsa-miR-515-5p,0.2217181777668503,0.10053275719592177,0.9863362615743116
hsa-miR-6761-5p,0.22148312495839464,0.10090319616825359,0.9863362615743116
hsa-miR-205-5p,0.22061827361371256,0.10227529109658547,0.9863362615743116
hsa-miR-4685-3p,0.21953857018593928,0.10400845022586735,0.9863362615743116
hsa-miR-766-3p,0.21854396627093184,0.10562499189772699,0.9863362615743116
hsa-miR-6509-5p,-0.21741128852441452,0.10748946191562697,0.9863362615743116
