cluster,annotation,pain_score,nonpain_score
0,ambiguous,-0.463,0.167
1,pain_relevant,0.684,-0.028
2,nonpain(LTMR/proprio),0.055,0.567
3,ambiguous,0.252,-0.034
4,pain_relevant,0.435,-0.395
5,nonpain(LTMR/proprio),-0.216,0.778
6,pain_relevant,0.753,0.411
7,pain_relevant,0.59,0.259
8,nonpain(LTMR/proprio),-0.414,0.663
9,pain_relevant,1.133,0.833
10,ambiguous,-0.162,-0.352
11,pain_relevant,1.092,0.985
12,ambiguous,-0.547,0.121
13,nonpain(LTMR/proprio),-0.065,0.991
14,pain_relevant,1.018,0.61
15,pain_relevant,0.453,-0.241
