gene,peak_cluster,peak_annotation,peak_cluster_mean_expr,spearman_vs_painScore,is_original_hub
SPRR1A,2,nonpain(LTMR/proprio),0.1,-0.02,True
ATF3,2,nonpain(LTMR/proprio),4.834,-0.103,True
TFE3,9,pain_relevant,4.654,0.41,True
CDHR5,2,nonpain(LTMR/proprio),0.381,0.101,True
GALNS,11,pain_relevant,3.401,0.237,True
CHL1,9,pain_relevant,6.054,0.693,True
FLNC,2,nonpain(LTMR/proprio),0.566,-0.068,True
RNF19B,11,pain_relevant,3.951,0.305,True
SRRM4,9,pain_relevant,3.367,-0.014,True
ECEL1,3,ambiguous,0.059,0.043,True
FLRT3,11,pain_relevant,4.466,-0.123,True
PTPN23,11,pain_relevant,4.804,0.337,True
MAPK14,11,pain_relevant,4.477,0.347,True
VASH2,11,pain_relevant,3.178,0.144,True
TNIK,11,pain_relevant,4.382,0.199,True
WDR81,14,pain_relevant,3.664,0.178,True
CCDC160,11,pain_relevant,3.045,-0.21,True
SLC2A1,11,pain_relevant,5.352,0.297,True
ANKRD13B,11,pain_relevant,2.773,0.308,True
NPY,3,ambiguous,0.031,0.076,True
AXL,14,pain_relevant,2.079,0.18,True
SERPINE1,5,nonpain(LTMR/proprio),0.167,0.064,True
CRISP3,15,pain_relevant,0.017,0.03,True
WBP1L,9,pain_relevant,3.466,0.192,True
ITPKC,14,pain_relevant,3.761,0.172,True
ACVR1,11,pain_relevant,3.045,0.126,True
LNP1,14,pain_relevant,1.099,0.053,True
AGRN,9,pain_relevant,3.738,0.228,True
VIP,3,ambiguous,0.009,0.014,True
TNS3,11,pain_relevant,3.258,0.216,True
ANKRD1,13,nonpain(LTMR/proprio),0.083,0.006,True
CTTN,14,pain_relevant,5.247,0.353,True
RUBCN,11,pain_relevant,3.761,0.192,True
MEGF11,9,pain_relevant,3.689,0.1,True
ADRA2A,14,pain_relevant,3.714,0.122,False
