symbol,spearman_rho_duration,spearman_p_duration
TNS3,0.6227656561948947,0.09910080782353471
ACVR1,0.45509797952703834,0.25719208545877237
NPY,0.4148699068225111,0.3067678173002428
CRISP3,0.4148699068225111,0.3067678173002428
ANKRD1,0.4148699068225111,0.3067678173002428
TNIK,0.28743030285918214,0.49001548522203403
AGRN,0.26347777762091695,0.528366470576909
MEGF11,0.2515015150017844,0.5479426035598268
VIP,0.21557272714438658,0.6081490663684049
FLRT3,0.20359646452525404,0.6286746732890386
FLNC,0.17964393928698885,0.6703442772469386
AXL,0.15569141404872366,0.7127617079991629
RUBCN,0.11976262619132588,0.7775830437712571
MAPK14,0.08383383833392813,0.8435464923328299
SRRM4,0.05988131309566294,0.8879906501125184
ECEL1,0.03592878785739777,0.9326914749090881
LNP1,0.03592878785739777,0.9326914749090881
WDR81,0.02395252523826518,0.9551061898789128
PTPN23,-0.01197626261913259,0.977546654703887
CCDC160,-0.03592878785739777,0.9326914749090881
SLC2A1,-0.05988131309566294,0.8879906501125184
GALNS,-0.10778636357219329,0.7994604266184203
ANKRD13B,-0.23952525238265177,0.5677721522592929
CHL1,-0.2515015150017844,0.5479426035598268
WBP1L,-0.3233590907165799,0.4346394485508573
RNF19B,-0.3233590907165799,0.4346394485508573
VASH2,-0.3592878785739777,0.38206467736498634
SERPINE1,-0.3592878785739777,0.38206467736498634
ATF3,-0.4071929290505081,0.31670918491612826
ITPKC,-0.4191691916696406,0.30126663266334447
TFE3,-0.467074242146171,0.24326991663399553
CTTN,-0.8024095954818835,0.01654072280067719
SPRR1A,,
CDHR5,,
