symbol,chronic_mean_cpm,acute_mean_cpm,log2FC_chronic_vs_acute,welch_t,welch_p,t_positive
SRRM4,4.638674302756821,2.662083746261771,0.6226912296505214,1.108775086936728,0.3530498797256572,True
AGRN,15.186504239458197,10.14364084259249,0.5385707778725138,1.05516413570657,0.33017076508899995,True
VIP,0.6498621676534708,0.22567689981368977,0.42876678336313606,1.804610613187751,0.07365852826081451,True
TNS3,135.88385163372058,107.06778862109365,0.3410156918204996,1.0494807060478628,0.30346721432852874,True
ECEL1,0.6767396437661001,0.32492955215472485,0.33974303924243376,0.9100048174649749,0.36671181678258513,True
LNP1,4.258359570391458,3.2652842241215594,0.30197091678149646,1.2993952964515563,0.19593510183781782,True
WDR81,17.060872935062612,14.009274279569008,0.26701340197156825,0.7064650107800554,0.4860829635672392,True
RUBCN,26.17267693807504,21.689148481460578,0.26015423480883926,0.9477969136595423,0.3554858418258623,True
ACVR1,24.8421182624985,21.30659309821185,0.21225414513175436,0.695093488287891,0.4915577279042174,True
CCDC160,4.675451026601797,3.9671280866478877,0.1923230977220791,0.39169322628268916,0.6966934323109081,True
ANKRD13B,21.13001906421884,18.65055431186139,0.17143468470735315,0.5802128583239918,0.5641712140777836,True
GALNS,26.80562013321053,24.298932528395557,0.1363000004752102,0.6091970915637244,0.5458367585194097,True
TNIK,18.881078473017165,17.172427097552955,0.12964490189819036,0.7746575554391427,0.44143632327444166,True
NPY,0.0841032283024184,0.0,0.1165021366450513,1.0,0.3179306591947632,True
MEGF11,3.01580725646831,2.821005720633263,0.07173760942160984,-0.12335139966276268,0.9023653631026128,False
MAPK14,39.11051620625959,37.67865969056063,0.05244273038252865,0.3264966673692852,0.74827612355711,True
ANKRD1,0.028034409434139464,0.0,0.039888553918164676,1.0,0.31739716468662493,True
CRISP3,0.028034409434139464,0.0,0.039888553918164676,1.0,0.31739716468662493,True
PTPN23,51.29322329101029,50.60508881535879,0.019110661031015795,0.36199204850467187,0.7286587463566327,True
SPRR1A,0.0,0.0,0.0,,,False
CDHR5,0.0,0.0,0.0,,,False
FLRT3,19.272712270989153,19.507212552340985,-0.016592287676706133,-0.2449747488234546,0.8066868819329259,False
TFE3,57.952085553471385,59.581504712481866,-0.039334559511479295,0.18995987149835192,0.8534074247701248,True
AXL,68.47503204542392,70.40195713357622,-0.03946902431681829,0.04081623695178968,0.9678173578326238,True
ATF3,37.095774754539676,38.484356634804676,-0.05165018736988012,-0.24860859698505172,0.8052550987878675,False
RNF19B,33.19904311212167,35.075824197776036,-0.07707639615815015,-0.321203698019678,0.7490004102716322,False
ITPKC,17.371142155523717,19.073723361648465,-0.12786691559582572,-0.09164127291717841,0.928380161498346,False
FLNC,13.5208996019619,15.043749439582726,-0.14388050614408676,0.001647665383779967,0.9987556837195097,True
CHL1,185.6428387014101,213.20596566677455,-0.19871850497020843,0.05619220875687779,0.9575068981512015,True
VASH2,0.870855781067918,1.2185080570612883,-0.24589144304959845,-1.3470287199149633,0.18023031290809224,False
WBP1L,46.376171042430784,56.13779086812546,-0.27028365388744524,-0.5582354909815844,0.5833642299607216,False
CTTN,87.10389965532909,106.25613526816517,-0.2837823929154326,-3.2268148051349637,0.0013230115182436958,False
SLC2A1,285.3696196580683,383.9005386521994,-0.4266072418600674,-0.6246829593100015,0.5467730825964973,False
SERPINE1,1.131639392441791,4.743007551395804,-1.429843059414332,-1.587268515150585,0.17537427110915293,False
REG3B,,,,,,
