miRNA,targets,max_score,rho_pain,p_pain,FDR_pain,LSSDS_log2FC,LSSDS_FDR
hsa-miR-146a-3p,TFE3,85.817,0.3666249282121099,0.0054496299158954,0.7777400408542186,0.1561989921753301,0.8067679211319901
hsa-miR-2115-5p,RUBCN,84.6475998890486,-0.3223326646707175,0.0154029462090474,0.9164471256099552,-0.0033976922095005,0.9799019673910544
hsa-miR-199b-5p,FLRT3;SERPINE1,85.6203,0.2874297929760293,0.0317163564510741,0.9164471256099552,0.3852027688432251,0.4081039155524428
hsa-miR-204-5p,RUBCN,85.9203,0.2804510167599962,0.0362969238689857,0.9164471256099552,0.2265431588631332,0.5888707349852248
hsa-miR-3164,SRRM4,88.8110072668631,0.2780958176665408,0.037961310274115,0.9164471256099552,0.0168388274803821,0.9688929551206772
hsa-miR-548aq-5p,FLRT3,93.8567995486,-0.2741327066795989,0.040904117638586,0.9164471256099552,0.072121310681232,0.8235186014604785
hsa-miR-143-3p,PTPN23,88.6835,0.2697091749372786,0.044408085961599,0.9164471256099552,0.1026036395022345,0.8067679211319901
hsa-miR-9-5p,ITPKC,91.54821,0.2672624857001375,0.0464495427801877,0.9164471256099552,0.6050323899537391,0.3783687978254808
hsa-miR-5003-3p,VASH2,80.3309396916,-0.2622350087636399,0.0508855080162106,0.9164471256099552,0.0870918588913851,0.8007945400009061
hsa-miR-4719,TNIK,80.4839218448061,-0.2564859342511236,0.0563744900625417,0.9164471256099552,-0.0921247888120079,0.6522371927855796
hsa-miR-760,ITPKC,86.1709,0.2558320398671048,0.0570280389865122,0.9164471256099552,0.4970199774748975,0.4011768550330624
hsa-miR-22-3p,MAPK14,89.1909,-0.251304363151858,0.0617231151209007,0.9291946625359812,0.0846167201128142,0.7929582202876635
hsa-miR-548j-3p,ACVR1,92.4606301681,-0.2473807426754678,0.0660388598999546,0.9291946625359812,0.0245033950565943,0.9197089964252784
hsa-miR-5683,MEGF11,82.1714,0.2417947303272569,0.0725964565419158,0.9322503825977866,0.06083005130036,0.7219561259946982
hsa-miR-5193,TFE3,90.2816331932145,0.225008639484347,0.095456923142768,0.9863362615743116,0.1787949552889196,0.493336130496294
hsa-miR-200c-3p,VASH2,99.7287094845661,0.224176081096396,0.0967219636321912,0.9863362615743116,0.1116706620115968,0.7875134065036582
hsa-miR-142-3p,CTTN;PTPN23,93.60784,0.2165815305083601,0.1088713033235875,0.9863362615743116,0.0226536560994485,0.9656930569592632
hsa-miR-223-5p,SLC2A1,83.6842,0.2152815623896872,0.1110636151206035,0.9863362615743116,0.3049204407988366,0.4170254744044856
hsa-miR-129-5p,MEGF11;VASH2,96.5457759858484,0.2152050984434726,0.1111936135042507,0.9863362615743116,0.2546473156592675,0.4293010993208049
hsa-miR-1179,RNF19B,81.4763,0.2137457790161616,0.1136970748545068,0.9863362615743116,0.1430994946736867,0.7620405931518583
hsa-miR-101-3p,FLRT3,97.9296105796,-0.2106974642869988,0.1190653754500275,0.9863362615743116,0.0936421865818726,0.6362851833112186
hsa-miR-223-3p,WBP1L,80.8105,0.2063186243083114,0.1271118720649766,0.9863362615743116,0.2458312873891692,0.5569849913888053
hsa-miR-3191-5p,FLRT3,90.7724329279,0.2058610371501339,0.1279758985340777,0.9863362615743116,-0.1041289914200569,0.6362851833112186
hsa-miR-589-3p,VASH2,81.7113723008,0.2057311276243461,0.1282220036731939,0.9863362615743116,0.4555897940036765,0.2105486879912184
hsa-miR-148a-5p,FLRT3,83.6279,-0.2033956466494531,0.1327076521429911,0.9863362615743116,0.4163152154238787,0.3725346050742
hsa-miR-6735-5p,RNF19B,91.00245,0.201630461943633,0.136175563691816,0.9863362615743116,-0.009082072106164,0.9799019673910544
hsa-miR-4433b-5p,SERPINE1,88.0587,0.2011187518336201,0.1371934783229652,0.9863362615743116,0.404391536577382,0.606293886487451
hsa-miR-4632-5p,RNF19B,91.00245,-0.1999690462909339,0.139501308242522,0.9863362615743116,0.0817420878686045,0.4990443750605259
hsa-miR-3163,ANKRD1;CHL1;SLC2A1;VASH2,93.4799950967339,-0.197485418267468,0.1445856997317315,0.9863362615743116,-0.1242077018483129,0.8007945400009061
hsa-miR-342-5p,WBP1L,80.918,0.1959564376127679,0.147783663490649,0.9863362615743116,-0.2794639173600859,0.569284932662627
hsa-miR-664b-3p,MEGF11,89.5237830746241,0.1948796346357405,0.1500671913735067,0.9863362615743116,0.2111909923007704,0.6641189160952681
hsa-miR-4742-5p,CHL1,94.67725360072,0.1891023306807689,0.1627670840867031,0.9863362615743116,-0.0470989016327023,0.8067679211319901
hsa-miR-6820-3p,SRRM4,86.9988425970065,0.1872592798435833,0.1669797261493064,0.9863362615743116,0.3826509131323794,0.3412837103663962
hsa-miR-4659a-3p,CHL1,87.2226863704,0.1863490239581997,0.1690894228866949,0.9863362615743116,0.0949110540059166,0.8487475386865915
hsa-miR-1271-5p,CTTN;TNS3,98.09775804286,-0.1831240462240485,0.1767203047535861,0.9863362615743116,0.2767148245533477,0.493336130496294
hsa-miR-4677-5p,ANKRD13B;CRISP3,87.5272738225,-0.1830196852451286,0.176971339627126,0.9863362615743116,-0.0764151604066631,0.8067679211319901
hsa-miR-494-3p,SERPINE1;VASH2,85.8203678325,0.1825710887244236,0.1780533556652433,0.9863362615743116,0.6211733305455509,0.3046402196755158
hsa-miR-106b-5p,VASH2,97.3091024622258,-0.1796008585008514,0.1853384952579284,0.9863362615743116,-0.065867707802159,0.8123355271542684
hsa-miR-4435,SRRM4,80.6473689832709,0.1783074743591207,0.1885768724486922,0.9863362615743116,0.2801549131755975,0.4640716424261425
hsa-let-7g-3p,FLRT3;MEGF11,94.0309834201913,-0.1729906658571269,0.2023150602605143,0.9863362615743116,0.064618722894383,0.8867308695275335
hsa-miR-3614-3p,SRRM4,81.6986487942249,0.1729804186677886,0.2023422047065578,0.9863362615743116,0.1188248353171073,0.4640716424261425
hsa-miR-29b-3p,ANKRD13B,89.5876,0.1708431785434765,0.2080601721671484,0.9863362615743116,0.1499910125101777,0.5097340186877568
hsa-miR-326,CHL1,80.9926,0.1706873322696016,0.2084815319539343,0.9863362615743116,0.3828416265815665,0.3669818556720646
hsa-miR-548t-5p,FLRT3,81.3287826014625,-0.1701877090693947,0.20983640903799,0.9863362615743116,0.0775705300517067,0.7316264427136127
hsa-miR-152-3p,ACVR1;SLC2A1,87.8906,0.1700221460474727,0.2102867460485417,0.9863362615743116,0.5547075948407825,0.3046402196755158
hsa-miR-148a-3p,ACVR1;SLC2A1,87.8906,-0.1693721619881363,0.2120612962538158,0.9863362615743116,0.2148103966504422,0.3386590199250889
hsa-miR-4659b-3p,CHL1,87.2226863704,0.1691875684125059,0.2125671750129092,0.9863362615743116,0.512492074575438,0.1514367746487208
hsa-miR-543,VIP,86.929005294,-0.1624768831446097,0.231535867532683,0.9863362615743116,0.0554610526480391,0.919488754917723
hsa-miR-2355-3p,SERPINE1,85.7748,-0.159731311180017,0.2396235052196395,0.9863362615743116,0.011733086753541,0.9812041066060432
hsa-miR-570-3p,ACVR1;CHL1,97.8306922579171,0.1573401360584508,0.2468231712290867,0.9863362615743116,0.300803074549729,0.4640368575084659
hsa-let-7b-3p,ACVR1;NPY;TNS3,91.88601,-0.1570908842354114,0.2475820372062828,0.9863362615743116,0.1273225811254699,0.6669165286369291
hsa-miR-548aq-3p,ACVR1,92.4606301681,-0.1519731155701837,0.2635149288946963,0.9863362615743116,0.3443350500908025,0.3741056483727998
hsa-miR-4766-5p,WBP1L,83.6599605252,0.1519415794693613,0.2636151919411784,0.9863362615743116,-0.103348129551816,0.5999117272985924
hsa-miR-425-5p,ANKRD1,85.3006,0.1515831245747186,0.2647566289796182,0.9863362615743116,0.3137989756182087,0.2105486879912184
hsa-miR-3074-5p,TNIK,81.187369877175,0.1513778664507176,0.2654117259695747,0.9863362615743116,0.1685146341549472,0.5865693080638114
hsa-miR-29a-3p,ANKRD13B,89.5876,0.1503173661433793,0.268813670715571,0.9863362615743116,0.2326419727158661,0.4956117590663332
hsa-miR-1276,TNIK,94.8600436406066,0.1495036384823996,0.2714436454762123,0.9863362615743116,0.1588080221937337,0.2461585830840701
hsa-miR-6862-5p,PTPN23,85.6882,0.1486290830104219,0.2742892515698203,0.9863362615743116,0.1104073559993056,0.7149792609949616
hsa-miR-4755-3p,RUBCN,80.0424282283,-0.1469577104616304,0.2797824343631725,0.9863362615743116,-0.0712440387756158,0.8007945400009061
hsa-miR-33a-5p,NPY,81.0148,0.1462141542684515,0.2822494213038016,0.9863362615743116,0.316527697660647,0.6085287423279804
hsa-miR-6825-5p,SRRM4,90.0616929321245,-0.1451479139488127,0.285811960793528,0.9863362615743116,-0.1456250457216826,0.5690441469810125
hsa-miR-6764-5p,TFE3,99.74831834115,0.1430291227215131,0.2929785964399574,0.9863362615743116,0.1007907523362698,0.7620405931518583
hsa-miR-10b-3p,VASH2,82.224480118,0.1417307346226719,0.2974277155203361,0.9863362615743116,0.5040499898962518,0.3338247764228218
hsa-miR-660-3p,VASH2,85.662415037,-0.1415936357857319,0.2979000532409911,0.9863362615743116,-0.2753154691742767,0.3386590199250889
hsa-miR-20a-5p,VASH2,97.3091024622258,-0.140499185878666,0.3016881454932572,0.9863362615743116,0.0961317894017419,0.6522371927855796
hsa-miR-580-3p,MEGF11,89.4430250092,-0.1403074246767595,0.3023550604969285,0.9863362615743116,0.3945370133831467,0.2063900869289648
hsa-miR-3157-5p,FLRT3,88.0454070838,0.1402152609693446,0.3026759301333573,0.9863362615743116,0.2707375511007024,0.4640716424261425
hsa-miR-548b-5p,FLRT3,94.6594865022,0.1401684491499455,0.3028389905969842,0.9863362615743116,0.1425799100049371,0.569284932662627
hsa-miR-486-3p,ATF3,82.6482,0.1401228793179976,0.3029977793452529,0.9863362615743116,0.0125265721685448,0.9637235304950246
hsa-miR-20b-5p,VASH2,96.2954158462644,-0.1399176211939966,0.3037136710771633,0.9863362615743116,0.2601302545549009,0.3046402196755158
hsa-miR-5189-5p,CHL1,91.82529,0.1362190478786115,0.3168003926890695,0.9863362615743116,0.1930147659512919,0.6905364478829702
hsa-miR-4729,ANKRD1;TNS3,86.1111,0.1347821107106226,0.321980250260896,0.9863362615743116,-0.1105593660628952,0.6576588183039908
hsa-miR-206,TNS3,80.9374217819379,-0.1338625065359679,0.3253232587706059,0.9863362615743116,-0.3957803832784421,0.6508281130031153
hsa-miR-499b-5p,AGRN,91.37255,-0.1334482031950963,0.3268365066426953,0.9863362615743116,-0.0092604521630169,0.9656930569592632
hsa-miR-495-3p,WBP1L,98.1853790999882,0.1316685317529808,0.3333872136979779,0.9863362615743116,0.0419385267948607,0.9432736896941044
hsa-miR-582-5p,MAPK14,80.7975,-0.1311400616102757,0.3353481788127389,0.9863362615743116,-0.0542508728863074,0.932172370967057
hsa-miR-455-5p,ANKRD13B,81.0,0.1310837458094644,0.3355575715558346,0.9863362615743116,0.4141412153142092,0.4213322313514603
hsa-miR-338-5p,CTTN,94.2750623686,0.1299881193089858,0.3396475878630529,0.9863362615743116,0.2019309522514243,0.4990443750605259
hsa-miR-769-3p,WBP1L,85.2168564895,0.1297842828536592,0.3404119304693246,0.9863362615743116,0.1354523134408851,0.7646711294707476
hsa-miR-2116-5p,FLRT3;VASH2,93.7892714537406,-0.1296973733220518,0.3407381478584271,0.9863362615743116,0.0634051334871974,0.8415771400885105
hsa-miR-330-5p,CHL1,82.1229,-0.1276853340691854,0.3483447384076182,0.9863362615743116,0.2070267832435002,0.569284932662627
hsa-miR-19b-3p,MAPK14;SERPINE1,90.1544837687,-0.1261995365732649,0.3540286274904954,0.9863362615743116,0.3552326910493306,0.1438241786327136
hsa-miR-7110-3p,WBP1L,92.5587819858507,0.1252468909715308,0.357702739770381,0.9863362615743116,0.0892498858386763,0.5495366035797294
hsa-miR-335-3p,FLRT3,98.2987397726395,0.125141174718489,0.3581118932769741,0.9863362615743116,0.3894359331319648,0.563612127308509
hsa-miR-4738-3p,CHL1,91.6647315946,0.1244231208832293,0.3608985436086147,0.9863362615743116,0.0832737649418668,0.7014951432760396
hsa-miR-6868-3p,WBP1L,80.577890482,-0.1228467344333814,0.3670624517746518,0.9863362615743116,0.0890875380984478,0.8117669707197184
hsa-miR-19a-3p,MAPK14;SERPINE1,90.1544837687,-0.1197681153545678,0.3792827869133087,0.9863362615743116,0.3269029176969606,0.273112180730003
hsa-miR-301b-3p,ACVR1,94.83525937447,0.1192240304655152,0.3814674963530921,0.9863362615743116,0.044983551928738,0.931943546847106
hsa-miR-33a-3p,CTTN,83.5797,-0.1189601076411944,0.3825299454992177,0.9863362615743116,-0.0197920843085505,0.933746413208242
hsa-miR-4799-5p,ACVR1,84.6299,-0.1185987237658812,0.3839875905444945,0.9863362615743116,0.0845252526470989,0.752592799657589
hsa-miR-466,VIP,89.1949,0.1169084898668982,0.3908489107951107,0.9863362615743116,-0.0940113729395857,0.8423818493223462
hsa-miR-182-5p,CRISP3;CTTN;MEGF11;TNS3,99.481939493915,-0.1168602919312206,0.3910456202409758,0.9863362615743116,0.0658314364344843,0.8673652608218816
hsa-let-7a-3p,ACVR1;NPY;TNS3,91.88601,-0.1145340331925429,0.4006090531641897,0.9863362615743116,0.1056054046641077,0.8473174473802644
hsa-miR-6721-5p,GALNS;SRRM4,92.8788605492147,0.1141181469222442,0.4023330674936458,0.9863362615743116,0.3772901455297893,0.3468963179043728
hsa-miR-27b-3p,CHL1;FLRT3,80.8526058274,0.1140208878825405,0.402736867901215,0.9863362615743116,0.2784934291128884,0.4638111379139225
hsa-miR-450a-1-3p,WBP1L,82.1383496199029,-0.1129628199155715,0.4071449916192286,0.9863362615743116,0.1583701826768999,0.6669165286369291
hsa-miR-655-3p,FLRT3,85.9928076176,0.1115708139400541,0.4129867577659333,0.9863362615743116,0.0680015403053869,0.7620405931518583
hsa-miR-2115-3p,TNS3,86.9090729307291,0.1112056871536478,0.4145270185044078,0.9863362615743116,0.1095923456012865,0.606293886487451
hsa-miR-558,FLNC,80.9523,-0.1105683914582827,0.4172232994161071,0.9863362615743116,0.1541526027365193,0.7416516541659428
hsa-miR-449a,AXL,80.8316,-0.1104714772424601,0.4176342039652093,0.9863362615743116,0.1692062700196643,0.6508281130031153
hsa-miR-1285-3p,CHL1,91.82529,-0.1090262735318502,0.4237891334747197,0.9863362615743116,-0.1622746716916152,0.6508281130031153
hsa-miR-361-3p,TFE3,86.7866574263814,0.1088552250951827,0.4245210028919048,0.9863362615743116,0.3078822848119253,0.3692096824752203
hsa-miR-199a-5p,FLRT3;SERPINE1,85.6203,0.1073499988525089,0.4309923391980737,0.9863362615743116,0.2852672878893054,0.6522371927855796
hsa-miR-6516-5p,FLRT3,91.92927,0.1067901856230134,0.4334132241386478,0.9863362615743116,-0.0384122017576216,0.9188701565216
hsa-miR-495-5p,CTTN,97.61753,0.1064992077852626,0.434674556138796,0.9863362615743116,0.0837995154044656,0.6347814966715106
hsa-miR-320c,FLRT3,82.025,0.1054000466744996,0.4394577502449543,0.9863362615743116,-0.0328474953865094,0.9538610221727926
hsa-miR-548i,FLRT3,93.8567995486,-0.1049030546453208,0.4416301025639382,0.9863362615743116,-0.0097430615963095,0.9551062262902552
hsa-miR-4804-3p,FLRT3,83.5298,-0.1037448026783376,0.4467159429105379,0.9863362615743116,0.1620141238982603,0.4213322313514603
hsa-miR-27a-3p,CHL1;FLRT3,80.8526058274,0.1035185138711574,0.4477133366365706,0.9863362615743116,0.2617525709818302,0.4905833015888433
hsa-miR-33b-5p,NPY,81.0148,-0.1032411525094278,0.4489375145080089,0.9863362615743116,0.3059552888100811,0.4640368575084659
hsa-miR-500a-5p,VASH2,94.966155352,-0.1027766943884819,0.4509916011663097,0.9863362615743116,0.3880274156557886,0.4213322313514603
hsa-miR-24-3p,RUBCN,90.6998043976,0.1012948841944802,0.4575794088252886,0.9863362615743116,0.1598635273154798,0.5569849913888053
hsa-miR-4429,FLRT3,82.025,-0.1010025785851277,0.4588851070837497,0.9863362615743116,-0.1198591928176743,0.6637334986947021
hsa-miR-3139,TNS3,96.67687555481,-0.0994977934657939,0.4656388337931232,0.9863362615743116,-0.0280393774368043,0.8524700529910417
hsa-miR-323a-3p,FLRT3,99.1778882049818,0.0985084780212928,0.4701081207615599,0.9863362615743116,0.251635032250622,0.6522371927855796
hsa-miR-219b-5p,RNF19B,85.4066347418,0.0982021211607779,0.4714967598579617,0.9863362615743116,0.1067660163503504,0.7350346944857991
hsa-miR-3140-3p,SLC2A1,80.0424,0.0979370728394071,0.4726999290330795,0.9863362615743116,0.2875028709439116,0.478110965896714
hsa-miR-628-5p,VASH2,92.74984,0.0971897217144607,0.476101308597951,0.9863362615743116,0.2856408320630743,0.5745999901433693
hsa-miR-486-5p,SERPINE1,84.8752032914791,0.0971555120271272,0.4762573167505189,0.9863362615743116,0.1336744110205252,0.4873925481209095
hsa-miR-5581-3p,CHL1,83.7659098486794,-0.0962452327147851,0.4804184925707477,0.9863362615743116,0.0521877585013524,0.6905364478829702
hsa-miR-3613-3p,ANKRD13B;CTTN;SERPINE1;VASH2,97.9971130289036,-0.0956324193287746,0.4832306647108211,0.9863362615743116,0.4253099093417709,0.3864504781956731
hsa-miR-6875-5p,VASH2,88.6331,-0.0951737710964256,0.4853410494608896,0.9863362615743116,0.0526569734985372,0.8975328912015458
hsa-miR-6513-5p,WBP1L,84.3106327344,-0.0931462088659947,0.4947283132961212,0.9863362615743116,0.1139064146777983,0.714342875341043
hsa-miR-17-5p,VASH2,96.2954158462644,-0.0924345751751048,0.4980452707205455,0.9863362615743116,-0.1549442812317369,0.4990443750605259
hsa-miR-6511b-5p,VIP,81.4071,-0.0924319318141965,0.498057612947896,0.9863362615743116,0.2576631949225463,0.35324242539455
hsa-miR-4797-5p,RUBCN,87.9505397063274,0.0913326209598368,0.5032041306139723,0.9863362615743116,-0.0112196065631565,0.961287775961202
hsa-miR-4762-3p,MEGF11,88.231985065,0.0904943657379608,0.507146760116961,0.9863362615743116,0.0635412143209703,0.8260486236509925
hsa-miR-3682-3p,PTPN23;RUBCN,93.55037,-0.0893221189192361,0.5126866074130649,0.9863362615743116,0.2428239536885432,0.4990443750605259
hsa-miR-320b,FLRT3,82.025,0.0883294126950854,0.5174018270957647,0.9863362615743116,0.119401181797941,0.5276741463517692
hsa-miR-28-5p,TNS3,96.16358977004,0.087337331762414,0.5221357747351474,0.9863362615743116,-0.100246539372399,0.8684553443958558
hsa-miR-339-5p,WDR81,95.935524434,0.0860715733310747,0.528206894176105,0.9863362615743116,0.4728796837644067,0.3864504781956731
hsa-miR-128-3p,ITPKC;MAPK14;MEGF11,89.7505,0.0857294764577397,0.5298537157086045,0.9863362615743116,0.3053586851517149,0.1869692090621433
hsa-miR-376a-2-5p,ACVR1,86.4716,0.0834615492369308,0.5408350288724247,0.9863362615743116,0.0078017455435882,0.9688929551206772
hsa-miR-576-5p,MEGF11,83.3044269925,0.0831979595950611,0.5421184633233389,0.9863362615743116,0.1014450258316195,0.7445442419207502
hsa-miR-218-1-3p,ATF3,88.7034,-0.0831166069384152,0.5425148724316132,0.9863362615743116,0.0378526853360143,0.8524475842938036
hsa-miR-4422,ATF3,80.8865,-0.081460009176515,0.5506174241452035,0.9863362615743116,0.0742094569778679,0.5427562074216463
hsa-miR-6805-5p,MEGF11,86.1822,-0.0811939538627571,0.5519240954473559,0.9863362615743116,0.1370174950130804,0.7929582202876635
hsa-miR-6833-3p,VIP,90.05042,-0.0807614777368413,0.5540512586843642,0.9863362615743116,0.2425337109502459,0.4213322313514603
hsa-miR-9-3p,VASH2,82.401,0.0792770645641422,0.5613819667969515,0.9863362615743116,0.4329408226340727,0.400357952547611
hsa-miR-374c-5p,FLRT3,85.9928076176,0.078591068932455,0.5647850592184749,0.9863362615743116,0.0398957367640596,0.9105648433098364
hsa-miR-362-3p,CHL1,81.8137,0.0782843897487881,0.5663095486475019,0.9863362615743116,0.049535758210903,0.935328331418358
hsa-miR-6791-3p,MAPK14,84.3968630927157,-0.0777741417266026,0.5688502138838294,0.9863362615743116,0.0695198542644366,0.7854714735223167
hsa-miR-153-3p,VASH2,81.9223621087776,-0.0777488177934258,0.5689764464445473,0.9863362615743116,0.4374687294535068,0.2817013113999685
