cluster,n_cells,assigned,score_best,score_second,score_second_ct,margin,score_Neuron,score_SatelliteGlia,score_Schwann,score_Immune,score_Endothelial,score_Fibroblast,score_Pericyte_VSMC,score_Erythrocyte
0,702,Neuron,0.7,0.142,Erythrocyte,0.558,0.7,-0.399,-0.161,-0.17,-0.268,-0.269,0.016,0.142
1,1309,Neuron,0.794,-0.021,Pericyte_VSMC,0.815,0.794,-0.321,-0.036,-0.193,-0.195,-0.235,-0.021,-0.372
2,254,SatelliteGlia,3.066,2.746,Schwann,0.32,-1.488,3.066,2.746,-0.156,0.151,1.277,0.183,-0.495
3,311,Neuron,1.116,0.078,Schwann,1.038,1.116,-0.197,0.078,-0.194,-0.234,-0.235,-0.128,-0.44
4,1214,Schwann,0.405,0.383,SatelliteGlia,0.022,0.356,0.383,0.405,-0.168,-0.181,-0.187,-0.146,0.024
5,1869,Neuron,0.675,0.331,Pericyte_VSMC,0.345,0.675,-0.361,0.126,-0.17,-0.237,-0.21,0.331,-0.158
6,1657,Neuron,0.859,0.383,Pericyte_VSMC,0.476,0.859,-0.393,0.337,0.029,0.225,-0.217,0.383,-0.193
7,274,Neuron,1.98,0.555,SatelliteGlia,1.425,1.98,0.555,-0.377,-0.072,-0.241,-0.291,-0.357,0.488
8,2266,Neuron,0.174,-0.2,Immune,0.374,0.174,-0.318,-0.549,-0.2,-0.238,-0.284,-0.295,-0.209
9,2268,Neuron,0.596,-0.068,Pericyte_VSMC,0.664,0.596,-0.257,-0.362,-0.192,-0.263,-0.27,-0.068,-0.146
10,1378,Neuron,0.598,-0.098,SatelliteGlia,0.696,0.598,-0.098,-0.194,-0.184,-0.277,-0.292,-0.291,-0.294
11,1271,Neuron,0.8,-0.011,Pericyte_VSMC,0.811,0.8,-0.419,-0.208,-0.064,-0.269,-0.29,-0.011,-0.169
12,357,Neuron,1.367,1.34,Erythrocyte,0.027,1.367,0.356,-0.291,-0.184,-0.224,-0.27,0.592,1.34
13,73,Immune,4.8,0.384,Schwann,4.416,-1.2,0.087,0.384,4.8,-0.209,-0.127,-0.37,-0.495
14,512,Neuron,0.927,0.157,SatelliteGlia,0.77,0.927,0.157,-0.25,-0.19,-0.241,-0.282,-0.325,-0.092
15,593,SatelliteGlia,3.218,2.502,Schwann,0.716,-1.446,3.218,2.502,-0.116,0.18,0.459,0.474,-0.414
16,670,Neuron,0.65,-0.12,Pericyte_VSMC,0.77,0.65,-0.27,-0.307,-0.121,-0.266,-0.271,-0.12,-0.398
17,771,Neuron,0.95,-0.187,Immune,1.137,0.95,-0.226,-0.221,-0.187,-0.246,-0.263,-0.374,-0.466
18,279,Erythrocyte,1.047,0.664,Neuron,0.383,0.664,-0.39,-0.417,-0.177,-0.264,-0.265,0.522,1.047
19,1336,Erythrocyte,0.825,0.493,Neuron,0.332,0.493,-0.403,-0.251,-0.194,-0.276,-0.287,-0.1,0.825
20,655,Neuron,0.822,0.303,Fibroblast,0.519,0.822,0.118,0.145,-0.18,-0.242,0.303,-0.01,-0.495
21,443,Erythrocyte,1.744,1.1,Neuron,0.643,1.1,1.062,-0.11,-0.179,-0.256,-0.189,0.546,1.744
22,31,Endothelial,4.416,4.343,Fibroblast,0.073,-1.37,0.621,-0.238,0.059,4.416,4.343,0.956,-0.495
23,1292,Neuron,0.805,0.137,Pericyte_VSMC,0.668,0.805,-0.401,-0.156,-0.192,-0.24,-0.251,0.137,-0.199
24,278,Schwann,2.332,1.278,Pericyte_VSMC,1.055,-0.522,1.106,2.332,-0.185,-0.103,0.177,1.278,-0.078
