symbol,top_celltype,top_mean,top_pct,mean_others,specificity,n_celltypes,ambient_index,ambient_suspect,n_methods
ATF3,Schwann,1.0297,0.799,0.8003,1.29,6,0.549,False,3
SPRR1A,Neuron,0.926,0.392,0.1608,5.76,6,0.82,False,3
TFE3,Immune,0.2707,0.26,0.1297,2.09,6,0.247,False,3
GALNS,Immune,0.0234,0.041,0.0086,2.74,6,0.314,False,3
CDHR5,SatelliteGlia,0.0014,0.001,0.0001,26.45,6,0.0,False,3
CHL1,SatelliteGlia,0.7434,0.497,0.3382,2.2,6,0.458,False,2
TNS3,SatelliteGlia,0.5796,0.438,0.1131,5.13,6,0.313,False,2
AXL,Immune,0.4952,0.411,0.0787,6.29,6,0.142,False,2
CTTN,Neuron,0.4914,0.735,0.3247,1.51,6,0.356,False,2
FLRT3,Neuron,0.4566,0.477,0.1573,2.9,6,0.372,False,2
TNIK,Neuron,0.4285,0.608,0.1715,2.5,6,0.313,False,2
SLC2A1,Endothelial,0.3895,0.226,0.1773,2.2,6,0.352,False,2
RNF19B,Neuron,0.3509,0.665,0.1886,1.86,6,0.317,False,2
MAPK14,Erythrocyte,0.3158,0.742,0.2154,1.47,6,0.292,False,2
ANKRD13B,Neuron,0.2905,0.616,0.1069,2.72,6,0.28,False,2
ECEL1,Neuron,0.285,0.28,0.0332,8.58,6,0.46,False,2
AGRN,Endothelial,0.2439,0.161,0.1125,2.17,6,0.241,False,2
SRRM4,Neuron,0.1934,0.469,0.0735,2.63,6,0.269,False,2
RUBCN,Erythrocyte,0.186,0.559,0.1118,1.66,6,0.281,False,2
FLNC,Endothelial,0.1741,0.097,0.0359,4.85,6,0.373,False,2
WBP1L,Endothelial,0.1673,0.129,0.0958,1.75,6,0.325,False,2
PTPN23,Neuron,0.1598,0.477,0.0987,1.62,6,0.362,False,2
ACVR1,Neuron,0.1294,0.388,0.0957,1.35,6,0.302,False,2
NPY,Endothelial,0.1225,0.065,0.0439,2.79,6,0.868,False,2
WDR81,Immune,0.1079,0.164,0.0696,1.55,6,0.177,False,2
ITPKC,Endothelial,0.0818,0.065,0.039,2.1,6,0.288,False,2
CCDC160,Endothelial,0.0685,0.032,0.0338,2.02,6,0.314,False,2
SERPINE1,Endothelial,0.0583,0.032,0.0114,5.11,6,0.0,False,2
VASH2,Erythrocyte,0.0521,0.211,0.0216,2.41,6,0.161,False,2
MEGF11,SatelliteGlia,0.0439,0.04,0.0016,27.04,6,0.0,False,2
ANKRD1,Neuron,0.0079,0.024,0.0001,82.12,6,0.0,False,2
REG3B,Neuron,0.0034,0.009,0.0011,3.25,6,1.108,False,2
VIP,Neuron,0.0004,0.001,0.0,357614.16,6,0.0,False,2
LNP1,Neuron,0.0,0.0,0.0,22779.07,6,0.0,False,2
