symbol,top_finetype,top_mean,top_pct,others_mean,others_pct,log2_enrich_mean,log2_enrich_pct,specificity,detected,tier,n_methods
SPRR1A,Injured_RegenNeuron,3.0912,0.981,0.1777,0.168,4.11,2.54,17.39,True,restricted,3
ATF3,Injured_RegenNeuron,2.47,0.994,0.702,0.523,1.81,0.93,3.52,True,restricted,3
TFE3,Immune,0.2707,0.26,0.1366,0.36,0.98,-0.47,1.98,True,enriched,3
GALNS,Injured_RegenNeuron,0.0419,0.19,0.0096,0.03,2.02,2.63,4.36,False,undetected,3
CDHR5,SatelliteGlia,0.0014,0.001,0.0,0.0,1.23,0.97,36.21,False,undetected,3
FLRT3,Injured_RegenNeuron,1.3541,0.972,0.1547,0.258,3.12,1.91,8.75,True,restricted,2
CHL1,Injured_RegenNeuron,1.3205,0.938,0.3353,0.42,1.97,1.16,3.94,True,restricted,2
TNIK,Injured_RegenNeuron,1.0469,0.951,0.1886,0.344,2.47,1.46,5.55,True,restricted,2
ECEL1,Injured_RegenNeuron,0.989,0.879,0.0385,0.054,4.65,4.0,25.69,True,restricted,2
CTTN,Injured_RegenNeuron,0.9179,0.96,0.3299,0.512,1.47,0.91,2.78,True,restricted,2
RNF19B,Injured_RegenNeuron,0.6258,0.894,0.2123,0.424,1.55,1.07,2.95,True,restricted,2
TNS3,SatelliteGlia,0.5796,0.438,0.0886,0.187,2.7,1.22,6.54,True,restricted,2
AXL,Immune,0.4952,0.411,0.0542,0.078,3.17,2.39,9.13,True,restricted,2
SLC2A1,Injured_RegenNeuron,0.4861,0.864,0.1742,0.302,1.48,1.51,2.79,True,restricted,2
ANKRD13B,Injured_RegenNeuron,0.4848,0.876,0.1477,0.337,1.71,1.38,3.28,True,restricted,2
SRRM4,Injured_RegenNeuron,0.4167,0.835,0.0897,0.25,2.2,1.74,4.65,True,restricted,2
MAPK14,Injured_RegenNeuron,0.4155,0.85,0.2276,0.43,0.87,0.98,1.83,True,enriched,2
FLNC,Injured_RegenNeuron,0.3847,0.527,0.0377,0.047,3.32,3.46,10.21,True,restricted,2
NPY,Injured_RegenNeuron,0.3798,0.436,0.0378,0.037,3.29,3.51,10.04,True,restricted,2
PTPN23,Injured_RegenNeuron,0.2534,0.708,0.1088,0.283,1.21,1.32,2.33,True,restricted,2
ACVR1,Injured_RegenNeuron,0.2482,0.653,0.0923,0.231,1.42,1.5,2.69,True,restricted,2
AGRN,Endothelial,0.2439,0.161,0.0958,0.235,1.34,-0.54,2.54,True,enriched,2
RUBCN,Injured_RegenNeuron,0.1986,0.658,0.1307,0.322,0.6,1.03,1.52,True,enriched,2
WBP1L,Endothelial,0.1673,0.129,0.0968,0.275,0.78,-1.09,1.73,True,enriched,2
ITPKC,Injured_RegenNeuron,0.1518,0.516,0.0378,0.097,1.98,2.4,4.01,True,restricted,2
VASH2,Injured_RegenNeuron,0.1394,0.482,0.0211,0.076,2.67,2.65,6.61,True,restricted,2
WDR81,Injured_RegenNeuron,0.1373,0.497,0.0697,0.173,0.97,1.51,1.97,True,enriched,2
CCDC160,Endothelial,0.0685,0.032,0.0315,0.109,1.1,-1.73,2.17,False,undetected,2
SERPINE1,Endothelial,0.0583,0.032,0.0093,0.017,2.52,0.89,6.25,False,undetected,2
MEGF11,SatelliteGlia,0.0439,0.04,0.0014,0.005,4.2,2.86,30.33,False,undetected,2
ANKRD1,Injured_RegenNeuron,0.0298,0.09,0.0002,0.001,4.63,5.59,123.23,False,undetected,2
REG3B,Injured_RegenNeuron,0.0087,0.017,0.0013,0.004,2.1,1.71,6.83,False,undetected,2
VIP,Myelinated_Proprio,0.0016,0.005,0.0,0.0,1.39,2.49,226.71,False,undetected,2
LNP1,Myelinated_Proprio,0.0001,0.001,0.0,0.0,0.07,0.55,9.42,False,undetected,2
