cluster,n_cells,current_celltype,is_neuron_cluster,GAL,GAP43,SOX11,VGF,MMP16,CDK5R1,SCG2,NCAM1,CALCA,CALCB,TAC1,TRPV1,SST,TACR1,NTRK1,ADCYAP1,MRGPRD,P2RX3,MRGPRA3,CTNNA2,SLC10A4,RET,PVALB,RUNX3,NEFH,ETV1,SLC17A6,MAFA,subscore_Injured_RegenNeuron,subscore_Peptidergic_Nociceptor,subscore_NonPeptidergic_Noci,subscore_Myelinated_Proprio,assigned_subtype
1,1309,Neuron,True,4.092,3.807,2.328,1.598,0.983,0.299,0.817,1.106,1.725,0.327,0.45,0.515,0.002,0.0,0.753,0.605,0.002,0.112,0.001,0.686,0.004,1.248,0.009,0.001,0.861,0.02,1.176,0.001,1.844678,-0.31291622,0.27253893,-0.08045127,Injured_RegenNeuron
5,1869,Neuron,True,1.718,3.006,2.326,1.028,0.665,0.187,0.322,1.353,0.864,0.334,0.252,0.087,0.001,0.001,0.473,0.141,0.005,0.41,0.002,0.465,0.001,1.28,0.01,0.001,0.655,0.024,0.961,0.001,1.0174725,-0.57837176,0.6730433,-0.20240314,Injured_RegenNeuron
23,1292,Neuron,True,3.221,3.064,1.858,1.119,0.533,0.251,0.397,0.926,1.048,0.363,0.457,0.194,0.001,0.0,0.48,0.272,0.007,0.163,0.007,0.518,0.004,1.141,0.032,0.009,1.093,0.033,0.891,0.001,1.0174575,-0.5436245,0.2239245,-0.12234372,Injured_RegenNeuron
20,655,Neuron,True,2.72,2.327,0.519,0.329,0.13,0.341,1.468,1.657,3.538,0.98,3.452,1.894,0.0,0.001,1.042,1.572,0.014,0.015,0.0,0.544,0.0,1.086,0.023,0.002,0.399,0.282,1.073,0.0,0.5816294,0.8031352,-0.06589231,-0.15223971,Peptidergic_Nociceptor
19,1336,Erythrocyte,False,2.251,2.201,0.535,0.813,0.138,0.23,2.648,0.813,5.02,1.757,4.117,1.073,0.002,0.0,1.764,2.0,0.007,0.029,0.002,0.661,0.009,0.864,0.021,0.002,0.978,0.055,0.677,0.0,0.50951916,1.1764648,-0.008885431,-0.2603278,non-neuronal
10,1378,Neuron,True,2.463,2.19,0.518,0.724,0.103,0.31,2.101,0.755,4.929,1.507,3.798,0.92,0.002,0.0,1.575,1.984,0.011,0.03,0.004,0.748,0.0,0.917,0.021,0.001,0.577,0.021,0.874,0.0,0.4671907,1.0151753,0.039736632,-0.27825567,Peptidergic_Nociceptor
4,1214,Schwann,False,2.172,2.142,0.455,0.548,0.118,0.278,2.151,0.969,4.74,1.477,3.673,0.989,0.002,0.0,1.506,1.833,0.008,0.023,0.002,0.648,0.004,0.873,0.022,0.002,0.67,0.093,0.766,0.002,0.40332726,0.95087224,-0.04335254,-0.21772261,non-neuronal
21,443,Erythrocyte,False,0.473,2.832,0.263,0.854,0.116,0.494,1.902,0.436,4.168,1.112,0.513,0.201,0.005,0.0,1.515,0.547,0.019,0.041,0.003,0.713,0.005,0.268,0.026,0.0,2.352,0.078,1.183,0.0,0.38796937,0.14116743,-0.169572,0.2163577,non-neuronal
9,2268,Neuron,True,0.732,2.469,0.345,0.596,0.159,0.319,2.327,0.728,5.133,1.85,4.119,1.316,0.001,0.0,1.83,1.286,0.008,0.024,0.003,0.612,0.002,0.86,0.016,0.0,0.785,0.683,0.837,0.001,0.30084214,1.124542,-0.07660822,-0.009938796,Peptidergic_Nociceptor
3,311,Neuron,True,0.37,1.513,0.706,0.074,0.123,0.386,1.911,0.992,0.742,0.085,2.775,2.75,0.001,0.002,0.744,0.107,0.001,0.006,0.002,0.392,0.001,0.767,0.032,0.001,0.616,0.203,1.633,0.0,0.11478246,0.20210391,-0.29648197,0.08094237,Peptidergic_Nociceptor
17,771,Neuron,True,0.933,1.568,0.445,0.061,0.105,0.354,1.757,0.659,1.007,0.552,3.122,0.293,0.0,0.0,0.996,0.484,0.007,0.004,0.004,0.665,0.004,0.489,0.029,0.001,1.181,0.048,1.517,0.0,-0.02076102,-0.085098766,-0.20041223,0.09976115,Myelinated_Proprio
14,512,Neuron,True,1.492,1.329,0.409,0.069,0.116,0.286,1.814,0.655,1.814,1.337,2.487,0.576,0.0,0.001,0.606,0.843,0.005,0.002,0.001,0.479,0.227,0.36,0.343,0.002,1.56,0.02,1.016,0.001,-0.045269825,0.16534714,0.44845915,0.09624323,NonPeptidergic_Noci
0,702,Neuron,True,0.218,1.986,0.211,0.312,0.115,0.237,0.997,0.826,4.612,1.638,1.288,0.745,0.002,0.0,1.147,0.23,0.161,0.12,1.017,0.633,0.0,1.295,0.026,0.001,0.345,1.531,0.77,0.0,-0.19769934,0.31177872,1.1676787,0.12464821,NonPeptidergic_Noci
18,279,Erythrocyte,False,0.147,1.23,0.174,0.242,0.117,0.254,2.345,0.23,1.223,0.244,1.197,0.898,1.861,0.0,0.727,0.108,0.06,0.109,0.013,0.414,0.002,0.806,0.012,0.0,0.346,1.409,0.422,0.001,-0.26578695,0.29534215,-0.037913036,-0.02327772,non-neuronal
24,278,Schwann,False,0.953,1.025,0.321,0.133,0.095,0.187,0.836,1.127,1.761,0.374,1.883,0.388,0.007,0.0,0.551,0.469,0.015,0.014,0.004,0.286,0.001,0.401,0.117,0.021,0.336,0.126,0.572,0.002,-0.26847577,-0.26022288,-0.47225466,-0.29943153,non-neuronal
12,357,Neuron,True,0.206,0.398,0.331,1.004,0.078,0.367,0.303,0.234,0.775,0.459,0.377,0.087,0.009,0.0,0.097,0.193,0.033,0.006,0.002,0.675,0.001,0.751,0.152,0.021,2.794,0.393,1.078,0.025,-0.30443698,-0.67068034,-0.09807015,1.1555091,Myelinated_Proprio
7,274,Neuron,True,0.215,0.386,0.251,0.202,0.063,0.411,1.182,0.378,0.727,0.266,1.227,0.055,0.005,0.012,0.084,0.631,0.031,0.004,0.008,0.704,0.008,0.474,2.936,0.72,3.278,1.935,0.261,0.005,-0.36128777,0.06242363,-0.1498084,2.4559062,Myelinated_Proprio
16,670,Neuron,True,0.396,0.975,0.476,0.337,0.081,0.194,0.642,0.708,3.279,1.128,1.518,0.421,0.006,0.0,0.921,0.251,0.933,0.131,0.012,0.705,0.001,1.319,0.027,0.001,0.508,0.348,0.699,0.0,-0.38244098,0.021307185,0.80205303,-0.25151587,NonPeptidergic_Noci
11,1271,Neuron,True,0.103,0.31,0.334,0.441,0.066,0.192,0.239,0.742,2.342,1.736,1.052,0.054,0.001,0.0,0.617,0.033,1.477,0.179,0.006,0.793,0.0,1.627,0.013,0.0,0.595,0.092,0.738,0.0,-0.5512846,-0.15227704,1.3161957,-0.30696836,NonPeptidergic_Noci
8,2266,Neuron,True,0.983,1.237,0.341,0.315,0.072,0.08,0.598,0.259,2.297,0.477,1.145,0.149,0.012,0.001,0.32,0.214,0.055,0.056,0.015,0.197,0.002,0.376,0.369,0.03,1.003,0.183,0.326,0.001,-0.5583246,-0.3593806,-0.43092775,-0.18695724,Myelinated_Proprio
2,254,SatelliteGlia,False,0.417,0.33,0.04,0.046,0.03,0.019,0.098,2.035,0.825,0.072,0.331,0.007,0.0,0.0,0.06,0.029,0.022,0.003,0.0,0.032,0.0,0.054,0.038,0.0,0.082,0.31,0.048,0.011,-0.56635606,-0.807788,-0.786644,-0.27558136,non-neuronal
6,1657,Neuron,True,0.188,0.231,0.239,0.292,0.05,0.191,0.157,0.988,0.764,0.98,1.003,0.071,0.002,0.002,0.214,0.111,0.007,0.008,0.003,0.66,0.001,1.521,0.017,0.001,0.404,0.022,0.959,0.0,-0.5726385,-0.39937493,0.1538419,-0.2815723,NonPeptidergic_Noci
15,593,SatelliteGlia,False,0.212,0.212,0.039,0.019,0.01,0.017,0.084,1.749,1.117,0.076,0.525,0.039,0.005,0.0,0.061,0.048,0.007,0.002,0.002,0.021,0.0,0.065,0.068,0.0,0.094,0.179,0.032,0.013,-0.70070755,-0.75461906,-0.7976839,-0.2547638,non-neuronal
13,73,Immune,False,0.572,0.695,0.253,0.133,0.06,0.101,0.206,0.454,1.099,0.166,0.75,0.107,0.0,0.0,0.205,0.156,0.027,0.031,0.0,0.08,0.0,0.195,0.048,0.16,0.186,0.124,0.204,0.0,-0.73303205,-0.6525879,-0.65155035,-0.38910198,non-neuronal
22,31,Endothelial,False,0.157,0.363,0.033,0.0,0.053,0.0,0.0,0.14,1.278,0.181,0.428,0.044,0.0,0.0,0.1,0.198,0.041,0.0,0.0,0.0,0.0,0.033,0.0,0.033,0.086,0.155,0.0,0.0,-1.1163667,-0.6927177,-0.811414,-0.6365144,non-neuronal
