celltype,sample,SPRR1A,ATF3,TFE3,CDHR5,GALNS,CHL1,FLNC,RNF19B,SRRM4,ECEL1,FLRT3,PTPN23,MAPK14,VASH2,TNIK,WDR81,CCDC160,SLC2A1,ANKRD13B,NPY,AXL,SERPINE1,WBP1L,ITPKC,ACVR1,LNP1,AGRN,VIP,REG3B,TNS3,ANKRD1,CTTN,RUBCN,MEGF11,condition,n_cells
Endothelial,GSM6656593_Sham-Female,0.0,0.91132814,0.22173034,0.0,0.0,0.31744564,0.115336634,0.0,0.09192613,0.0,0.0,0.0,0.19059224,0.0,0.12448077,0.0,0.19296488,0.3059619,0.115336634,0.0,0.0,0.0,0.0,0.0,0.093334936,0.0,0.20867157,0.0,0.0,0.1499383,0.0,0.09192613,0.0,0.0,Sham,11
Erythrocyte,GSM6656592_Sham-Male,0.019785896,0.84386486,0.14642102,0.0,0.009283905,0.36970383,0.0018364378,0.33133018,0.16240363,0.0068797395,0.1432727,0.14485596,0.3242221,0.050784886,0.20196958,0.050736833,0.05563122,0.13138485,0.19149007,0.0,0.004967356,0.00039711408,0.088589,0.040703066,0.11271451,0.0,0.10187968,0.0,0.0,0.02387686,0.0,0.4180309,0.20713903,0.00065740093,Sham,489
Erythrocyte,GSM6656593_Sham-Female,0.051507447,0.9940104,0.14691131,0.0,0.0063927397,0.35108384,0.0019602792,0.33048788,0.17328228,0.01255467,0.1541482,0.15724516,0.30646756,0.050628167,0.17892885,0.058600128,0.045010775,0.12676725,0.19525097,0.0014184581,0.0016987792,0.00097517343,0.08454729,0.038635906,0.11376745,0.0,0.11374877,0.0,0.0,0.019176254,0.0,0.41578898,0.16863175,0.0,Sham,860
Erythrocyte,GSM6656594_CCI-7d-Male,0.31097934,0.939021,0.18645968,0.0,0.010016962,0.5030924,0.0040946105,0.39347902,0.17207177,0.035146218,0.29916418,0.16352136,0.31393507,0.06049638,0.20691998,0.064936414,0.04639155,0.1521042,0.2302487,0.03759564,0.0047432017,0.0026736755,0.1178494,0.04076998,0.15120633,0.0,0.08837055,0.0,0.0053365096,0.02349107,0.0,0.4949128,0.18023396,0.0012998176,CCI,286
Erythrocyte,GSM6656595_CCI-7d-Female,0.3062602,1.0230385,0.18768875,0.0,0.009415273,0.49071804,0.01733452,0.37519264,0.19388467,0.04804651,0.3114639,0.14540072,0.32643783,0.05099938,0.20052828,0.07100365,0.046617966,0.13440524,0.20559973,0.0116197765,0.0061978945,0.0006610057,0.10557007,0.038446233,0.1555236,0.0,0.10059827,0.0,0.00038172273,0.019108428,0.0010478159,0.46174347,0.20072536,0.00029170082,CCI,423
Immune,GSM6656592_Sham-Male,0.0,0.5582841,0.5938474,0.0,0.0,0.23179281,0.0,0.0,0.014927999,0.0,0.061112404,0.03540741,0.19556645,0.0,0.050300445,0.0,0.03540741,0.1243336,0.036738563,0.0,0.45504847,0.0,0.09811169,0.050300445,0.026544081,0.0,0.050335407,0.0,0.0,0.28137994,0.0,0.14531663,0.18313012,0.0,Sham,19
Immune,GSM6656593_Sham-Female,0.03410485,0.2789677,0.03410485,0.0,0.0,0.03410485,0.0,0.19353011,0.0,0.0,0.110898554,0.0,0.578514,0.0,0.1621873,0.12608573,0.0,0.1940482,0.0,0.0,0.2703238,0.0,0.10902822,0.0,0.03410485,0.0,0.0,0.0,0.0,0.0,0.0,0.31925184,0.12608573,0.0,Sham,10
Immune,GSM6656594_CCI-7d-Male,0.8578859,0.74597454,0.22416069,0.0,0.052503143,0.24769649,0.09721112,0.266051,0.0155953765,0.20776555,0.3156607,0.10763835,0.2611802,0.026190592,0.27421334,0.13313358,0.0,0.061312236,0.06969788,0.093590744,0.6630057,0.0969257,0.11847569,0.021365603,0.1391834,0.0,0.051492445,0.0,0.0,0.31517306,0.0,0.30490246,0.11573579,0.0,CCI,28
Immune,GSM6656595_CCI-7d-Female,0.5650258,0.9271463,0.11642475,0.0,0.01510692,0.29952943,0.05385486,0.37356317,0.056060243,0.16260314,0.39555955,0.08198765,0.21000588,0.049742855,0.19574356,0.18066736,0.02465373,0.18495041,0.11023091,0.13365455,0.38957036,0.0452407,0.0,0.06688073,0.031949937,0.0,0.019643888,0.0,0.01510692,0.14098836,0.0,0.16933423,0.10095744,0.0,CCI,16
Neuron,GSM6656592_Sham-Male,0.12322224,0.53062266,0.12589917,0.0,0.010182824,0.24501933,0.025735347,0.27562365,0.124940455,0.040465493,0.15194829,0.13692722,0.27235878,0.019986764,0.24426466,0.07137801,0.039551597,0.12007136,0.24719971,0.016016927,0.005937798,0.0010207926,0.091554716,0.034445323,0.08566983,6.105089e-05,0.0754163,0.0005900082,0.0010173942,0.04280944,0.0002289759,0.35325846,0.17234717,0.0011448155,Sham,3577
