celltype,contrast,symbol,mean_A,mean_B,delta_log,n_A,n_B,welch_p,note,bh_q
Erythrocyte,CCI_vs_Sham,SPRR1A,0.30861976742744446,0.03564666956663132,0.27297309041023254,2,2,0.03325232118368149,n=2v2 sample-level; descriptive only,
Erythrocyte,CCI_vs_Sham,ATF3,0.981029748916626,0.918937623500824,0.062092125415802,2,2,0.5625535249710083,n=2v2 sample-level; descriptive only,
Erythrocyte,CCI_vs_Sham,TFE3,0.187074214220047,0.14666616916656494,0.040408045053482056,2,2,0.003180696163326502,n=2v2 sample-level; descriptive only,
Erythrocyte,CCI_vs_Sham,CDHR5,0.0,0.0,0.0,2,2,,n=2v2 sample-level; descriptive only,
Erythrocyte,CCI_vs_Sham,GALNS,0.00971611775457859,0.007838321849703789,0.0018777959048748016,2,2,0.41130635142326355,n=2v2 sample-level; descriptive only,
Erythrocyte,CCI_vs_Sham,CHL1,0.49690520763397217,0.36039382219314575,0.13651138544082642,2,2,0.010906804352998734,n=2v2 sample-level; descriptive only,
Erythrocyte,CCI_vs_Sham,FLNC,0.01071456540375948,0.0018983585759997368,0.008816206827759743,2,2,0.4100109934806824,n=2v2 sample-level; descriptive only,
Erythrocyte,CCI_vs_Sham,RNF19B,0.38433581590652466,0.33090901374816895,0.05342680215835571,2,2,0.10728832334280014,n=2v2 sample-level; descriptive only,
Erythrocyte,CCI_vs_Sham,SRRM4,0.18297821283340454,0.16784295439720154,0.015135258436203003,2,2,0.37665626406669617,n=2v2 sample-level; descriptive only,
Erythrocyte,CCI_vs_Sham,ECEL1,0.041596364229917526,0.009717204608023167,0.031879160553216934,2,2,0.08703020215034485,n=2v2 sample-level; descriptive only,
Erythrocyte,CCI_vs_Sham,FLRT3,0.3053140342235565,0.1487104594707489,0.15660357475280762,2,2,0.002929345006123185,n=2v2 sample-level; descriptive only,
Erythrocyte,CCI_vs_Sham,PTPN23,0.15446104109287262,0.15105056762695312,0.0034104734659194946,2,2,0.7887621521949768,n=2v2 sample-level; descriptive only,
Erythrocyte,CCI_vs_Sham,MAPK14,0.32018643617630005,0.31534481048583984,0.004841625690460205,2,2,0.7035811543464661,n=2v2 sample-level; descriptive only,
Erythrocyte,CCI_vs_Sham,VASH2,0.05574788153171539,0.05070652812719345,0.005041353404521942,2,2,0.4809298813343048,n=2v2 sample-level; descriptive only,
Erythrocyte,CCI_vs_Sham,TNIK,0.20372413098812103,0.19044920802116394,0.013274922966957092,2,2,0.44685885310173035,n=2v2 sample-level; descriptive only,
Erythrocyte,CCI_vs_Sham,WDR81,0.06797003746032715,0.05466847866773605,0.013301558792591095,2,2,0.12345273792743683,n=2v2 sample-level; descriptive only,
Erythrocyte,CCI_vs_Sham,CCDC160,0.046504758298397064,0.05032099783420563,-0.0038162395358085632,2,2,0.6032769083976746,n=2v2 sample-level; descriptive only,
Erythrocyte,CCI_vs_Sham,SLC2A1,0.14325472712516785,0.1290760487318039,0.014178678393363953,2,2,0.34283149242401123,n=2v2 sample-level; descriptive only,
Erythrocyte,CCI_vs_Sham,ANKRD13B,0.21792420744895935,0.193370521068573,0.024553686380386353,2,2,0.29041603207588196,n=2v2 sample-level; descriptive only,
Erythrocyte,CCI_vs_Sham,NPY,0.024607708677649498,0.0007092290325090289,0.023898480460047722,2,2,0.3161912262439728,n=2v2 sample-level; descriptive only,
Erythrocyte,CCI_vs_Sham,AXL,0.005470547825098038,0.0033330675214529037,0.002137480303645134,2,2,0.3979818820953369,n=2v2 sample-level; descriptive only,
Erythrocyte,CCI_vs_Sham,SERPINE1,0.0016673406353220344,0.0006861437577754259,0.0009811968775466084,2,2,0.5022695660591125,n=2v2 sample-level; descriptive only,
Erythrocyte,CCI_vs_Sham,WBP1L,0.11170973628759384,0.08656814694404602,0.02514158934354782,2,2,0.1252589374780655,n=2v2 sample-level; descriptive only,
Erythrocyte,CCI_vs_Sham,ITPKC,0.03960810601711273,0.03966948390007019,-6.13778829574585e-05,2,2,0.972144603729248,n=2v2 sample-level; descriptive only,
Erythrocyte,CCI_vs_Sham,ACVR1,0.15336495637893677,0.11324097961187363,0.04012397676706314,2,2,0.025679942220449448,n=2v2 sample-level; descriptive only,
Erythrocyte,CCI_vs_Sham,LNP1,0.0,0.0,0.0,2,2,,n=2v2 sample-level; descriptive only,
Erythrocyte,CCI_vs_Sham,AGRN,0.09448440372943878,0.10781422257423401,-0.013329818844795227,2,2,0.2582787871360779,n=2v2 sample-level; descriptive only,
Erythrocyte,CCI_vs_Sham,VIP,0.0,0.0,0.0,2,2,,n=2v2 sample-level; descriptive only,
Erythrocyte,CCI_vs_Sham,REG3B,0.002859116066247225,0.0,0.002859116066247225,2,2,0.4545397162437439,n=2v2 sample-level; descriptive only,
Erythrocyte,CCI_vs_Sham,TNS3,0.021299749612808228,0.021526556462049484,-0.00022680684924125671,2,2,0.9501808285713196,n=2v2 sample-level; descriptive only,
Erythrocyte,CCI_vs_Sham,ANKRD1,0.0005239079473540187,0.0,0.0005239079473540187,2,2,0.4999999701976776,n=2v2 sample-level; descriptive only,
Erythrocyte,CCI_vs_Sham,CTTN,0.478328138589859,0.41690993309020996,0.06141820549964905,2,2,0.16649052500724792,n=2v2 sample-level; descriptive only,
Erythrocyte,CCI_vs_Sham,RUBCN,0.19047966599464417,0.18788538873195648,0.002594277262687683,2,2,0.9190688133239746,n=2v2 sample-level; descriptive only,
Erythrocyte,CCI_vs_Sham,MEGF11,0.0007957592024467885,0.00032870046561583877,0.0004670587368309498,2,2,0.5300450325012207,n=2v2 sample-level; descriptive only,
Immune,CCI_vs_Sham,SPRR1A,0.7114558219909668,0.0170524250715971,0.6944034099578857,2,2,0.12828470766544342,n=2v2 sample-level; descriptive only,
Immune,CCI_vs_Sham,ATF3,0.8365604281425476,0.4186258912086487,0.4179345369338989,2,2,0.14903375506401062,n=2v2 sample-level; descriptive only,
Immune,CCI_vs_Sham,TFE3,0.1702927201986313,0.31397610902786255,-0.14368338882923126,2,2,0.6980237364768982,n=2v2 sample-level; descriptive only,
Immune,CCI_vs_Sham,CDHR5,0.0,0.0,0.0,2,2,,n=2v2 sample-level; descriptive only,
Immune,CCI_vs_Sham,GALNS,0.03380503132939339,0.0,0.03380503132939339,2,2,0.3216409981250763,n=2v2 sample-level; descriptive only,
Immune,CCI_vs_Sham,CHL1,0.27361297607421875,0.1329488307237625,0.14066414535045624,2,2,0.37921589612960815,n=2v2 sample-level; descriptive only,
Immune,CCI_vs_Sham,FLNC,0.07553298771381378,0.0,0.07553298771381378,2,2,0.17792882025241852,n=2v2 sample-level; descriptive only,
Immune,CCI_vs_Sham,RNF19B,0.3198070824146271,0.09676505625247955,0.22304202616214752,2,2,0.21581879258155823,n=2v2 sample-level; descriptive only,
Immune,CCI_vs_Sham,SRRM4,0.03582780808210373,0.007463999558240175,0.02836380898952484,2,2,0.37745729088783264,n=2v2 sample-level; descriptive only,
Immune,CCI_vs_Sham,ECEL1,0.18518434464931488,0.0,0.18518434464931488,2,2,0.07724744826555252,n=2v2 sample-level; descriptive only,
Immune,CCI_vs_Sham,FLRT3,0.3556101322174072,0.08600547909736633,0.2696046531200409,2,2,0.042945943772792816,n=2v2 sample-level; descriptive only,
Immune,CCI_vs_Sham,PTPN23,0.09481300413608551,0.01770370453596115,0.07710929960012436,2,2,0.08200962096452713,n=2v2 sample-level; descriptive only,
Immune,CCI_vs_Sham,MAPK14,0.2355930358171463,0.3870401978492737,-0.15144716203212738,2,2,0.573016345500946,n=2v2 sample-level; descriptive only,
Immune,CCI_vs_Sham,VASH2,0.03796672448515892,0.0,0.03796672448515892,2,2,0.19147013127803802,n=2v2 sample-level; descriptive only,
Immune,CCI_vs_Sham,TNIK,0.23497845232486725,0.10624387115240097,0.12873458862304688,2,2,0.21473169326782227,n=2v2 sample-level; descriptive only,
Immune,CCI_vs_Sham,WDR81,0.15690046548843384,0.06304286420345306,0.09385760128498077,2,2,0.35737112164497375,n=2v2 sample-level; descriptive only,
Immune,CCI_vs_Sham,CCDC160,0.012326865456998348,0.01770370453596115,-0.005376839078962803,2,2,0.8288716077804565,n=2v2 sample-level; descriptive only,
Immune,CCI_vs_Sham,SLC2A1,0.12313131988048553,0.15919089317321777,-0.03605957329273224,2,2,0.6733483672142029,n=2v2 sample-level; descriptive only,
Immune,CCI_vs_Sham,ANKRD13B,0.08996438980102539,0.0183692816644907,0.07159510999917984,2,2,0.12137365341186523,n=2v2 sample-level; descriptive only,
Immune,CCI_vs_Sham,NPY,0.11362265050411224,0.0,0.11362265050411224,2,2,0.11109569668769836,n=2v2 sample-level; descriptive only,
Immune,CCI_vs_Sham,AXL,0.5262880325317383,0.3626861572265625,0.16360187530517578,2,2,0.4380863606929779,n=2v2 sample-level; descriptive only,
Immune,CCI_vs_Sham,SERPINE1,0.071083202958107,0.0,0.071083202958107,2,2,0.2219875156879425,n=2v2 sample-level; descriptive only,
Immune,CCI_vs_Sham,WBP1L,0.05923784524202347,0.10356995463371277,-0.0443321093916893,2,2,0.5905932784080505,n=2v2 sample-level; descriptive only,
Immune,CCI_vs_Sham,ITPKC,0.04412316903471947,0.025150222703814507,0.01897294633090496,2,2,0.6326788663864136,n=2v2 sample-level; descriptive only,
