cluster,n_cells,assigned,score_Neuron,score_SatelliteGlia,score_Schwann,score_Immune,score_Endothelial,score_Fibroblast,score_Erythrocyte
0,659,Neuron,1.449,0.185,0.114,0.001,0.002,0.016,0.003
1,1557,Neuron,2.043,0.093,0.15,0.005,0.001,0.027,0.002
2,1263,Neuron,2.068,0.012,0.437,0.003,0.171,0.011,0.002
3,44,Neuron,1.944,0.031,0.247,0.0,0.076,0.015,0.007
4,438,Neuron,1.985,0.024,0.312,0.009,0.023,0.018,0.004
5,684,Neuron,2.005,0.059,0.235,0.007,0.003,0.411,0.002
6,1279,Neuron,2.023,0.03,0.236,0.003,0.001,0.009,0.001
7,382,Neuron,1.947,0.327,0.447,0.005,0.006,0.039,0.001
8,694,Neuron,1.935,0.108,0.304,0.005,0.001,0.029,0.003
9,276,Neuron,2.021,0.035,0.155,0.005,0.003,0.044,0.001
10,540,Neuron,2.079,0.552,0.547,0.006,0.001,0.064,0.001
11,385,Neuron,1.909,0.554,0.613,0.008,0.003,0.443,0.0
12,586,Neuron,1.936,0.497,0.463,0.009,0.001,0.063,0.003
13,107,Neuron,1.931,0.549,0.63,0.004,0.004,0.077,0.0
14,406,Neuron,1.943,0.363,0.619,0.006,0.134,0.047,0.003
15,561,Neuron,2.221,0.399,0.352,0.01,0.007,0.06,0.015
16,953,Neuron,2.001,0.054,0.262,0.007,0.021,0.037,0.001
17,652,Neuron,1.385,0.05,0.175,0.001,0.027,0.009,0.0
18,397,Neuron,2.317,0.43,0.184,0.007,0.007,0.022,0.005
19,873,Neuron,2.224,0.024,0.072,0.002,0.001,0.015,0.001
20,657,Neuron,1.214,0.094,0.086,0.001,0.003,0.011,0.002
21,777,Neuron,1.397,0.073,0.168,0.002,0.003,0.021,0.0
22,1359,Neuron,2.01,0.031,0.237,0.006,0.001,0.019,0.003
23,1027,Neuron,1.897,0.361,0.587,0.012,0.01,0.062,0.0
24,1092,Neuron,1.882,0.533,0.624,0.008,0.002,0.054,0.002
25,1059,Neuron,1.943,0.016,0.27,0.005,0.001,0.004,0.0
26,600,Neuron,1.671,0.321,0.081,0.001,0.004,0.003,0.004
27,1151,Schwann,0.427,1.186,1.238,0.012,0.004,0.224,0.0
28,20,Fibroblast,0.482,0.227,0.229,0.0,0.137,2.921,0.0
29,401,Neuron,2.307,0.446,0.263,0.001,0.014,0.011,0.014
30,144,Neuron,0.987,0.305,0.42,0.95,0.224,0.066,0.0
31,274,Neuron,1.878,0.09,0.229,0.006,0.001,0.027,0.003
32,289,Neuron,1.971,0.07,0.343,0.01,0.002,0.042,0.001
33,312,Neuron,2.126,0.025,0.129,0.006,0.002,0.012,0.0
34,260,Neuron,2.217,0.033,0.21,0.001,0.0,0.006,0.002
35,51,Schwann,0.491,0.364,2.668,0.0,0.0,0.256,0.012
36,1243,Neuron,1.945,0.018,0.261,0.011,0.002,0.018,0.001
37,182,Neuron,1.618,0.031,0.157,0.004,0.006,0.014,0.0
