cluster,n_cells,assigned,score_best,score_second,score_second_ct,margin,score_Neuron,score_Astrocyte,score_Microglia,score_Oligodendrocyte,score_OPC,score_Endothelial,score_Pericyte,score_Ependymal,score_Fibroblast_Meninges
0,1740,Microglia,0.962,0.467,Neuron,0.495,0.467,0.136,0.962,0.441,0.454,0.348,-0.27,0.012,-0.047
1,1461,Microglia,0.94,0.872,Oligodendrocyte,0.067,0.712,0.101,0.94,0.872,0.39,0.168,-0.355,-0.057,-0.353
2,116,OPC,1.144,0.647,Microglia,0.497,0.538,0.046,0.647,0.351,1.144,0.232,-0.36,-0.34,0.306
3,22,Pericyte,-0.025,-0.34,Ependymal,0.315,-0.502,-0.612,-0.987,-0.361,-0.396,-1.068,-0.025,-0.34,-0.353
4,62,Fibroblast_Meninges,1.168,1.167,Ependymal,0.001,-0.375,-0.406,-0.166,0.086,-0.396,0.837,0.673,1.167,1.168
5,1036,Microglia,1.246,0.687,Neuron,0.559,0.687,0.518,1.246,0.607,0.323,0.227,-0.355,-0.34,0.104
6,1205,Microglia,0.89,0.701,Oligodendrocyte,0.189,0.405,-0.002,0.89,0.701,0.367,0.275,-0.36,-0.34,-0.353
7,569,Neuron,0.826,0.434,OPC,0.392,0.826,-0.158,0.147,-0.311,0.434,-0.686,-0.36,-0.322,-0.353
8,7,Fibroblast_Meninges,1.497,0.311,Pericyte,1.186,-0.502,-0.612,-1.143,-0.309,-0.396,-1.078,0.311,-0.34,1.497
9,365,Oligodendrocyte,1.2,0.887,Neuron,0.313,0.887,0.473,0.785,1.2,0.014,0.203,-0.213,0.236,0.288
10,19,Pericyte,1.466,0.334,Neuron,1.132,0.334,-0.606,-1.079,-0.002,-0.396,-0.534,1.466,-0.34,-0.353
11,27,Ependymal,2.087,1.08,Oligodendrocyte,1.006,-0.502,-0.612,-0.351,1.08,0.674,-0.134,0.885,2.087,-0.353
12,680,Oligodendrocyte,0.246,0.082,Neuron,0.163,0.082,-0.235,-0.32,0.246,-0.158,-0.597,-0.36,-0.34,-0.353
13,117,OPC,1.215,0.884,Astrocyte,0.331,0.242,0.884,0.603,0.631,1.215,0.05,0.283,-0.34,-0.353
14,827,Neuron,1.112,0.916,OPC,0.196,1.112,0.32,0.878,0.133,0.916,0.124,-0.287,-0.34,0.095
15,124,Ependymal,0.93,0.766,Oligodendrocyte,0.164,-0.057,0.752,0.599,0.766,-0.396,0.29,0.186,0.93,-0.353
16,42,Pericyte,1.321,1.181,Fibroblast_Meninges,0.139,-0.502,-0.612,-0.958,-0.021,-0.396,-0.93,1.321,-0.34,1.181
17,953,Microglia,0.917,0.827,Neuron,0.09,0.827,0.338,0.917,0.371,0.115,0.363,-0.245,-0.34,-0.353
18,102,Neuron,1.453,0.669,Microglia,0.784,1.453,0.574,0.669,0.192,-0.396,0.489,-0.36,-0.34,-0.353
19,714,Neuron,1.006,0.762,Microglia,0.244,1.006,0.588,0.762,0.638,0.393,0.737,-0.305,-0.097,-0.317
20,160,Endothelial,0.772,0.591,Microglia,0.181,0.331,-0.311,0.591,0.515,-0.158,0.772,-0.36,-0.34,-0.353
21,1317,Microglia,0.892,0.716,Neuron,0.175,0.716,0.353,0.892,0.494,0.217,0.409,-0.292,0.12,-0.353
22,85,Fibroblast_Meninges,2.239,0.674,Astrocyte,1.566,-0.023,0.674,0.635,0.664,0.544,-0.072,0.506,-0.34,2.239
23,30,Ependymal,2.001,0.83,Oligodendrocyte,1.171,-0.502,0.235,-0.629,0.83,-0.396,0.382,-0.36,2.001,-0.353
24,961,Neuron,1.64,0.871,Microglia,0.769,1.64,0.439,0.871,0.408,0.728,0.119,-0.316,0.11,-0.324
25,20,Neuron,0.413,0.077,Pericyte,0.336,0.413,-0.521,-0.647,-0.19,-0.396,-0.942,0.077,-0.34,-0.353
26,122,Astrocyte,1.685,1.542,Neuron,0.143,1.542,1.685,0.741,0.637,-0.396,-0.165,-0.36,-0.34,-0.353
27,802,Neuron,1.188,0.272,Oligodendrocyte,0.916,1.188,-0.191,-0.471,0.272,-0.396,-0.915,-0.36,-0.33,-0.353
28,789,Microglia,0.848,0.843,Endothelial,0.005,0.669,0.072,0.848,0.329,0.396,0.843,-0.149,-0.07,0.158
29,108,Neuron,0.754,0.714,Astrocyte,0.041,0.754,0.714,0.552,-0.045,-0.396,0.25,0.343,-0.34,-0.353
