symbol,top_celltype,top_mean,top_pct,mean_others,specificity,n_celltypes,ambient_index,ambient_suspect,n_methods
TFE3,Oligodendrocyte,0.8273,0.507,0.6126,1.35,9,0.552,False,3
ATF3,Fibroblast_Meninges,0.7755,0.481,0.0999,7.76,9,0.29,False,3
GALNS,Endothelial,0.1898,0.294,0.0814,2.33,9,0.543,False,3
SPRR1A,Neuron,0.0004,0.001,0.0,410714.62,9,0.0,False,3
MAPK14,Pericyte,0.7011,0.53,0.4684,1.5,9,0.563,False,2
TNS3,Oligodendrocyte,0.6509,0.416,0.4739,1.37,9,0.515,False,2
RNF19B,Fibroblast_Meninges,0.5743,0.513,0.2818,2.04,9,0.399,False,2
AXL,Astrocyte,0.56,0.434,0.1333,4.2,9,0.378,False,2
WBP1L,Pericyte,0.4966,0.386,0.1965,2.53,9,0.577,False,2
ACVR1,Astrocyte,0.3465,0.377,0.1855,1.87,9,0.358,False,2
SLC2A1,Fibroblast_Meninges,0.3295,0.331,0.1643,2.01,9,0.283,False,2
WDR81,Oligodendrocyte,0.2259,0.172,0.1607,1.41,9,0.586,False,2
TNIK,Pericyte,0.225,0.181,0.0043,52.76,9,0.244,False,2
PTPN23,Fibroblast_Meninges,0.1509,0.156,0.0817,1.85,9,0.613,False,2
RUBCN,Endothelial,0.143,0.225,0.0859,1.66,9,0.623,False,2
SERPINE1,Endothelial,0.0797,0.125,0.0293,2.72,9,0.273,False,2
AGRN,Astrocyte,0.0734,0.066,0.036,2.04,9,0.933,False,2
ITPKC,Oligodendrocyte,0.0543,0.042,0.0303,1.79,9,0.528,False,2
MEGF11,OPC,0.0324,0.056,0.0124,2.62,9,0.644,False,2
ANKRD13B,Oligodendrocyte,0.0166,0.011,0.0073,2.29,9,0.269,False,2
FLRT3,Endothelial,0.0098,0.012,0.0003,30.99,9,0.0,False,2
VASH2,Ependymal,0.0089,0.011,0.0016,5.73,9,0.0,False,2
CTTN,Ependymal,0.0032,0.006,0.0003,10.13,9,4.469,False,2
CHL1,Endothelial,0.0028,0.006,0.0001,40.03,9,0.0,False,2
SRRM4,Neuron,0.0009,0.001,0.0001,15.0,9,2.791,False,2
ECEL1,Neuron,0.0005,0.001,0.0001,9.0,9,0.0,False,2
NPY,Neuron,0.0003,0.0,0.0,9.33,9,0.0,False,2
