celltype,sample,SPRR1A,ATF3,TFE3,GALNS,CHL1,RNF19B,SRRM4,ECEL1,FLRT3,PTPN23,MAPK14,VASH2,TNIK,WDR81,SLC2A1,ANKRD13B,NPY,AXL,SERPINE1,WBP1L,ITPKC,ACVR1,AGRN,TNS3,CTTN,RUBCN,MEGF11,condition,n_cells
Astrocyte,GSM7866244_SA,0.0,0.0,0.74092996,0.0,0.0,0.31477034,0.0,0.0,0.0,0.15659472,0.43426824,0.0,0.0,0.23529932,0.19481316,0.0,0.0,0.45856148,0.056041446,0.09439678,0.05427156,0.18076137,0.08416453,0.7331488,0.0,0.100255914,0.0,Sham,18
Astrocyte,GSM7866245_3A,0.0,0.17766567,0.46068618,0.047992248,0.0,0.3159813,0.0,0.0,0.0,0.108189516,0.41072348,0.0,0.0,0.21213686,0.18349864,0.0,0.0,0.37478605,0.0,0.27723703,0.019475037,0.4730967,0.0,0.5390341,0.0,0.06774835,0.029920774,SNI,24
Astrocyte,GSM7866246_7A,0.0,0.19441615,0.902007,0.0,0.0,0.4530867,0.0,0.0,0.0,0.06127098,0.43487775,0.0,0.0,0.17053598,0.24248306,0.017808117,0.0,0.6144056,0.058407597,0.28117526,0.01788167,0.3024488,0.09884373,0.57910544,0.0,0.053025264,0.0,SNI,36
Astrocyte,GSM7866247_14A,0.0,0.070983954,0.7200404,0.031103134,0.0,0.28373158,0.0,0.0,0.0,0.14888278,0.3271232,0.0,0.0,0.08922443,0.17832269,0.0,0.0,0.6580473,0.018498363,0.13407032,0.036485255,0.38124266,0.08819147,0.50593764,0.0,0.07721261,0.0,SNI,44
Endothelial,GSM7866245_3A,0.0,0.04823088,0.6301993,0.19462705,0.0029120685,0.19777893,0.0,0.0,0.010002555,0.082002394,0.39328125,0.007093619,0.0,0.14112462,0.18351497,0.013679156,0.0,0.18357298,0.07935209,0.16014314,0.02741004,0.2963778,0.06916998,0.45926508,0.0,0.14232124,0.02413104,SNI,156
Ependymal,GSM7866244_SA,0.0,0.16111593,0.6232671,0.1399091,0.0,0.5661359,0.0,0.0,0.0,0.051160067,0.6843856,0.032484423,0.0,0.10294747,0.15551217,0.0,0.0,0.1302396,0.05850855,0.2493905,0.0,0.08198645,0.038417242,0.1640353,0.0,0.08070951,0.0,Sham,28
Ependymal,GSM7866245_3A,0.0,0.056566183,0.6124308,0.17381684,0.0,0.27446866,0.0,0.0,0.0,0.058610555,0.46232527,0.0056440663,0.0024945424,0.18963253,0.14749385,0.0,0.0,0.15693368,0.025701653,0.12415369,0.008629653,0.22493832,0.017363878,0.5281581,0.0046106284,0.13858399,0.026353793,SNI,124
Ependymal,GSM7866246_7A,0.0,0.3632197,0.2565452,0.16277559,0.0,0.38387647,0.0,0.0,0.0,0.0,0.75249314,0.0,0.0,0.088785484,0.33914196,0.0,0.0,0.091631964,0.0,0.2401298,0.0,0.058247007,0.019227926,0.31475675,0.0,0.024560861,0.024560861,SNI,13
Ependymal,GSM7866247_14A,0.0,0.476175,0.5065981,0.044623695,0.0,0.35508156,0.0,0.0,0.0,0.10088012,0.48632187,0.0,0.0,0.13999261,0.19006845,0.0,0.0,0.12156278,0.0,0.08260819,0.0,0.23582673,0.0,0.39780325,0.0,0.0,0.04654066,SNI,16
Fibroblast_Meninges,GSM7866244_SA,0.0,0.99495417,0.80692065,0.17225395,0.0,0.4607868,0.0,0.0,0.0,0.11857414,0.5350718,0.0,0.0,0.17202497,0.3793657,0.0,0.0,0.19489112,0.09598295,0.21836938,0.060069878,0.07983655,0.020864274,0.79724175,0.0,0.10864253,0.0,Sham,45
