symbol,n_methods,detected_any,trend,delta_PID0_to_14,spearman_rho_trend,PID0_mean_lognorm,PID3_mean_lognorm,PID7_mean_lognorm,PID14_mean_lognorm,n_cells_PID0,n_cells_PID3,n_cells_PID7,n_cells_PID14
GALNS,3,True,flat,0.018544320000000003,0.2,0.036302965,0.10668997,0.06594614,0.054847285,4787,1223,836,1655
SPRR1A,3,False,not_detected,0.0,,0.0,0.0,0.0,0.0,4787,1223,836,1655
ATF3,3,True,flat,-0.011920756000000005,-0.4,0.079314046,0.05039688,0.044908397,0.06739329,4787,1223,836,1655
TFE3,3,True,flat,-0.02870969999999995,-0.2,0.8114693,0.68614733,0.7563937,0.7827596,4787,1223,836,1655
AXL,2,True,flat,0.04415534,0.2,0.04332548,0.14084043,0.12100886,0.08748082,4787,1223,836,1655
AGRN,2,False,not_detected,0.006200516999999999,0.0,0.019188901,0.03244938,0.018819118,0.025389418,4787,1223,836,1655
MEGF11,2,False,not_detected,0.0050991935,0.2,0.007931139,0.02397044,0.019014645,0.0130303325,4787,1223,836,1655
SRRM4,2,False,not_detected,0.0010423914999999999,0.31622776601683794,0.0003451793,0.0,0.0,0.0013875708,4787,1223,836,1655
NPY,2,False,not_detected,0.0007414226499999999,0.31622776601683794,0.0001794382,0.0,0.0,0.00092086085,4787,1223,836,1655
VASH2,2,False,not_detected,0.0005652618999999999,0.6,0.0020118451,0.00113563,0.0028056733,0.002577107,4787,1223,836,1655
ECEL1,2,False,not_detected,0.00046732992000000006,0.0,0.00020614284,0.0013418117,0.0,0.00067347276,4787,1223,836,1655
FLRT3,2,False,not_detected,0.0,,0.0,0.0,0.0,0.0,4787,1223,836,1655
CHL1,2,False,not_detected,-0.0002677097,-0.2,0.0002677097,0.0005335818,0.0008122052,0.0,4787,1223,836,1655
TNIK,2,False,not_detected,-0.00029645949999999996,-0.4,0.0036008742,0.0033588992,0.0041658315,0.0033044147,4787,1223,836,1655
CTTN,2,False,not_detected,-0.0003559573,-0.7378647873726218,0.0003559573,0.0018917598,0.0,0.0,4787,1223,836,1655
TNS3,2,True,flat,-0.003953059999999953,0.0,0.6147718,0.573607,0.6755188,0.61081874,4787,1223,836,1655
SERPINE1,2,False,not_detected,-0.010657171,-0.2,0.02933278,0.032545697,0.034182064,0.018675609,4787,1223,836,1655
WBP1L,2,True,flat,-0.011542469999999999,0.0,0.21747133,0.18131024,0.24404356,0.20592886,4787,1223,836,1655
ANKRD13B,2,False,not_detected,-0.011595688000000002,-0.8,0.01951879,0.011370411,0.0044451524,0.007923102,4787,1223,836,1655
ITPKC,2,True,flat,-0.013394935999999996,-0.4,0.057973932,0.03934339,0.03667819,0.044578996,4787,1223,836,1655
RUBCN,2,True,flat,-0.01365607399999999,-0.4,0.102526784,0.08798894,0.08282962,0.08887071,4787,1223,836,1655
SLC2A1,2,True,flat,-0.01752910000000002,0.0,0.15064788,0.1251432,0.15614183,0.13311878,4787,1223,836,1655
PTPN23,2,True,flat,-0.019302874999999997,-1.0,0.090181455,0.083939366,0.07283792,0.07087858,4787,1223,836,1655
WDR81,2,True,flat,-0.028024949999999993,-0.4,0.22339576,0.19327074,0.15322378,0.19537081,4787,1223,836,1655
ACVR1,2,True,flat,-0.039763649999999984,-0.8,0.26012135,0.23044859,0.21318151,0.2203577,4787,1223,836,1655
RNF19B,2,True,flat,-0.07250422000000001,-0.4,0.35545462,0.21532013,0.1940448,0.2829504,4787,1223,836,1655
MAPK14,2,True,down,-0.14868842000000004,-0.8,0.5745805,0.42684785,0.41711685,0.42589208,4787,1223,836,1655
