symbol,present,snRNA_lineage,top_region,tier,crossmodal
SPRR1A,True,Neuronal,VentralHorn,restricted,divergent
ATF3,True,,MeningealFibro,restricted,n/a
TFE3,True,Immune,DorsalHorn,enriched,divergent
CDHR5,True,,WhiteMatter,restricted,n/a
GALNS,True,Neuronal,DorsalHorn,restricted,consistent
CHL1,True,Glial,DorsalHorn,restricted,divergent
FLNC,True,,MeningealFibro,restricted,n/a
RNF19B,True,Immune|Neuronal,DorsalHorn,restricted,n/a
SRRM4,True,Neuronal,DorsalHorn,restricted,consistent
ECEL1,True,Neuronal,VentralHorn,restricted,divergent
FLRT3,True,Glial|Neuronal,DorsalHorn,restricted,n/a
PTPN23,True,Neuronal,DorsalHorn,restricted,consistent
MAPK14,True,Glial|Immune,DorsalHorn,restricted,n/a
VASH2,True,Neuronal,DorsalHorn,restricted,consistent
TNIK,True,Glial|Neuronal,DorsalHorn,restricted,n/a
WDR81,True,Immune,VentralHorn,enriched,divergent
CCDC160,True,,Ependymal,restricted,n/a
SLC2A1,True,,MeningealFibro,enriched,n/a
ANKRD13B,True,Neuronal,DorsalHorn,restricted,consistent
NPY,True,,DorsalHorn,restricted,n/a
AXL,True,Immune,MeningealFibro,restricted,divergent
SERPINE1,True,,MeningealFibro,restricted,n/a
CRISP3,True,,MeningealFibro,broad/low,n/a
WBP1L,True,Immune,MeningealFibro,restricted,divergent
ITPKC,True,,DorsalHorn,restricted,n/a
ACVR1,True,,DorsalHorn,restricted,n/a
LNP1,True,,MeningealFibro,broad/low,n/a
AGRN,True,,DorsalHorn,restricted,n/a
VIP,True,,Ependymal,restricted,n/a
REG3B,True,,MeningealFibro,restricted,n/a
TNS3,True,Glial,MeningealFibro,enriched,divergent
ANKRD1,True,,MeningealFibro,restricted,n/a
CTTN,True,Neuronal,DorsalHorn,enriched,consistent
RUBCN,True,Glial|Neuronal,DorsalHorn,enriched,n/a
MEGF11,True,Glial,VentralHorn,enriched,divergent
