symbol,present,top_region,top_label_log2,top_detection,global_mean,detection_global,tier,sec_mean_top,sec_sd_top,log2_all_regions,snRNA_lineage,crossmodal
SPRR1A,True,VentralHorn,2.54,0.098,0.089,0.018,restricted,0.3437,0.5954,MeningealFibro:0.28;WhiteMatter:0.14;WhiteMatter:-1.48;DorsalHorn:-2.95;VentralHorn:2.54;Ependymal:-0.06;MeningealFibro:1.76,Neuronal,divergent
ATF3,True,MeningealFibro,2.243,0.077,0.0672,0.015,restricted,0.1467,0.1603,MeningealFibro:1.08;WhiteMatter:0.53;WhiteMatter:-2.02;DorsalHorn:0.01;VentralHorn:1.98;Ependymal:0.08;MeningealFibro:2.24,,n/a
TFE3,True,DorsalHorn,0.864,0.302,0.6754,0.151,enriched,1.1487,0.3176,MeningealFibro:-0.37;WhiteMatter:-0.16;WhiteMatter:-1.27;DorsalHorn:0.86;VentralHorn:0.76;Ependymal:0.84;MeningealFibro:0.14,Immune,divergent
CDHR5,True,WhiteMatter,3.109,0.006,0.0036,0.001,restricted,0.0302,0.0184,MeningealFibro:-11.80;WhiteMatter:3.11;WhiteMatter:-11.80;DorsalHorn:-11.80;VentralHorn:-11.80;Ependymal:-11.80;MeningealFibro:-11.80,,n/a
GALNS,True,DorsalHorn,1.374,0.105,0.1634,0.038,restricted,0.4427,0.1046,MeningealFibro:-2.49;WhiteMatter:0.04;WhiteMatter:-1.51;DorsalHorn:1.37;VentralHorn:0.52;Ependymal:0.84;MeningealFibro:0.81,Neuronal,consistent
CHL1,True,DorsalHorn,1.619,0.804,1.2291,0.263,restricted,3.7313,0.2613,MeningealFibro:-0.85;WhiteMatter:-0.57;WhiteMatter:-1.14;DorsalHorn:1.62;VentralHorn:0.08;Ependymal:0.82;MeningealFibro:0.07,Glial,divergent
FLNC,True,MeningealFibro,2.327,0.25,0.2359,0.047,restricted,1.1203,0.2198,MeningealFibro:-0.47;WhiteMatter:1.87;WhiteMatter:-1.08;DorsalHorn:0.61;VentralHorn:-1.52;Ependymal:-0.81;MeningealFibro:2.33,,n/a
RNF19B,True,DorsalHorn,1.022,0.435,0.886,0.197,restricted,1.6714,0.3448,MeningealFibro:-1.39;WhiteMatter:-0.86;WhiteMatter:-1.07;DorsalHorn:1.02;VentralHorn:0.78;Ependymal:0.88;MeningealFibro:0.14,Immune|Neuronal,n/a
SRRM4,True,DorsalHorn,1.856,0.182,0.199,0.048,restricted,0.6769,0.1323,MeningealFibro:-17.60;WhiteMatter:-1.14;WhiteMatter:-1.76;DorsalHorn:1.86;VentralHorn:1.09;Ependymal:0.92;MeningealFibro:-0.82,Neuronal,consistent
ECEL1,True,VentralHorn,1.559,0.422,0.6814,0.147,restricted,2.1855,0.5608,MeningealFibro:-1.91;WhiteMatter:-1.10;WhiteMatter:-1.14;DorsalHorn:1.38;VentralHorn:1.56;Ependymal:0.66;MeningealFibro:-0.59,Neuronal,divergent
