cluster,n_cells,assigned,score_best,score_second,score_second_ct,margin,score_Neuron,score_Astrocyte,score_Microglia,score_Oligodendrocyte,score_OPC,score_Endothelial,score_Pericyte,score_Ependymal,score_Fibroblast_Meninges
0,978,Neuron,0.582,-0.224,Ependymal,0.806,0.582,-0.237,-0.316,-0.506,-0.355,-0.228,-0.259,-0.224,-0.259
1,7123,Neuron,1.532,0.088,OPC,1.444,1.532,-0.328,-0.306,-0.545,0.088,-0.232,-0.275,-0.152,-0.268
2,842,Oligodendrocyte,2.353,0.498,Astrocyte,1.855,-0.655,0.498,-0.263,2.353,0.083,-0.239,-0.272,-0.246,-0.1
3,392,Microglia,4.302,0.09,Endothelial,4.213,-0.427,-0.032,4.302,-0.312,-0.363,0.09,-0.261,-0.251,-0.231
4,741,Oligodendrocyte,1.045,0.336,Neuron,0.709,0.336,-0.186,-0.213,1.045,0.115,-0.224,-0.208,-0.174,-0.229
5,5765,Neuron,0.951,-0.176,OPC,1.127,0.951,-0.329,-0.313,-0.542,-0.176,-0.227,-0.282,-0.242,-0.263
6,1606,Neuron,0.638,-0.163,OPC,0.801,0.638,-0.301,-0.249,-0.509,-0.163,-0.23,-0.273,-0.237,-0.263
7,346,Microglia,3.756,0.258,Endothelial,3.498,-0.21,-0.066,3.756,-0.236,-0.111,0.258,-0.256,-0.165,-0.258
8,96,Astrocyte,4.501,1.681,OPC,2.82,0.597,4.501,-0.069,0.704,1.681,-0.173,0.051,0.461,0.142
9,1462,Neuron,1.822,-0.2,OPC,2.022,1.822,-0.312,-0.256,-0.518,-0.2,-0.233,-0.209,-0.231,-0.256
10,1565,Neuron,0.837,-0.226,Endothelial,1.063,0.837,-0.296,-0.292,-0.509,-0.288,-0.226,-0.266,-0.254,-0.259
11,415,OPC,3.679,0.594,Fibroblast_Meninges,3.084,0.583,0.043,-0.278,0.389,3.679,-0.217,-0.054,-0.238,0.594
12,1274,Neuron,0.644,-0.225,Ependymal,0.868,0.644,-0.246,-0.281,-0.503,-0.235,-0.225,-0.265,-0.225,-0.251
13,3565,Neuron,1.228,-0.233,Endothelial,1.461,1.228,-0.284,-0.278,-0.516,-0.265,-0.233,-0.237,-0.249,-0.252
14,87,Ependymal,4.787,0.603,Astrocyte,4.183,0.084,0.603,-0.186,-0.184,-0.331,-0.262,-0.288,4.787,-0.143
15,43,Endothelial,5.151,4.705,Pericyte,0.446,0.273,0.674,-0.108,-0.202,0.103,5.151,4.705,0.284,0.569
16,431,Astrocyte,2.302,0.641,OPC,1.661,-0.653,2.302,-0.286,-0.225,0.641,-0.209,-0.091,-0.067,0.109
17,1580,Neuron,0.707,-0.215,Endothelial,0.922,0.707,-0.301,-0.264,-0.515,-0.368,-0.215,-0.27,-0.266,-0.255
18,1301,Neuron,1.118,-0.23,Endothelial,1.348,1.118,-0.327,-0.289,-0.514,-0.432,-0.23,-0.257,-0.243,-0.267
19,5316,Neuron,1.111,-0.185,OPC,1.296,1.111,-0.28,-0.218,-0.501,-0.185,-0.228,-0.203,-0.237,-0.251
20,1556,Neuron,0.841,-0.193,OPC,1.034,0.841,-0.258,-0.288,-0.514,-0.193,-0.218,-0.239,-0.255,-0.253
21,1599,Oligodendrocyte,2.601,0.519,OPC,2.082,-0.096,-0.006,-0.183,2.601,0.519,-0.244,-0.264,-0.197,-0.218
22,7276,Neuron,1.298,-0.012,OPC,1.309,1.298,-0.286,-0.132,-0.479,-0.012,-0.226,-0.198,-0.129,-0.25
23,125,Fibroblast_Meninges,4.519,1.572,Pericyte,2.947,-0.382,1.248,-0.19,-0.226,0.249,0.205,1.572,0.177,4.519
24,2208,Neuron,1.289,-0.23,Endothelial,1.519,1.289,-0.298,-0.284,-0.525,-0.243,-0.23,-0.248,-0.251,-0.258
25,1321,Neuron,0.514,0.216,Astrocyte,0.297,0.514,0.216,-0.106,-0.194,-0.315,-0.218,-0.201,-0.17,-0.141
26,279,Microglia,1.81,-0.021,Endothelial,1.831,-0.155,-0.152,1.81,-0.072,-0.218,-0.021,-0.141,-0.273,-0.243
27,1003,Oligodendrocyte,2.512,0.312,OPC,2.2,-0.478,0.161,-0.301,2.512,0.312,-0.251,-0.285,-0.264,-0.25
28,1564,Oligodendrocyte,2.236,0.457,OPC,1.78,-0.656,-0.256,-0.312,2.236,0.457,-0.253,-0.287,-0.228,-0.259
29,2453,Neuron,0.915,-0.212,Endothelial,1.127,0.915,-0.326,-0.242,-0.522,-0.223,-0.212,-0.237,-0.241,-0.256
