symbol,top_celltype,top_mean,top_pct,mean_others,specificity,n_celltypes,ambient_index,ambient_suspect,n_methods
TFE3,Microglia,0.2855,0.198,0.0516,5.53,8,0.617,False,3
GALNS,Neuron,0.1528,0.229,0.0507,3.01,8,0.433,False,3
ATF3,Microglia,0.1232,0.077,0.0134,9.21,8,2.585,False,3
SPRR1A,Ependymal,0.0407,0.023,0.0027,15.1,8,2.396,False,3
CDHR5,Neuron,0.0002,0.0,0.0,211615.2,8,0.0,False,3
TNIK,Astrocyte,2.6119,0.972,1.0568,2.47,8,0.534,False,2
SLC2A1,Endothelial,2.1266,0.93,0.177,12.01,8,1.279,False,2
MEGF11,OPC,1.8884,0.851,0.0732,25.81,8,0.506,False,2
CHL1,Astrocyte,1.8529,0.884,0.3033,6.11,8,0.425,False,2
TNS3,Microglia,1.766,0.812,0.477,3.7,8,1.772,False,2
MAPK14,Microglia,0.8673,0.504,0.3324,2.61,8,0.598,False,2
AGRN,Endothelial,0.863,0.605,0.2222,3.88,8,0.382,False,2
SRRM4,Neuron,0.7544,0.67,0.0774,9.75,8,0.312,False,2
AXL,Microglia,0.5867,0.326,0.11,5.33,8,3.111,False,2
ACVR1,Microglia,0.5538,0.354,0.441,1.26,8,0.491,False,2
RUBCN,OPC,0.4644,0.361,0.2845,1.63,8,0.538,False,2
WBP1L,Microglia,0.3889,0.262,0.2043,1.9,8,0.737,False,2
CTTN,Neuron,0.2437,0.375,0.1257,1.94,8,0.359,False,2
RNF19B,Microglia,0.2177,0.15,0.0636,3.42,8,0.601,False,2
FLRT3,OPC,0.2084,0.19,0.0846,2.46,8,0.355,False,2
ANKRD13B,Neuron,0.1495,0.247,0.0391,3.83,8,0.405,False,2
PTPN23,Neuron,0.1472,0.244,0.08,1.84,8,0.491,False,2
WDR81,Microglia,0.1097,0.077,0.0263,4.17,8,0.865,False,2
FLNC,Ependymal,0.104,0.057,0.0244,4.26,8,1.446,False,2
CCDC160,Ependymal,0.1006,0.08,0.0275,3.66,8,0.467,False,2
VASH2,Neuron,0.082,0.151,0.0112,7.34,8,0.237,False,2
SERPINE1,Fibroblast_Meninges,0.0418,0.016,0.0062,6.77,8,2.384,False,2
VIP,Endothelial,0.0413,0.023,0.0005,84.35,8,0.595,False,2
ECEL1,Neuron,0.0405,0.062,0.0175,2.31,8,0.573,False,2
ITPKC,Neuron,0.0405,0.075,0.0229,1.77,8,0.436,False,2
NPY,Endothelial,0.0318,0.023,0.0136,2.34,8,0.807,False,2
LNP1,Astrocyte,0.0023,0.002,0.0002,10.32,8,0.0,False,2
ANKRD1,Neuron,0.0009,0.002,0.0001,14.55,8,1.057,False,2
