celltype,sample,SPRR1A,ATF3,TFE3,CDHR5,GALNS,CHL1,FLNC,RNF19B,SRRM4,ECEL1,FLRT3,PTPN23,MAPK14,VASH2,TNIK,WDR81,CCDC160,SLC2A1,ANKRD13B,NPY,AXL,SERPINE1,WBP1L,ITPKC,ACVR1,LNP1,AGRN,VIP,TNS3,ANKRD1,CTTN,RUBCN,MEGF11,condition,n_cells
Astrocyte,GSM9674452_Sham2,0.0,0.0,0.06725434,0.0,0.0032314677,1.918734,0.0,0.040061247,0.0831582,0.01171642,0.025099782,0.053567726,0.24977669,0.0,2.846228,0.020431602,0.0,0.38796103,0.035835862,0.0,0.18701611,0.0,0.21369132,0.03738143,0.45894706,0.0,0.32253462,0.0,0.39935464,0.0,0.18281221,0.21946009,0.071209416,Sham,93
Astrocyte,GSM9674453_Sham3,0.0,0.0073711607,0.070303634,0.0,0.033714,2.0698404,0.16726825,0.17444643,0.05987622,0.047005437,0.04849319,0.053369068,0.24662529,0.0132206585,2.3978434,0.0554144,0.01720791,0.46424416,0.11534791,0.05282921,0.28396782,0.0132206585,0.2601724,0.009226826,0.40020806,0.0,0.19611023,0.008222503,0.43131495,0.0,0.23236084,0.2494057,0.059589885,Sham,120
Astrocyte,GSM9674455_SNI2,0.0,0.0,0.07019096,0.0,0.014385541,1.8061928,0.032614864,0.032515034,0.12636487,0.023013802,0.045699093,0.061365273,0.26015535,0.0044011585,2.685704,0.028995506,0.0,0.22307535,0.016830215,0.0,0.13812341,0.0,0.27893275,0.021127237,0.44816673,0.0,0.29830584,0.0,0.37273416,0.0,0.17110462,0.21304055,0.09451336,SNI,128
Astrocyte,GSM9674456_SNI3,0.018142551,0.0072989087,0.04905282,0.0,0.054991487,1.7136769,0.07556829,0.08952344,0.026731716,0.012206593,0.06510431,0.046307076,0.2948915,0.0,2.5893755,0.05809112,0.0067725824,0.26280394,0.04796846,0.026955642,0.13484198,0.009890465,0.16932356,0.025439082,0.4013735,0.006757194,0.2075736,0.0,0.30023265,0.0,0.098169185,0.16851117,0.03651398,SNI,176
Endothelial,GSM9674453_Sham3,0.0,0.07368933,0.0303101,0.0,0.056069147,0.15211433,0.035158128,0.052685123,0.06320349,0.0,0.08605281,0.0,0.18587482,0.02091102,0.5232272,0.0,0.0,2.0377765,0.0651418,0.065172985,0.20639485,0.0,0.15553746,0.027811548,0.46438417,0.0,0.7288209,0.0,0.26172593,0.0,0.120779276,0.17530082,0.046480812,Sham,21
Endothelial,GSM9674456_SNI3,0.0,0.0,0.0,0.0,0.12099834,0.044519328,0.040431537,0.0,0.059991624,0.0,0.027505219,0.15317792,0.4408281,0.0,0.4041134,0.04966582,0.04966582,2.2114718,0.0,0.0,0.18626767,0.0,0.35200503,0.0,0.5989092,0.0,0.99103,0.08067625,0.19590205,0.0,0.25819263,0.25141785,0.06668667,SNI,22
Ependymal,GSM9674453_Sham3,0.0,0.04580833,0.0,0.0,0.0,0.22371712,0.098764285,0.0,0.026615843,0.025238637,0.0927493,0.0,0.22874156,0.0,0.8331605,0.0,0.18475023,0.5032672,0.0,0.0,0.0,0.0,0.10026295,0.0,0.49986845,0.0,0.045877468,0.0,0.2020444,0.0,0.012438617,0.3474286,0.0,Sham,42
Ependymal,GSM9674456_SNI3,0.10734075,0.0,0.0,0.0,0.068568,0.18967198,0.11833058,0.021059154,0.12927297,0.044999383,0.12578574,0.2178627,0.11278061,0.02312845,0.86709356,0.0,0.0,0.60510737,0.02100446,0.0,0.057237472,0.0,0.0,0.0,0.40142107,0.0,0.13651748,0.0,0.18867444,0.0,0.059625763,0.14581013,0.0,SNI,33
Fibroblast_Meninges,GSM9674452_Sham2,0.0,0.0,0.13198632,0.0,0.0,0.12865205,0.033160422,0.07031506,0.061713453,0.0,0.0,0.0,0.5864891,0.0,0.59166455,0.0,0.07600712,0.10292022,0.0,0.0,0.40639073,0.0,0.42890027,0.0,0.4968971,0.0,0.0,0.0,0.36383253,0.0,0.1660967,0.053807896,0.10147491,Sham,32
Fibroblast_Meninges,GSM9674453_Sham3,0.0,0.0,0.07137917,0.0,0.0,0.294609,0.16755654,0.11121635,0.031590123,0.012419165,0.031590123,0.069789685,0.25805503,0.019405128,0.9840513,0.0,0.07856771,0.32899648,0.030474456,0.0,0.27914482,0.0,0.23961729,0.0,0.32662398,0.0,0.20995025,0.0,0.44389609,0.0,0.41508737,0.2656322,0.27887782,Sham,30
Fibroblast_Meninges,GSM9674455_SNI2,0.0,0.038470007,0.02423441,0.0,0.0,0.22251154,0.0,0.063227355,0.0,0.0,0.08170993,0.16503772,0.31484216,0.0,0.8099206,0.0,0.08818082,0.035645954,0.035645954,0.0,0.19334847,0.04838293,0.3814365,0.0,0.47307685,0.0,0.1878388,0.0,0.39790958,0.0,0.13417017,0.29129526,0.075333394,SNI,41
Fibroblast_Meninges,GSM9674456_SNI3,0.0,0.0,0.089677446,0.0,0.07090965,0.49591407,0.025045002,0.07166641,0.16869198,0.0,0.104276344,0.0,0.35556003,0.0,0.6817762,0.0,0.11590651,0.08702369,0.04301448,0.0,0.40010297,0.14750628,0.105753444,0.15362018,0.21178994,0.0,0.158339,0.0,0.2933039,0.0,0.085490175,0.2718871,0.0,SNI,22
Microglia,GSM9674452_Sham2,0.0,0.011437074,0.24886045,0.0,0.1299614,0.20387217,0.0,0.2285338,0.16078968,0.018101772,0.06924291,0.044824623,1.2066965,0.0036734599,0.38433337,0.094211586,0.005515562,0.029855484,0.014537416,0.010481455,0.08500719,0.005766787,0.45871466,0.07799378,0.75397426,0.0,0.035245005,0.0,1.4664468,0.0,0.027194908,0.2769951,0.101627484,Sham,90
Microglia,GSM9674453_Sham3,0.0034201802,0.21981491,0.32717228,0.0,0.1860437,0.10202978,0.0,0.21317412,0.07807888,0.009126156,0.03915967,0.085797705,0.72874564,0.019246385,0.8891886,0.10927752,0.0026711544,0.13671988,0.02922949,0.016178688,0.8175421,0.04528945,0.40595707,0.045270666,0.5609927,0.0,0.08897177,0.0,1.9426266,0.0,0.022038039,0.240067,0.05728068,Sham,371
