symbol,n_methods,n_datasets,celltypes,consensus_lineage,confident,mean_enrich,tiers,lineages
ATF3,3,,,NotLocalisable,False,,,
CDHR5,3,,,NotLocalisable,False,,,
GALNS,3,1.0,Neuron,Neuronal,False,1.57,restricted,Neuronal
SPRR1A,3,1.0,Neuron,Neuronal,False,2.46,restricted,Neuronal
TFE3,3,2.0,Immune|Microglia,Immune,True,1.795,enriched|restricted,Immune
ACVR1,2,,,NotLocalisable,False,,,
AGRN,2,,,NotLocalisable,False,,,
ANKRD1,2,,,NotLocalisable,False,,,
ANKRD13B,2,2.0,Neuron,Neuronal,True,1.85,restricted,Neuronal
AXL,2,1.0,Immune,Immune,False,2.33,restricted,Immune
CCDC160,2,,,NotLocalisable,False,,,
CHL1,2,2.0,Astrocyte|SatelliteGlia,Glial,True,1.91,enriched|restricted,Glial
CRISP3,2,,,NotLocalisable,False,,,
CTTN,2,2.0,Neuron,Neuronal,True,0.84,enriched,Neuronal
ECEL1,2,1.0,Neuron,Neuronal,False,2.95,restricted,Neuronal
FLNC,2,,,NotLocalisable,False,,,
FLRT3,2,2.0,Neuron|OPC,Mixed,False,1.4649999999999999,restricted,Glial|Neuronal
ITPKC,2,,,NotLocalisable,False,,,
LNP1,2,,,NotLocalisable,False,,,
MAPK14,2,2.0,Microglia|Schwann,Mixed,False,1.035,enriched|restricted,Glial|Immune
MEGF11,2,1.0,OPC,Glial,False,4.67,restricted,Glial
NPY,2,,,NotLocalisable,False,,,
PTPN23,2,2.0,Neuron,Neuronal,True,0.885,enriched,Neuronal
REG3B,2,,,NotLocalisable,False,,,
RNF19B,2,2.0,Microglia|Neuron,Mixed,False,1.495,restricted,Immune|Neuronal
RUBCN,2,2.0,Neuron|OPC,Mixed,False,0.755,enriched,Glial|Neuronal
SERPINE1,2,,,NotLocalisable,False,,,
SLC2A1,2,,,NotLocalisable,False,,,
SRRM4,2,2.0,Neuron,Neuronal,True,2.625,restricted,Neuronal
TNIK,2,2.0,Astrocyte|Neuron,Mixed,False,1.33,restricted,Glial|Neuronal
TNS3,2,1.0,SatelliteGlia,Glial,False,2.08,restricted,Glial
VASH2,2,2.0,Neuron,Neuronal,True,2.245,restricted,Neuronal
VIP,2,,,NotLocalisable,False,,,
WBP1L,2,1.0,Microglia,Immune,False,0.93,enriched,Immune
WDR81,2,1.0,Microglia,Immune,False,2.02,restricted,Immune
