dataset_tag,dataset,tissue,in_consensus_set,n_methods,symbol,overall_pct,max_mean,localisable,tier,top_celltype,top_lineage,top_n_cells,top_pct,log2_enrich_mean,log2_enrich_pct,ambient_index,top_ct_median_n_genes,global_median_n_genes,n_candidates
GSE216039_DRG,GSE216039,DRG,True,2,ACVR1,0.3715,0.1294,False,broad,Neuron,Neuronal,17562,0.388,0.55,1.42,0.302,6389,3859,5
GSE216039_DRG,GSE216039,DRG,True,2,AGRN,0.2468,0.2439,False,rare_compartment,Endothelial,Vascular_Stroma,31,0.161,1.09,-0.42,0.241,1269,3859,5
GSE216039_DRG,GSE216039,DRG,True,2,ANKRD1,0.0195,0.0079,False,undetected,Neuron,Neuronal,17562,0.024,3.07,4.44,0.0,6389,3859,5
GSE216039_DRG,GSE216039,DRG,True,2,ANKRD13B,0.574,0.2905,True,restricted,Neuron,Neuronal,17562,0.616,1.79,1.98,0.28,6389,3859,5
GSE216039_DRG,GSE216039,DRG,True,3,ATF3,0.6551,1.0297,False,broad,Schwann,Glial,1492,0.799,0.44,0.93,0.549,5923,3859,5
GSE216039_DRG,GSE216039,DRG,True,2,AXL,0.0635,0.4952,True,restricted,Immune,Immune,73,0.411,2.33,1.87,0.142,1377,3859,5
GSE216039_DRG,GSE216039,DRG,True,2,CCDC160,0.1264,0.0685,False,undetected,Endothelial,Vascular_Stroma,31,0.032,1.15,-1.32,0.314,1269,3859,5
GSE216039_DRG,GSE216039,DRG,True,3,CDHR5,0.0001,0.0014,False,undetected,SatelliteGlia,Glial,847,0.001,1.19,0.88,0.0,1795,3859,5
GSE216039_DRG,GSE216039,DRG,True,2,CHL1,0.5727,0.7434,True,enriched,SatelliteGlia,Glial,847,0.497,1.21,0.38,0.458,1795,3859,5
GSE216039_DRG,GSE216039,DRG,True,2,CTTN,0.7173,0.4914,True,enriched,Neuron,Neuronal,17562,0.735,0.73,1.09,0.356,6389,3859,5
GSE216039_DRG,GSE216039,DRG,True,2,ECEL1,0.2329,0.285,True,restricted,Neuron,Neuronal,17562,0.28,2.95,2.97,0.46,6389,3859,5
GSE216039_DRG,GSE216039,DRG,True,2,FLNC,0.1473,0.1741,False,rare_compartment,Endothelial,Vascular_Stroma,31,0.097,1.98,0.53,0.373,1269,3859,5
GSE216039_DRG,GSE216039,DRG,True,2,FLRT3,0.4552,0.4566,True,restricted,Neuron,Neuronal,17562,0.477,1.64,1.39,0.372,6389,3859,5
GSE216039_DRG,GSE216039,DRG,True,3,GALNS,0.0692,0.0234,False,undetected,Immune,Immune,73,0.041,1.34,0.55,0.314,1377,3859,5
GSE216039_DRG,GSE216039,DRG,True,2,ITPKC,0.1938,0.0818,False,rare_compartment,Endothelial,Vascular_Stroma,31,0.065,1.05,-0.76,0.288,1269,3859,5
GSE216039_DRG,GSE216039,DRG,True,2,LNP1,0.0002,0.0,False,undetected,Neuron,Neuronal,17562,0.0,0.03,0.3,0.0,6389,3859,5
GSE216039_DRG,GSE216039,DRG,True,2,MAPK14,0.6299,0.3096,True,enriched,Schwann,Glial,1492,0.628,0.69,1.24,0.292,5923,3859,5
GSE216039_DRG,GSE216039,DRG,True,2,MEGF11,0.0062,0.0439,False,undetected,SatelliteGlia,Glial,847,0.04,3.94,2.59,0.0,1795,3859,5
GSE216039_DRG,GSE216039,DRG,True,2,NPY,0.1093,0.1225,False,rare_compartment,Endothelial,Vascular_Stroma,31,0.065,1.2,0.02,0.868,1269,3859,5
GSE216039_DRG,GSE216039,DRG,True,2,PTPN23,0.4531,0.1598,True,enriched,Neuron,Neuronal,17562,0.477,0.9,1.62,0.362,6389,3859,5
GSE216039_DRG,GSE216039,DRG,True,2,REG3B,0.0075,0.0034,False,undetected,Neuron,Neuronal,17562,0.009,1.07,1.09,1.108,6389,3859,5
GSE216039_DRG,GSE216039,DRG,True,2,RNF19B,0.6452,0.3509,True,restricted,Neuron,Neuronal,17562,0.665,1.23,1.51,0.317,6389,3859,5
GSE216039_DRG,GSE216039,DRG,True,2,RUBCN,0.4913,0.1701,True,enriched,Neuron,Neuronal,17562,0.512,0.8,1.58,0.281,6389,3859,5
GSE216039_DRG,GSE216039,DRG,True,2,SERPINE1,0.0183,0.0583,False,undetected,Endothelial,Vascular_Stroma,31,0.032,1.98,0.92,0.0,1269,3859,5
GSE216039_DRG,GSE216039,DRG,True,2,SLC2A1,0.447,0.3895,False,rare_compartment,Endothelial,Vascular_Stroma,31,0.226,1.04,-0.5,0.352,1269,3859,5
GSE216039_DRG,GSE216039,DRG,True,3,SPRR1A,0.3505,0.926,True,restricted,Neuron,Neuronal,17562,0.392,2.46,1.64,0.82,6389,3859,5
GSE216039_DRG,GSE216039,DRG,True,2,SRRM4,0.4477,0.1934,True,restricted,Neuron,Neuronal,17562,0.469,1.98,2.0,0.269,6389,3859,5
GSE216039_DRG,GSE216039,DRG,True,3,TFE3,0.4515,0.2707,True,enriched,Immune,Immune,73,0.26,1.14,0.03,0.247,1377,3859,5
GSE216039_DRG,GSE216039,DRG,True,2,TNIK,0.5658,0.4285,True,restricted,Neuron,Neuronal,17562,0.608,1.36,1.62,0.313,6389,3859,5
GSE216039_DRG,GSE216039,DRG,True,2,TNS3,0.1941,0.5796,True,restricted,SatelliteGlia,Glial,847,0.438,2.08,0.98,0.313,1795,3859,5
GSE216039_DRG,GSE216039,DRG,True,2,VASH2,0.1675,0.0501,True,restricted,Neuron,Neuronal,17562,0.175,1.72,1.87,0.161,6389,3859,5
GSE216039_DRG,GSE216039,DRG,True,2,VIP,0.0009,0.0004,False,undetected,Neuron,Neuronal,17562,0.001,0.44,1.1,0.0,6389,3859,5
GSE216039_DRG,GSE216039,DRG,True,2,WBP1L,0.3423,0.1673,False,rare_compartment,Endothelial,Vascular_Stroma,31,0.129,0.79,-0.63,0.325,1269,3859,5
GSE216039_DRG,GSE216039,DRG,True,2,WDR81,0.2795,0.1079,False,broad,Immune,Immune,73,0.164,0.58,0.08,0.177,1377,3859,5
GSE246288_SC,GSE246288,SpinalCord,False,2,ACVR1,0.2194,0.3465,True,enriched,Astrocyte,Glial,122,0.377,0.9,0.75,0.358,2734,2734,9
GSE246288_SC,GSE246288,SpinalCord,False,2,AGRN,0.0266,0.0734,True,enriched,Astrocyte,Glial,122,0.066,1.01,0.55,0.933,2734,2734,9
GSE246288_SC,GSE246288,SpinalCord,False,2,ANKRD13B,0.0124,0.0166,False,undetected,Oligodendrocyte,Glial,1045,0.011,1.09,0.09,0.269,1322,2734,9
GSE246288_SC,GSE246288,SpinalCord,False,3,ATF3,0.0721,0.7755,True,restricted,Fibroblast_Meninges,Vascular_Stroma,154,0.481,2.94,2.28,0.29,3035,2734,9
GSE246288_SC,GSE246288,SpinalCord,False,2,AXL,0.1019,0.56,True,restricted,Astrocyte,Glial,122,0.434,2.06,1.53,0.378,2734,2734,9
GSE246288_SC,GSE246288,SpinalCord,False,2,CHL1,0.0003,0.0028,False,undetected,Endothelial,Vascular_Stroma,160,0.006,1.84,2.75,0.0,4244,2734,9
GSE246288_SC,GSE246288,SpinalCord,False,2,CTTN,0.0008,0.0032,False,undetected,Ependymal,Glial,181,0.006,1.66,2.41,4.469,3650,2734,9
GSE246288_SC,GSE246288,SpinalCord,False,2,ECEL1,0.0005,0.0005,False,undetected,Neuron,Neuronal,4103,0.001,0.5,0.71,0.0,2692,2734,9
GSE246288_SC,GSE246288,SpinalCord,False,2,FLRT3,0.0006,0.0098,False,undetected,Endothelial,Vascular_Stroma,160,0.013,3.03,3.37,0.0,4244,2734,9
GSE246288_SC,GSE246288,SpinalCord,False,3,GALNS,0.0704,0.1898,True,restricted,Endothelial,Vascular_Stroma,160,0.294,1.21,1.33,0.543,4244,2734,9
GSE246288_SC,GSE246288,SpinalCord,False,2,ITPKC,0.0495,0.0543,False,undetected,Oligodendrocyte,Glial,1045,0.042,0.82,0.13,0.528,1322,2734,9
GSE246288_SC,GSE246288,SpinalCord,False,2,MAPK14,0.4239,0.7011,True,enriched,Pericyte,Vascular_Stroma,83,0.53,0.58,0.15,0.563,1616,2734,9
GSE246288_SC,GSE246288,SpinalCord,False,2,MEGF11,0.015,0.0324,False,undetected,OPC,Glial,233,0.056,1.32,1.58,0.644,4548,2734,9
GSE246288_SC,GSE246288,SpinalCord,False,2,NPY,0.0003,0.0003,False,undetected,Neuron,Neuronal,4103,0.0,0.36,0.53,0.0,2692,2734,9
GSE246288_SC,GSE246288,SpinalCord,False,2,PTPN23,0.0857,0.1509,True,enriched,Fibroblast_Meninges,Vascular_Stroma,154,0.156,0.88,0.62,0.613,3035,2734,9
