symbol,set,n_ligands,n_actives,auc,p_auc_mwu_onesided,p_auc_hn_twosided,auc_dock_recomputed,auc_mw_adjusted,auc_size_only,mw_slope_on_neg_affinity,mw_control_verdict,verdict_reason
ACVR1,t1_only,620,0,,,,,,,0.009279198490336659,n/a_insufficient_positives,阳性数 0 不足 5 或数值不可用
ACVR1,full_library,3075,9,0.7969667318982387,0.0010316679727782687,0.0008895560174271289,0.7969667318982387,0.65514242226571,0.817351598173516,0.005791848411596104,FAIL_size_only_matches,仅分子量基线 AUC 0.817 ≥ 对接 AUC 0.797：一行式尺寸启发式就够好，对接未提供增量信息
ADRA2A,t1_only,620,88,0.6183676520847573,0.00018550769886006147,0.0004791835374535758,0.6183676520847573,0.5972744360902256,0.5814144736842105,0.008036316252294836,PASS_size_independent,对接 AUC 0.618 > 尺寸基线 0.581、p=0.00019、校正后 0.597 > 0.5
ADRA2A,full_library,3070,115,0.5324652394614875,0.11840851083882326,0.24482598023250723,0.5324652394614875,0.5783138380048555,0.4618450673140587,0.005552655784637169,NS_not_significant,对接 AUC 0.532 方向正确但 p=0.118 ≥ 0.05：只能称趋势，不能称富集
AXL,t1_only,620,0,,,,,,,0.008693623667493489,n/a_insufficient_positives,阳性数 0 不足 5 或数值不可用
AXL,full_library,3071,13,0.8797731045932484,1.1094661054861936e-06,7.730298623442877e-10,0.8797731045932484,0.7516727876440107,0.8424057956432057,0.006198766451704731,PASS_size_independent,对接 AUC 0.880 > 尺寸基线 0.842、p=1.1e-06、校正后 0.752 > 0.5
GALNS,t1_only,620,0,,,,,,,0.007668664692990932,n/a_insufficient_positives,阳性数 0 不足 5 或数值不可用
GALNS,full_library,3064,0,,,,,,,0.003833878251374362,n/a_insufficient_positives,阳性数 0 不足 5 或数值不可用
ITPKC,t1_only,620,0,,,,,,,0.005090179410795998,n/a_insufficient_positives,阳性数 0 不足 5 或数值不可用
ITPKC,full_library,3065,0,,,,,,,0.004039743428781379,n/a_insufficient_positives,阳性数 0 不足 5 或数值不可用
MAPK14,t1_only,618,2,,,,0.6761363636363636,0.5340909090909091,0.8116883116883117,0.004703245502910931,n/a_insufficient_positives,阳性数 2 不足 5 或数值不可用
MAPK14,full_library,3066,16,0.7785758196721312,5.925048221266287e-05,5.0936462524742154e-05,0.7785758196721312,0.7285655737704918,0.7871618852459017,0.0031769481200207826,FAIL_size_only_matches,仅分子量基线 AUC 0.787 ≥ 对接 AUC 0.779：一行式尺寸启发式就够好，对接未提供增量信息
SERPINE1,t1_only,620,0,,,,,,,0.0030834221097518827,n/a_insufficient_positives,阳性数 0 不足 5 或数值不可用
SERPINE1,full_library,3075,0,,,,,,,0.0022564442786734526,n/a_insufficient_positives,阳性数 0 不足 5 或数值不可用
SLC2A1,t1_only,620,0,,,,,,,0.011345464916010888,n/a_insufficient_positives,阳性数 0 不足 5 或数值不可用
SLC2A1,full_library,3066,1,,,,0.9141924959216966,0.8557911908646003,0.8419249592169658,0.008294716085748574,n/a_insufficient_positives,阳性数 1 不足 5 或数值不可用
TNIK,t1_only,620,0,,,,,,,0.004325708663021474,n/a_insufficient_positives,阳性数 0 不足 5 或数值不可用
TNIK,full_library,3063,10,0.8242056993121519,0.00019635383142173164,6.221348381973968e-05,0.8242056993121519,0.8034719947592532,0.8160334097608909,0.0017534313222293929,PASS_size_independent,对接 AUC 0.824 > 尺寸基线 0.816、p=0.0002、校正后 0.803 > 0.5
VASH2,t1_only,620,0,,,,,,,0.00620220100480434,n/a_insufficient_positives,阳性数 0 不足 5 或数值不可用
VASH2,full_library,3070,0,,,,,,,0.003908364321208672,n/a_insufficient_positives,阳性数 0 不足 5 或数值不可用
