chembl_id,affinity,n_modes,rmsd_lb,rmsd_ub,sec,rc,err,symbol,tag,exh,max_evals
CHEMBL1000,-8.731,1,0.0,0.0,28.28,0,,ACVR1,t1_cns,1,0
CHEMBL100116,-8.698,3,0.0,0.0,8.12,0,,ACVR1,t1_cns,1,0
CHEMBL1004,-7.547,2,0.0,0.0,11.45,0,,ACVR1,t1_cns,1,0
CHEMBL1005,-7.4,1,0.0,0.0,24.77,0,,ACVR1,t1_cns,1,0
CHEMBL1008,-8.189,1,0.0,0.0,26.5,0,,ACVR1,t1_cns,1,0
CHEMBL1009,-5.94,2,0.0,0.0,9.92,0,,ACVR1,t1_cns,1,0
CHEMBL1027,-7.43,2,0.0,0.0,21.52,0,,ACVR1,t1_cns,1,0
CHEMBL1037,-6.582,2,0.0,0.0,6.8,0,,ACVR1,t1_cns,1,0
CHEMBL1059,-5.196,1,0.0,0.0,8.22,0,,ACVR1,t1_cns,1,0
CHEMBL1065,-9.305,3,0.0,0.0,14.76,0,,ACVR1,t1_cns,1,0
CHEMBL1068,-6.517,3,0.0,0.0,19.71,0,,ACVR1,t1_cns,1,0
CHEMBL1076903,-7.193,3,0.0,0.0,4.36,0,,ACVR1,t1_cns,1,0
CHEMBL1077896,-8.019,3,0.0,0.0,10.21,0,,ACVR1,t1_cns,1,0
CHEMBL1078261,-5.052,1,0.0,0.0,22.44,0,,ACVR1,t1_cns,1,0
CHEMBL1079,-6.769,3,0.0,0.0,5.9,0,,ACVR1,t1_cns,1,0
CHEMBL1079604,-6.961,3,0.0,0.0,7.1,0,,ACVR1,t1_cns,1,0
CHEMBL108,-8.97,3,0.0,0.0,4.93,0,,ACVR1,t1_cns,1,0
CHEMBL1083659,-7.258,3,0.0,0.0,65.65,0,,ACVR1,t1_cns,1,0
CHEMBL1085,-8.602,1,0.0,0.0,28.71,0,,ACVR1,t1_cns,1,0
CHEMBL1087,-7.806,2,0.0,0.0,7.03,0,,ACVR1,t1_cns,1,0
