chembl_id,affinity,n_modes,rmsd_lb,rmsd_ub,sec,rc,err,symbol,tag,exh,max_evals
CHEMBL1002,-6.209,2,0.0,0.0,12.36,0,,ACVR1,t2_other,1,0
CHEMBL1003,-5.711,3,0.0,0.0,6.34,0,,ACVR1,t2_other,1,0
CHEMBL1006,-4.063,3,0.0,0.0,12.18,0,,ACVR1,t2_other,1,0
CHEMBL101,-8.517,1,0.0,0.0,12.67,0,,ACVR1,t2_other,1,0
CHEMBL1010,-7.357,2,0.0,0.0,29.05,0,,ACVR1,t2_other,1,0
CHEMBL1013,-8.013,2,0.0,0.0,14.49,0,,ACVR1,t2_other,1,0
CHEMBL1014,-9.876,3,0.0,0.0,107.8,0,,ACVR1,t2_other,1,0
CHEMBL1017,-11.08,2,0.0,0.0,42.66,0,,ACVR1,t2_other,1,0
CHEMBL1018,-8.302,2,0.0,0.0,9.94,0,,ACVR1,t2_other,1,0
CHEMBL1020,-7.562,2,0.0,0.0,9.17,0,,ACVR1,t2_other,1,0
CHEMBL1021,-7.97,3,0.0,0.0,10.03,0,,ACVR1,t2_other,1,0
CHEMBL1023,-10.27,3,0.0,0.0,12.05,0,,ACVR1,t2_other,1,0
CHEMBL1024,-4.875,1,0.0,0.0,6.9,0,,ACVR1,t2_other,1,0
CHEMBL1025,-4.822,1,0.0,0.0,5.22,0,,ACVR1,t2_other,1,0
CHEMBL1026,-6.11,3,0.0,0.0,29.99,0,,ACVR1,t2_other,1,0
CHEMBL1029,-5.448,2,0.0,0.0,9.55,0,,ACVR1,t2_other,1,0
CHEMBL103,-9.594,3,0.0,0.0,5.49,0,,ACVR1,t2_other,1,0
CHEMBL1034,-7.708,2,0.0,0.0,8.52,0,,ACVR1,t2_other,1,0
CHEMBL104,-5.96,1,0.0,0.0,12.96,0,,ACVR1,t2_other,1,0
CHEMBL1040,-8.499,3,0.0,0.0,23.27,0,,ACVR1,t2_other,1,0
CHEMBL1042,-8.548,3,0.0,0.0,20.06,0,,ACVR1,t2_other,1,0
CHEMBL1043,-7.025,3,0.0,0.0,7.67,0,,ACVR1,t2_other,1,0
CHEMBL1046,-4.695,2,0.0,0.0,6.77,0,,ACVR1,t2_other,1,0
CHEMBL105,-7.749,2,0.0,0.0,11.64,0,,ACVR1,t2_other,1,0
CHEMBL1051,-7.843,2,0.0,0.0,58.81,0,,ACVR1,t2_other,1,0
CHEMBL1054,-7.424,2,0.0,0.0,8.21,0,,ACVR1,t2_other,1,0
CHEMBL1055,-7.939,2,0.0,0.0,11.51,0,,ACVR1,t2_other,1,0
CHEMBL1057,-7.657,2,0.0,0.0,6.66,0,,ACVR1,t2_other,1,0
CHEMBL106,-7.139,2,0.0,0.0,12.71,0,,ACVR1,t2_other,1,0
CHEMBL106258,-6.381,2,0.0,0.0,4.67,0,,ACVR1,t2_other,1,0
CHEMBL1064,-8.37,2,0.0,0.0,24.11,0,,ACVR1,t2_other,1,0
CHEMBL1069,-8.495,3,0.0,0.0,38.12,0,,ACVR1,t2_other,1,0
CHEMBL107,-6.698,3,0.0,0.0,52.35,0,,ACVR1,t2_other,1,0
CHEMBL1070,-7.54,2,0.0,0.0,6.32,0,,ACVR1,t2_other,1,0
CHEMBL1071,-8.695,3,0.0,0.0,13.26,0,,ACVR1,t2_other,1,0
CHEMBL1072,-7.478,1,0.0,0.0,23.35,0,,ACVR1,t2_other,1,0
CHEMBL1073,-8.73,2,0.0,0.0,26.71,0,,ACVR1,t2_other,1,0
CHEMBL1075,-8.367,2,0.0,0.0,20.86,0,,ACVR1,t2_other,1,0
CHEMBL1077,-7.737,2,0.0,0.0,11.62,0,,ACVR1,t2_other,1,0
CHEMBL1078178,-10.03,1,0.0,0.0,20.11,0,,ACVR1,t2_other,1,0
CHEMBL1079742,-7.828,3,0.0,0.0,25.5,0,,ACVR1,t2_other,1,0
CHEMBL1082,-7.837,3,0.0,0.0,18.32,0,,ACVR1,t2_other,1,0
CHEMBL1082407,-10.16,2,0.0,0.0,18.31,0,,ACVR1,t2_other,1,0
CHEMBL1082607,-7.318,2,0.0,0.0,65.4,0,,ACVR1,t2_other,1,0
CHEMBL1083385,-7.225,3,0.0,0.0,9.91,0,,ACVR1,t2_other,1,0
CHEMBL1083993,-7.554,2,0.0,0.0,34.43,0,,ACVR1,t2_other,1,0
CHEMBL1084172,-7.288,3,0.0,0.0,75.1,0,,ACVR1,t2_other,1,0
CHEMBL108545,-5.201,2,0.0,0.0,4.38,0,,ACVR1,t2_other,1,0
CHEMBL1086,-7.417,1,0.0,0.0,19.81,0,,ACVR1,t2_other,1,0
CHEMBL1086440,-7.536,3,0.0,0.0,8.96,0,,ACVR1,t2_other,1,0
CHEMBL1089318,-9.052,3,0.0,0.0,15.05,0,,ACVR1,t2_other,1,0
CHEMBL1090,-6.83,2,0.0,0.0,10.97,0,,ACVR1,t2_other,1,0
CHEMBL1091,-9.196,1,0.0,0.0,14.51,0,,ACVR1,t2_other,1,0
CHEMBL1091250,-9.471,2,0.0,0.0,11.95,0,,ACVR1,t2_other,1,0
CHEMBL1092,-7.644,2,0.0,0.0,12.38,0,,ACVR1,t2_other,1,0
CHEMBL1094636,-9.61,2,0.0,0.0,11.26,0,,ACVR1,t2_other,1,0
CHEMBL1094966,-6.088,3,0.0,0.0,11.34,0,,ACVR1,t2_other,1,0
CHEMBL1095097,-9.885,2,0.0,0.0,9.6,0,,ACVR1,t2_other,1,0
CHEMBL1095292,-5.834,2,0.0,0.0,4.71,0,,ACVR1,t2_other,1,0
CHEMBL1095930,-7.244,2,0.0,0.0,52.85,0,,ACVR1,t2_other,1,0
CHEMBL1096146,-8.901,1,0.0,0.0,29.94,0,,ACVR1,t2_other,1,0
CHEMBL1096562,-4.357,3,0.0,0.0,6.05,0,,ACVR1,t2_other,1,0
CHEMBL1096882,-7.53,3,0.0,0.0,21.47,0,,ACVR1,t2_other,1,0
CHEMBL1096885,-8.176,2,0.0,0.0,140.2,0,,ACVR1,t2_other,1,0
CHEMBL1097620,-6.991,2,0.0,0.0,7.8,0,,ACVR1,t2_other,1,0
CHEMBL1098285,-7.279,2,0.0,0.0,43.64,0,,ACVR1,t2_other,1,0
CHEMBL1098319,-2.885,2,0.0,0.0,4.51,0,,ACVR1,t2_other,1,0
CHEMBL110,-6.667,3,0.0,0.0,10.08,0,,ACVR1,t2_other,1,0
CHEMBL1103,-6.289,2,0.0,0.0,5.78,0,,ACVR1,t2_other,1,0
CHEMBL110458,-4.923,2,0.0,0.0,5.72,0,,ACVR1,t2_other,1,0
CHEMBL110691,-8.544,2,0.0,0.0,9.65,0,,ACVR1,t2_other,1,0
CHEMBL1107,-8.32,2,0.0,0.0,38.95,0,,ACVR1,t2_other,1,0
CHEMBL1109,-7.949,1,0.0,0.0,12.12,0,,ACVR1,t2_other,1,0
CHEMBL1111,-8.175,2,0.0,0.0,22.26,0,,ACVR1,t2_other,1,0
CHEMBL1116,-9.629,3,0.0,0.0,35.24,0,,ACVR1,t2_other,1,0
CHEMBL1117,-10.45,2,0.0,0.0,30.57,0,,ACVR1,t2_other,1,0
CHEMBL1123,-6.8,2,0.0,0.0,13.82,0,,ACVR1,t2_other,1,0
CHEMBL1126,-8.04,2,0.0,0.0,11.81,0,,ACVR1,t2_other,1,0
CHEMBL1128,-5.584,2,0.0,0.0,4.46,0,,ACVR1,t2_other,1,0
CHEMBL1129,-7.182,2,0.0,0.0,10.68,0,,ACVR1,t2_other,1,0
CHEMBL1131,-8.572,2,0.0,0.0,14.77,0,,ACVR1,t2_other,1,0
CHEMBL1133,-6.994,3,0.0,0.0,26.33,0,,ACVR1,t2_other,1,0
CHEMBL1134,-4.993,3,0.0,0.0,16.01,0,,ACVR1,t2_other,1,0
CHEMBL1136,-4.423,2,0.0,0.0,459.63,0,,ACVR1,t2_other,1,0
CHEMBL1138,-9.536,2,0.0,0.0,25.94,0,,ACVR1,t2_other,1,0
CHEMBL1139,-7.59,2,0.0,0.0,26.58,0,,ACVR1,t2_other,1,0
CHEMBL114,-10.61,3,0.0,0.0,116.04,0,,ACVR1,t2_other,1,0
CHEMBL1140,-4.705,3,0.0,0.0,3.51,0,,ACVR1,t2_other,1,0
CHEMBL1141,-0.8768,3,0.0,0.0,1.91,0,,ACVR1,t2_other,1,0
CHEMBL1144,-7.937,2,0.0,0.0,41.22,0,,ACVR1,t2_other,1,0
CHEMBL1146,-7.964,3,0.0,0.0,28.5,0,,ACVR1,t2_other,1,0
CHEMBL1148,-8.909,2,0.0,0.0,14.01,0,,ACVR1,t2_other,1,0
CHEMBL1149,-3.999,1,0.0,0.0,6.09,0,,ACVR1,t2_other,1,0
CHEMBL115,-9.505,2,0.0,0.0,101.87,0,,ACVR1,t2_other,1,0
CHEMBL1152,-8.332,2,0.0,0.0,15.23,0,,ACVR1,t2_other,1,0
CHEMBL1159,-6.567,1,0.0,0.0,7.68,0,,ACVR1,t2_other,1,0
CHEMBL1159650,-7.891,2,0.0,0.0,17.28,0,,ACVR1,t2_other,1,0
CHEMBL116,-8.69,3,0.0,0.0,57.9,0,,ACVR1,t2_other,1,0
CHEMBL1161,-8.044,2,0.0,0.0,21.46,0,,ACVR1,t2_other,1,0
CHEMBL1162,-8.152,2,0.0,0.0,5.36,0,,ACVR1,t2_other,1,0
CHEMBL1163,-9.553,2,0.0,0.0,172.62,0,,ACVR1,t2_other,1,0
CHEMBL1164729,-7.788,2,0.0,0.0,12.13,0,,ACVR1,t2_other,1,0
CHEMBL1165,-8.44,3,0.0,0.0,55.64,0,,ACVR1,t2_other,1,0
CHEMBL1166,-9.309,3,0.0,0.0,50.14,0,,ACVR1,t2_other,1,0
CHEMBL11662,-7.086,3,0.0,0.0,8.16,0,,ACVR1,t2_other,1,0
CHEMBL1167,-7.136,3,0.0,0.0,9.82,0,,ACVR1,t2_other,1,0
CHEMBL1168,-7.838,2,0.0,0.0,34.96,0,,ACVR1,t2_other,1,0
CHEMBL1169,-5.326,2,0.0,0.0,5.67,0,,ACVR1,t2_other,1,0
CHEMBL1170,-8.591,2,0.0,0.0,8.91,0,,ACVR1,t2_other,1,0
CHEMBL1171837,-10.65,3,0.0,0.0,31.72,0,,ACVR1,t2_other,1,0
CHEMBL1173055,-7.884,3,0.0,0.0,25.43,0,,ACVR1,t2_other,1,0
CHEMBL1173655,-9.011,1,0.0,0.0,32.83,0,,ACVR1,t2_other,1,0
CHEMBL1183349,-8.305,2,0.0,0.0,171.62,0,,ACVR1,t2_other,1,0
CHEMBL1183717,-8.761,3,0.0,0.0,38.96,0,,ACVR1,t2_other,1,0
CHEMBL1184,-3.661,2,0.0,0.0,4.51,0,,ACVR1,t2_other,1,0
CHEMBL1184360,-6.3,2,0.0,0.0,12.21,0,,ACVR1,t2_other,1,0
CHEMBL1185568,-9.159,2,0.0,0.0,15.1,0,,ACVR1,t2_other,1,0
