symbol,chembl_id,pref_name,drug_lc,mw,logp,tpsa,hbd,rotb,tag,rc,sec,reason,D1_affinity,D2_pharm_prior,D3_accessibility,D4_reliability,composite_upper_bound,top_k_threshold_top20,exceeds_top20_bound
SLC2A1,CHEMBL484785,CRISABOROLE,crisaborole,251.0,1.57,62.5,1.0,2.0,t2_other,1,0.38,unsupported_atom_type_B（含硼药物，Vina 无法解析）,1.0,0.0,1.0,0.9141924959216966,0.7371288743882546,0.7262349334519309,True
AXL,CHEMBL484785,CRISABOROLE,crisaborole,251.0,1.57,62.5,1.0,2.0,t2_other,1,0.44,unsupported_atom_type_B（含硼药物，Vina 无法解析）,1.0,0.0,1.0,0.8797731045932484,0.7319659656889873,0.7262349334519309,True
TNIK,CHEMBL484785,CRISABOROLE,crisaborole,251.0,1.57,62.5,1.0,2.0,t2_other,1,0.29,unsupported_atom_type_B（含硼药物，Vina 无法解析）,1.0,0.0,1.0,0.8242056993121519,0.7236308548968229,0.7262349334519309,False
ACVR1,CHEMBL484785,CRISABOROLE,crisaborole,251.0,1.57,62.5,1.0,2.0,t2_other,1,3.19,unsupported_atom_type_B（含硼药物，Vina 无法解析）,1.0,0.0,1.0,0.7969667318982387,0.7195450097847359,0.7262349334519309,False
SLC2A1,CHEMBL443052,TAVABOROLE,tavaborole,151.9,0.04,29.5,1.0,0.0,t2_other,1,1.23,unsupported_atom_type_B（含硼药物，Vina 无法解析）,1.0,0.0,0.9,0.9141924959216966,0.7171288743882546,0.7262349334519309,False
MAPK14,CHEMBL484785,CRISABOROLE,crisaborole,251.0,1.57,62.5,1.0,2.0,t2_other,1,0.54,unsupported_atom_type_B（含硼药物，Vina 无法解析）,1.0,0.0,1.0,0.778536615334207,0.7167804923001311,0.7262349334519309,False
AXL,CHEMBL443052,TAVABOROLE,tavaborole,151.9,0.04,29.5,1.0,0.0,t2_other,1,0.82,unsupported_atom_type_B（含硼药物，Vina 无法解析）,1.0,0.0,0.9,0.8797731045932484,0.7119659656889873,0.7262349334519309,False
TNIK,CHEMBL443052,TAVABOROLE,tavaborole,151.9,0.04,29.5,1.0,0.0,t2_other,1,0.28,unsupported_atom_type_B（含硼药物，Vina 无法解析）,1.0,0.0,0.9,0.8242056993121519,0.7036308548968229,0.7262349334519309,False
ACVR1,CHEMBL443052,TAVABOROLE,tavaborole,151.9,0.04,29.5,1.0,0.0,t2_other,1,1.1,unsupported_atom_type_B（含硼药物，Vina 无法解析）,1.0,0.0,0.9,0.7969667318982387,0.6995450097847359,0.7262349334519309,False
MAPK14,CHEMBL443052,TAVABOROLE,tavaborole,151.9,0.04,29.5,1.0,0.0,t2_other,1,0.4,unsupported_atom_type_B（含硼药物，Vina 无法解析）,1.0,0.0,0.9,0.778536615334207,0.6967804923001311,0.7262349334519309,False
ADRA2A,CHEMBL484785,CRISABOROLE,crisaborole,251.0,1.57,62.5,1.0,2.0,t2_other,1,0.49,unsupported_atom_type_B（含硼药物，Vina 无法解析）,1.0,0.0,1.0,0.5324652394614875,0.6798697859192232,0.7262349334519309,False
SERPINE1,CHEMBL484785,CRISABOROLE,crisaborole,251.0,1.57,62.5,1.0,2.0,t2_other,1,0.41,unsupported_atom_type_B（含硼药物，Vina 无法解析）,1.0,0.0,1.0,0.5,0.675,0.7262349334519309,False
VASH2,CHEMBL484785,CRISABOROLE,crisaborole,251.0,1.57,62.5,1.0,2.0,t2_other,1,1.0,unsupported_atom_type_B（含硼药物，Vina 无法解析）,1.0,0.0,1.0,0.5,0.675,0.7262349334519309,False
ITPKC,CHEMBL484785,CRISABOROLE,crisaborole,251.0,1.57,62.5,1.0,2.0,t2_other,1,0.58,unsupported_atom_type_B（含硼药物，Vina 无法解析）,1.0,0.0,1.0,0.5,0.675,0.7262349334519309,False
GALNS,CHEMBL484785,CRISABOROLE,crisaborole,251.0,1.57,62.5,1.0,2.0,t2_other,1,0.48,unsupported_atom_type_B（含硼药物，Vina 无法解析）,1.0,0.0,1.0,0.5,0.675,0.7262349334519309,False
ADRA2A,CHEMBL443052,TAVABOROLE,tavaborole,151.9,0.04,29.5,1.0,0.0,t2_other,1,1.56,unsupported_atom_type_B（含硼药物，Vina 无法解析）,1.0,0.0,0.9,0.5324652394614875,0.6598697859192232,0.7262349334519309,False
SLC2A1,CHEMBL3317857,VABORBACTAM,vaborbactam,297.1,0.45,95.9,3.0,5.0,t2_other,1,4.04,unsupported_atom_type_B（含硼药物，Vina 无法解析）,1.0,0.0,0.6,0.9141924959216966,0.6571288743882545,0.7262349334519309,False
SLC2A1,CHEMBL501867,VINCRISTINE SULFATE,vincristine sulfate,825.0,3.52,171.2,3.0,8.0,t2_other,-9,602.41,timeout_600s（大环/高柔性分子）,1.0,0.0,0.6,0.9141924959216966,0.6571288743882545,0.7262349334519309,False
ITPKC,CHEMBL443052,TAVABOROLE,tavaborole,151.9,0.04,29.5,1.0,0.0,t2_other,1,1.04,unsupported_atom_type_B（含硼药物，Vina 无法解析）,1.0,0.0,0.9,0.5,0.655,0.7262349334519309,False
GALNS,CHEMBL443052,TAVABOROLE,tavaborole,151.9,0.04,29.5,1.0,0.0,t2_other,1,0.51,unsupported_atom_type_B（含硼药物，Vina 无法解析）,1.0,0.0,0.9,0.5,0.655,0.7262349334519309,False
SERPINE1,CHEMBL443052,TAVABOROLE,tavaborole,151.9,0.04,29.5,1.0,0.0,t2_other,1,1.11,unsupported_atom_type_B（含硼药物，Vina 无法解析）,1.0,0.0,0.9,0.5,0.655,0.7262349334519309,False
VASH2,CHEMBL443052,TAVABOROLE,tavaborole,151.9,0.04,29.5,1.0,0.0,t2_other,1,0.23,unsupported_atom_type_B（含硼药物，Vina 无法解析）,1.0,0.0,0.9,0.5,0.655,0.7262349334519309,False
AXL,CHEMBL3317857,VABORBACTAM,vaborbactam,297.1,0.45,95.9,3.0,5.0,t2_other,1,2.08,unsupported_atom_type_B（含硼药物，Vina 无法解析）,1.0,0.0,0.6,0.8797731045932484,0.6519659656889872,0.7262349334519309,False
TNIK,CHEMBL3317857,VABORBACTAM,vaborbactam,297.1,0.45,95.9,3.0,5.0,t2_other,1,0.21,unsupported_atom_type_B（含硼药物，Vina 无法解析）,1.0,0.0,0.6,0.8242056993121519,0.6436308548968228,0.7262349334519309,False
ACVR1,CHEMBL3317857,VABORBACTAM,vaborbactam,297.1,0.45,95.9,3.0,5.0,t2_other,1,0.42,unsupported_atom_type_B（含硼药物，Vina 无法解析）,1.0,0.0,0.6,0.7969667318982387,0.6395450097847358,0.7262349334519309,False
MAPK14,CHEMBL3317857,VABORBACTAM,vaborbactam,297.1,0.45,95.9,3.0,5.0,t2_other,1,0.35,unsupported_atom_type_B（含硼药物，Vina 无法解析）,1.0,0.0,0.6,0.778536615334207,0.636780492300131,0.7262349334519309,False
SLC2A1,CHEMBL3545252,DOCETAXEL,docetaxel,807.9,3.26,224.4,5.0,8.0,t2_other,-9,600.66,timeout_600s（大环/高柔性分子）,1.0,0.0,0.4,0.9141924959216966,0.6171288743882546,0.7262349334519309,False
SLC2A1,CHEMBL1741,CLARITHROMYCIN,clarithromycin,748.0,2.44,182.9,4.0,8.0,t2_other,-9,600.52,timeout_600s（大环/高柔性分子）,1.0,0.0,0.4,0.9141924959216966,0.6171288743882546,0.7262349334519309,False
SLC2A1,CHEMBL529,AZITHROMYCIN,azithromycin,749.0,1.9,180.1,5.0,7.0,t2_other,-9,600.23,timeout_600s（大环/高柔性分子）,1.0,0.0,0.4,0.9141924959216966,0.6171288743882546,0.7262349334519309,False
SLC2A1,CHEMBL1200510,ERYTHROMYCIN STEARATE,erythromycin stearate,733.9,1.79,193.9,5.0,7.0,t2_other,-9,601.46,timeout_600s（大环/高柔性分子）,1.0,0.0,0.4,0.9141924959216966,0.6171288743882546,0.7262349334519309,False
SLC2A1,CHEMBL1200506,ERYTHROMYCIN LACTOBIONATE,erythromycin lactobionate,733.9,1.79,193.9,5.0,7.0,t2_other,-9,602.36,timeout_600s（大环/高柔性分子）,1.0,0.0,0.4,0.9141924959216966,0.6171288743882546,0.7262349334519309,False
SLC2A1,CHEMBL269732,TACROLIMUS ANHYDROUS,tacrolimus anhydrous,804.0,4.64,178.4,3.0,7.0,t2_other,-9,600.09,timeout_600s（大环/高柔性分子）,1.0,0.0,0.4,0.9141924959216966,0.6171288743882546,0.7262349334519309,False
SLC2A1,CHEMBL3989887,TACROLIMUS,tacrolimus,804.0,4.64,178.4,3.0,7.0,t2_other,-9,600.51,timeout_600s（大环/高柔性分子）,1.0,0.0,0.4,0.9141924959216966,0.6171288743882546,0.7262349334519309,False
AXL,CHEMBL2105629,VINFLUNINE DITARTRATE,vinflunine ditartrate,816.9,5.08,133.9,2.0,7.0,t2_other,-9,600.54,timeout_600s（大环/高柔性分子）,1.0,0.0,0.4,0.8797731045932484,0.6119659656889873,0.7262349334519309,False
