chembl_id,pref_name,max_phase,first_approval,smiles,inchi_key,atc,drh_phase,drh_moa,drh_indication,pain_prior,mw,logp,tpsa,hbd,hba,rotb,charge,formula,n_torsions,pass,reason
CHEMBL2,PRAZOSIN,4.0,1976.0,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,IENZQIKPVFGBNW-UHFFFAOYSA-N,C02CA01,Launched,adrenergic receptor antagonist,hypertension,False,383.4,1.78,107.0,1.0,8.0,4.0,0.0,C19H21N5O4,10.0,True,
CHEMBL3,NICOTINE,4.0,1984.0,CN1CCC[C@H]1c1cccnc1,SNICXCGAKADSCV-JTQLQIEISA-N,N07BA01,Launched,acetylcholine receptor agonist,smoking cessation,False,162.2,1.85,16.1,0.0,2.0,1.0,0.0,C10H14N2,2.0,True,
CHEMBL4,OFLOXACIN,4.0,1990.0,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,GSDSWSVVBLHKDQ-UHFFFAOYSA-N,J01MA01;S02AA16;S01AE01,Launched,bacterial DNA gyrase inhibitor,respiratory tract infections|sinusitis|skin infections|bone and joint infections|intra-abdominal infections|diarrhea|fever|urinary tract infections,False,361.4,1.54,75.0,1.0,5.0,2.0,0.0,C18H20FN3O4,6.0,True,
CHEMBL5,NALIDIXIC ACID,4.0,1964.0,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,MHWLWQUZZRMNGJ-UHFFFAOYSA-N,J01MB02,,,,False,232.2,1.42,72.2,1.0,3.0,2.0,0.0,C12H12N2O3,6.0,True,
CHEMBL6,INDOMETHACIN,4.0,1965.0,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,CGIGDMFJXJATDK-UHFFFAOYSA-N,C01EB03;M02AA23;M01AB51;S01BC01;M01AB01,Launched,cyclooxygenase inhibitor,rheumatoid arthritis|ankylosing spondylitis|osteoarthritis|bursitis|tendinitis,False,357.8,3.93,68.5,1.0,3.0,4.0,0.0,C19H16ClNO4,12.0,True,
CHEMBL403,SULBACTAM,4.0,1986.0,CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,FKENQMMABCRJMK-RITPCOANSA-N,J01CG01,Launched,beta lactamase inhibitor,skin infections|intra-abdominal infections|gynecologic infections,False,233.2,-0.79,91.8,1.0,4.0,1.0,0.0,C8H11NO5S,4.0,True,
CHEMBL404,TAZOBACTAM,4.0,1993.0,C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,LPQZKKCYTLCDGQ-WEDXCCLWSA-N,J01CG02,Launched,beta lactamase inhibitor,pneumonia,False,300.3,-1.52,122.5,1.0,6.0,3.0,0.0,C10H12N4O5S,8.0,True,
CHEMBL8,CIPROFLOXACIN,4.0,1987.0,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,MYSWGUAQZAJSOK-UHFFFAOYSA-N,J01MA02;S03AA07;S01AE03;S02AA15,Launched,bacterial DNA gyrase inhibitor,otitis,False,331.3,1.58,74.6,2.0,4.0,3.0,0.0,C17H18FN3O3,8.0,True,
CHEMBL9,NORFLOXACIN,4.0,1986.0,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,OGJPXUAPXNRGGI-UHFFFAOYSA-N,J01MA06;S01AE02,Launched,bacterial DNA gyrase inhibitor,urinary tract infections|gonorrhea|prostatitis,False,319.3,1.27,74.6,2.0,4.0,3.0,0.0,C16H18FN3O3,8.0,True,
CHEMBL405,AMPHETAMINE,4.0,1955.0,CC(N)Cc1ccccc1,KWTSXDURSIMDCE-UHFFFAOYSA-N,N06BA01,,,,False,135.2,1.58,26.0,1.0,1.0,2.0,0.0,C9H13N,6.0,True,
