symbol,chembl_id,pref_name,drug_lc,mw,logp,tpsa,hbd,rotb,tag,rc,sec,reason
ACVR1,CHEMBL325041,BORTEZOMIB,bortezomib,384.2,0.36,124.4,4.0,9.0,t2_other,1,5.2,unsupported_atom_type_B（含硼药物，Vina 无法解析）
ACVR1,CHEMBL3317857,VABORBACTAM,vaborbactam,297.1,0.45,95.9,3.0,5.0,t2_other,1,0.42,unsupported_atom_type_B（含硼药物，Vina 无法解析）
ACVR1,CHEMBL3545060,ERYTHROMYCIN GLUCEPTATE,erythromycin gluceptate,733.9,1.79,193.9,5.0,7.0,t2_other,-9,601.5,timeout_600s（大环/高柔性分子）
ACVR1,CHEMBL3545252,DOCETAXEL,docetaxel,807.9,3.26,224.4,5.0,8.0,t2_other,-9,600.91,timeout_600s（大环/高柔性分子）
ACVR1,CHEMBL3545432,IXAZOMIB CITRATE,ixazomib citrate,517.1,1.54,168.3,4.0,11.0,t2_other,1,6.38,unsupported_atom_type_B（含硼药物，Vina 无法解析）
ACVR1,CHEMBL3707372,VOXILAPREVIR,voxilaprevir,861.0,5.35,195.2,3.0,8.0,t2_other,-9,600.31,timeout_600s（大环/高柔性分子）
ACVR1,CHEMBL428647,PACLITAXEL,paclitaxel,853.9,3.74,221.3,4.0,10.0,t2_other,-9,600.6,timeout_600s（大环/高柔性分子）
ACVR1,CHEMBL443052,TAVABOROLE,tavaborole,151.9,0.04,29.5,1.0,0.0,t2_other,1,1.1,unsupported_atom_type_B（含硼药物，Vina 无法解析）
ACVR1,CHEMBL484785,CRISABOROLE,crisaborole,251.0,1.57,62.5,1.0,2.0,t2_other,1,3.19,unsupported_atom_type_B（含硼药物，Vina 无法解析）
ACVR1,CHEMBL5315122,BORTEZOMIB D-MANNITOL,bortezomib d-mannitol,530.4,-1.13,183.4,6.0,13.0,t2_other,1,0.69,unsupported_atom_type_B（含硼药物，Vina 无法解析）
ADRA2A,CHEMBL1136,TELITHROMYCIN,telithromycin,812.0,4.93,171.8,1.0,11.0,t2_other,-9,600.19,timeout_600s（大环/高柔性分子）
ADRA2A,CHEMBL1201748,CABAZITAXEL,cabazitaxel,835.9,4.57,202.4,3.0,10.0,t2_other,-9,600.8,timeout_600s（大环/高柔性分子）
ADRA2A,CHEMBL1660,RIFAPENTINE,rifapentine,877.0,5.65,220.1,6.0,5.0,t2_other,-9,600.09,timeout_600s（大环/高柔性分子）
ADRA2A,CHEMBL2220427,ERYTHROMYCIN PROPIONATE,erythromycin propionate,790.0,2.75,200.0,4.0,9.0,t2_other,-9,600.09,timeout_600s（大环/高柔性分子）
ADRA2A,CHEMBL325041,BORTEZOMIB,bortezomib,384.2,0.36,124.4,4.0,9.0,t2_other,1,0.3,unsupported_atom_type_B（含硼药物，Vina 无法解析）
ADRA2A,CHEMBL3317857,VABORBACTAM,vaborbactam,297.1,0.45,95.9,3.0,5.0,t2_other,1,0.19,unsupported_atom_type_B（含硼药物，Vina 无法解析）
ADRA2A,CHEMBL3545060,ERYTHROMYCIN GLUCEPTATE,erythromycin gluceptate,733.9,1.79,193.9,5.0,7.0,t2_other,-9,602.01,timeout_600s（大环/高柔性分子）
ADRA2A,CHEMBL3545252,DOCETAXEL,docetaxel,807.9,3.26,224.4,5.0,8.0,t2_other,-9,604.58,timeout_600s（大环/高柔性分子）
ADRA2A,CHEMBL3545432,IXAZOMIB CITRATE,ixazomib citrate,517.1,1.54,168.3,4.0,11.0,t2_other,1,1.45,unsupported_atom_type_B（含硼药物，Vina 无法解析）
ADRA2A,CHEMBL3707372,VOXILAPREVIR,voxilaprevir,861.0,5.35,195.2,3.0,8.0,t2_other,-9,600.23,timeout_600s（大环/高柔性分子）
ADRA2A,CHEMBL374478,RIFAMPIN,rifampin,823.0,4.34,220.1,6.0,4.0,t2_other,-9,603.16,timeout_600s（大环/高柔性分子）
ADRA2A,CHEMBL428647,PACLITAXEL,paclitaxel,853.9,3.74,221.3,4.0,10.0,t2_other,-9,600.09,timeout_600s（大环/高柔性分子）
ADRA2A,CHEMBL443052,TAVABOROLE,tavaborole,151.9,0.04,29.5,1.0,0.0,t2_other,1,1.56,unsupported_atom_type_B（含硼药物，Vina 无法解析）
ADRA2A,CHEMBL484785,CRISABOROLE,crisaborole,251.0,1.57,62.5,1.0,2.0,t2_other,1,0.49,unsupported_atom_type_B（含硼药物，Vina 无法解析）
ADRA2A,CHEMBL5315122,BORTEZOMIB D-MANNITOL,bortezomib d-mannitol,530.4,-1.13,183.4,6.0,13.0,t2_other,1,0.13,unsupported_atom_type_B（含硼药物，Vina 无法解析）
AXL,CHEMBL1201748,CABAZITAXEL,cabazitaxel,835.9,4.57,202.4,3.0,10.0,t2_other,-9,600.28,timeout_600s（大环/高柔性分子）
AXL,CHEMBL1741,CLARITHROMYCIN,clarithromycin,748.0,2.44,182.9,4.0,8.0,t2_other,-9,600.3,timeout_600s（大环/高柔性分子）
AXL,CHEMBL2105629,VINFLUNINE DITARTRATE,vinflunine ditartrate,816.9,5.08,133.9,2.0,7.0,t2_other,-9,600.54,timeout_600s（大环/高柔性分子）
AXL,CHEMBL2218877,ERYTHROMYCIN ESTOLATE,erythromycin estolate,790.0,2.75,200.0,4.0,9.0,t2_other,-9,603.84,timeout_600s（大环/高柔性分子）
AXL,CHEMBL2220427,ERYTHROMYCIN PROPIONATE,erythromycin propionate,790.0,2.75,200.0,4.0,9.0,t2_other,-9,602.14,timeout_600s（大环/高柔性分子）
