chembl_id,pref_name,best_target_raw,mw,affinity,score_raw,best_target_mwres,score_mwres,best_target_mwstrat,score_mwstrat,rank_raw,rank_mwres,rank_mwstrat
CHEMBL442,ERGOTAMINE,ADRA2A,581.7,-10.36,0.7732,ADRA2A,0.7498,ADRA2A,0.7567,1.0,7.0,9.0
CHEMBL85,RISPERIDONE,ADRA2A,410.5,-10.08,0.7691,ADRA2A,0.773,ADRA2A,0.7632,2.0,1.0,5.0
CHEMBL1732,DIHYDROERGOTAMINE,ADRA2A,583.7,-10.05,0.7683,AXL,0.7309,ADRA2A,0.7437,3.0,26.0,15.0
CHEMBL1201271,BUCLIZINE,ACVR1,433.0,-10.9,0.7573,ACVR1,0.7583,ACVR1,0.7579,4.0,2.0,8.0
CHEMBL1372950,NICERGOLINE,AXL,484.4,-8.408,0.7493,ACVR1,0.7378,ACVR1,0.7239,5.0,11.0,79.0
CHEMBL708,ZIPRASIDONE,ADRA2A,412.9,-9.354,0.7476,ADRA2A,0.7464,ADRA2A,0.7244,6.0,8.0,77.0
CHEMBL19299,LOXOPROFEN,TNIK,246.3,-8.829,0.7467,TNIK,0.7557,TNIK,0.771,7.0,3.0,2.0
CHEMBL255044,FLUPIRTINE,MAPK14,304.3,-8.467,0.7441,MAPK14,0.7554,MAPK14,0.7584,8.0,4.0,7.0
CHEMBL1279,FROVATRIPTAN,TNIK,243.3,-8.759,0.7433,TNIK,0.7537,SLC2A1,0.7823,9.0,5.0,1.0
CHEMBL413965,FELBINAC,TNIK,212.2,-8.586,0.736,TNIK,0.7499,TNIK,0.7684,10.0,6.0,3.0
CHEMBL4297528,RISDIPLAM,SLC2A1,401.5,-11.47,0.7294,SLC2A1,0.7353,SLC2A1,0.7332,11.0,13.0,34.0
CHEMBL1505,ALMOTRIPTAN,TNIK,335.5,-8.459,0.729,TNIK,0.735,TNIK,0.7377,12.0,15.0,17.0
CHEMBL521686,OLAPARIB,AXL,434.5,-9.122,0.7262,SLC2A1,0.7318,SLC2A1,0.73,13.0,23.0,46.0
CHEMBL1162,NORETHINDRONE,AXL,298.4,-9.084,0.726,AXL,0.7318,AXL,0.732,14.0,22.0,39.0
CHEMBL779,TADALAFIL,SLC2A1,389.4,-11.19,0.7251,SLC2A1,0.7347,SLC2A1,0.7286,15.0,16.0,59.0
CHEMBL1510,ELETRIPTAN,ACVR1,382.5,-9.305,0.7249,ACVR1,0.7353,ACVR1,0.6936,16.0,14.0,315.0
CHEMBL3188267,CAPMATINIB,SLC2A1,412.4,-11.13,0.7244,SLC2A1,0.7326,SLC2A1,0.7264,17.0,20.0,69.0
CHEMBL3989937,CAPMATINIB HYDROCHLORIDE,SLC2A1,412.4,-11.13,0.7244,SLC2A1,0.7326,SLC2A1,0.7264,17.0,20.0,69.0
CHEMBL1237021,LURASIDONE,ADRA2A,492.7,-10.39,0.7238,ADRA2A,0.7199,ADRA2A,0.7097,19.0,76.0,161.0
CHEMBL154,NAPROXEN,TNIK,230.3,-8.37,0.7234,TNIK,0.7401,TNIK,0.7671,20.0,9.0,4.0
CHEMBL3137318,TALAZOPARIB TOSYLATE,SLC2A1,380.4,-10.95,0.7223,SLC2A1,0.7333,SLC2A1,0.7218,21.0,17.0,93.0
CHEMBL3137320,TALAZOPARIB,SLC2A1,380.4,-10.95,0.7223,SLC2A1,0.7333,SLC2A1,0.7218,21.0,17.0,93.0
CHEMBL1185,ZOLMITRIPTAN,TNIK,287.4,-8.332,0.7215,TNIK,0.733,TNIK,0.7389,23.0,19.0,16.0
CHEMBL2107495,TEMAFLOXACIN HYDROCHLORIDE,AXL,417.4,-8.724,0.7204,AXL,0.7243,AXL,0.7219,24.0,50.0,89.0
CHEMBL277100,TEMAFLOXACIN,AXL,417.4,-8.724,0.7204,AXL,0.7243,AXL,0.7219,24.0,50.0,89.0
CHEMBL1375743,ZIPRASIDONE HYDROCHLORIDE,TNIK,412.9,-10.15,0.7202,TNIK,0.7209,TNIK,0.7157,26.0,69.0,118.0
CHEMBL3989833,ZIPRASIDONE MESYLATE,TNIK,412.9,-10.15,0.7202,TNIK,0.7209,TNIK,0.7157,26.0,69.0,118.0
CHEMBL502,DONEPEZIL,TNIK,379.5,-10.03,0.7193,TNIK,0.7199,TNIK,0.7128,28.0,75.0,140.0
CHEMBL2103774,TIBOLONE,AXL,312.5,-8.677,0.7187,AXL,0.7299,AXL,0.7293,29.0,30.0,54.0
CHEMBL2105722,NOMEGESTROL,AXL,328.5,-8.651,0.7186,AXL,0.7291,AXL,0.7287,30.0,34.0,57.0
CHEMBL51,KETANSERIN,TNIK,395.4,-9.912,0.7184,TNIK,0.7191,TNIK,0.7111,31.0,80.0,147.0
CHEMBL5315121,TECOVIRIMAT MONOHYDRATE,TNIK,376.3,-9.889,0.7181,SLC2A1,0.7311,SLC2A1,0.7361,32.0,24.0,20.0
CHEMBL1257073,TECOVIRIMAT,TNIK,376.3,-9.889,0.7181,SLC2A1,0.7311,SLC2A1,0.7361,32.0,24.0,20.0
CHEMBL1278,NARATRIPTAN,TNIK,335.5,-8.23,0.7175,TNIK,0.7221,TNIK,0.7222,34.0,57.0,87.0
CHEMBL895,NALBUPHINE,MAPK14,357.5,-7.972,0.717,AXL,0.7389,AXL,0.7352,35.0,10.0,24.0
CHEMBL1389,LEVONORGESTREL,AXL,312.5,-8.578,0.7163,AXL,0.7294,AXL,0.728,36.0,32.0,60.0
CHEMBL3546271,FLORTAUCIPIR,TNIK,263.3,-9.586,0.7153,SLC2A1,0.727,SLC2A1,0.7297,37.0,41.0,49.0
CHEMBL3545253,FLORTAUCIPIR F 18,TNIK,262.3,-9.586,0.7153,SLC2A1,0.7275,SLC2A1,0.7297,37.0,39.0,49.0
CHEMBL3137310,BENZHYDROCODONE HYDROCHLORIDE,SLC2A1,403.5,-10.59,0.7151,SLC2A1,0.7265,SLC2A1,0.7114,39.0,42.0,143.0
CHEMBL3137321,BENZHYDROCODONE,SLC2A1,403.5,-10.59,0.7151,SLC2A1,0.7265,SLC2A1,0.7114,39.0,42.0,143.0
CHEMBL1346,DARIFENACIN,ACVR1,426.6,-10.62,0.7143,ACVR1,0.7166,ACVR1,0.7144,41.0,91.0,131.0
CHEMBL1200935,DARIFENACIN HYDROBROMIDE,ACVR1,426.6,-10.62,0.7143,ACVR1,0.7166,ACVR1,0.7144,41.0,91.0,131.0
CHEMBL3889654,LAROTRECTINIB,SLC2A1,428.4,-10.57,0.7143,SLC2A1,0.7202,SLC2A1,0.7094,43.0,72.0,166.0
CHEMBL3989939,LAROTRECTINIB SULFATE,SLC2A1,428.4,-10.57,0.7143,SLC2A1,0.7202,SLC2A1,0.7094,43.0,72.0,166.0
CHEMBL219916,DOMPERIDONE,TNIK,425.9,-9.501,0.714,TNIK,0.7138,TNIK,0.7026,45.0,108.0,225.0
CHEMBL1201206,PIPECURONIUM,AXL,602.9,-8.894,0.7136,AXL,0.6522,AXL,0.6897,46.0,703.0,352.0
CHEMBL710,FINASTERIDE,TNIK,372.6,-9.483,0.7133,AXL,0.7201,SLC2A1,0.7221,47.0,74.0,88.0
CHEMBL1095097,EPLERENONE,AXL,414.5,-8.507,0.713,AXL,0.7176,AXL,0.7086,48.0,88.0,173.0
CHEMBL535,SUNITINIB,TNIK,398.5,-9.467,0.713,TNIK,0.7143,TNIK,0.7003,49.0,105.0,239.0
CHEMBL1567,SUNITINIB MALATE,TNIK,398.5,-9.467,0.713,TNIK,0.7143,TNIK,0.7003,49.0,105.0,239.0
CHEMBL1175,DULOXETINE,TNIK,297.4,-8.167,0.713,TNIK,0.7224,TNIK,0.7333,51.0,55.0,32.0
CHEMBL1206690,PARECOXIB,SLC2A1,370.4,-9.428,0.7128,SLC2A1,0.7374,SLC2A1,0.7524,52.0,12.0,11.0
CHEMBL256997,ATALUREN,TNIK,284.2,-9.437,0.7124,TNIK,0.7161,TNIK,0.721,53.0,93.0,97.0
CHEMBL1621,PALIPERIDONE,AXL,426.5,-8.481,0.7122,AXL,0.7135,AXL,0.7059,54.0,113.0,191.0
CHEMBL3039526,LASMIDITAN SUCCINATE,MAPK14,377.4,-9.109,0.7119,MAPK14,0.7129,ACVR1,0.7094,55.0,115.0,164.0
CHEMBL3039520,LASMIDITAN,MAPK14,377.4,-9.109,0.7119,MAPK14,0.7129,ACVR1,0.7094,55.0,115.0,164.0
CHEMBL3545367,LEMBOREXANT,SLC2A1,410.4,-10.48,0.7118,SLC2A1,0.7225,SLC2A1,0.7032,57.0,54.0,218.0
CHEMBL1057,FLUORESCEIN,AXL,332.3,-8.446,0.7109,AXL,0.7278,AXL,0.7254,58.0,37.0,74.0
CHEMBL1200609,PAROXETINE MESYLATE,MAPK14,329.4,-9.002,0.7107,MAPK14,0.7138,TNIK,0.7146,59.0,110.0,126.0
CHEMBL6067650,PAROXETINE HYDROCHLORIDE,MAPK14,329.4,-9.002,0.7107,MAPK14,0.7138,TNIK,0.7146,59.0,110.0,126.0
CHEMBL490,PAROXETINE,MAPK14,329.4,-9.002,0.7107,MAPK14,0.7138,TNIK,0.7146,59.0,110.0,126.0
CHEMBL469,KETOROLAC,TNIK,255.3,-8.128,0.7105,TNIK,0.7247,TNIK,0.7313,62.0,49.0,42.0
CHEMBL1201731,NEBIVOLOL HYDROCHLORIDE,MAPK14,405.4,-8.981,0.7101,MAPK14,0.7108,MAPK14,0.7073,63.0,130.0,180.0
CHEMBL434394,NEBIVOLOL,MAPK14,405.4,-8.981,0.7101,MAPK14,0.7108,MAPK14,0.7073,63.0,130.0,180.0
CHEMBL652,FLECAINIDE,MAPK14,414.3,-8.979,0.7097,MAPK14,0.7105,MAPK14,0.7054,65.0,135.0,196.0
CHEMBL1200822,FLECAINIDE ACETATE,MAPK14,414.3,-8.979,0.7097,MAPK14,0.7105,MAPK14,0.7054,65.0,135.0,196.0
CHEMBL3233142,LUMATEPERONE TOSYLATE,TNIK,393.5,-9.297,0.7096,TNIK,0.711,TNIK,0.695,67.0,127.0,300.0
CHEMBL3306803,LUMATEPERONE,TNIK,393.5,-9.297,0.7096,TNIK,0.711,TNIK,0.695,67.0,127.0,300.0
CHEMBL1201151,MESTRANOL,ACVR1,310.4,-10.3,0.7093,ACVR1,0.7185,ACVR1,0.7176,69.0,81.0,108.0
CHEMBL231068,FLIBANSERIN,TNIK,390.4,-9.254,0.7089,SLC2A1,0.7212,TNIK,0.694,70.0,67.0,312.0
CHEMBL3084748,TROSPIUM CHLORIDE,ACVR1,392.5,-10.25,0.7084,ACVR1,0.7148,ACVR1,0.7005,71.0,99.0,236.0
CHEMBL1888176,TROSPIUM,ACVR1,392.5,-10.25,0.7084,ACVR1,0.7148,ACVR1,0.7005,71.0,99.0,236.0
CHEMBL2104941,INDORAMIN HYDROCHLORIDE,TNIK,347.5,-9.215,0.708,AXL,0.7194,TNIK,0.7162,73.0,78.0,116.0
CHEMBL279516,INDORAMIN,TNIK,347.5,-9.215,0.708,AXL,0.7194,TNIK,0.7162,73.0,78.0,116.0
CHEMBL361812,RAMATROBAN,AXL,416.5,-8.374,0.7073,AXL,0.711,ACVR1,0.6976,75.0,129.0,265.0
CHEMBL1189679,PALONOSETRON,MAPK14,296.4,-8.843,0.707,SLC2A1,0.7279,SLC2A1,0.7336,76.0,35.0,30.0
CHEMBL1720,PALONOSETRON HYDROCHLORIDE,MAPK14,296.4,-8.843,0.707,SLC2A1,0.7279,SLC2A1,0.7336,76.0,35.0,30.0
CHEMBL270190,ALVIMOPAN,SLC2A1,424.5,-10.35,0.7066,SLC2A1,0.7144,SLC2A1,0.6941,78.0,104.0,311.0
CHEMBL295124,BERBERINE,TNIK,336.4,-9.164,0.7065,AXL,0.7119,SLC2A1,0.7129,79.0,121.0,139.0
CHEMBL1509,DROSPIRENONE,AXL,366.5,-9.134,0.7064,SLC2A1,0.7128,SLC2A1,0.7171,80.0,117.0,111.0
CHEMBL94454,MIZOLASTINE,ACVR1,432.5,-10.08,0.7061,SLC2A1,0.7105,ACVR1,0.6963,81.0,134.0,282.0
