chembl_id,affinity,n_modes,rmsd_lb,rmsd_ub,sec,rc,err,symbol,tag,exh,max_evals,drug_lc,pref_name,mw,logp,tpsa,hbd,hba,rotb,charge,n_torsions,drh_phase,drh_moa,drh_indication,pain_prior,atc,scored,neg_aff,pct_in_target,n_ligands_target,z_in_target,D1_affinity,D2_pharm_prior,D3_accessibility,D4_reliability,composite,in_top1pct,in_top5pct
CHEMBL442,-10.36,3,0.0,0.0,47.46,0,,ADRA2A,t1_cns,1,0,ergotamine,ERGOTAMINE,581.7,1.99,118.2,3.0,6.0,4.0,0.0,10.0,Launched,adrenergic receptor antagonist,migraine headache,False,N02CA72;N02CA02;N02CA52,True,10.36,98.32247557003258,3070,1.9910918707495406,0.9832247557003257,0.6000000000000001,0.75,0.5324652394614875,0.7731596881993534,False,True
CHEMBL85,-10.08,2,0.0,0.0,11.33,0,,ADRA2A,t1_cns,1,0,risperidone,RISPERIDONE,410.5,3.59,64.2,0.0,5.0,4.0,0.0,8.0,Launched,dopamine receptor antagonist|serotonin receptor antagonist,schizophrenia|bipolar disorder|irritability,False,N05AX08,True,10.08,97.31270358306189,3070,1.7999532914008272,0.9731270358306189,0.4,1.0,0.5324652394614875,0.7691206002514707,False,True
CHEMBL1732,-10.05,2,0.0,0.0,47.53,0,,ADRA2A,t1_cns,1,0,dihydroergotamine,DIHYDROERGOTAMINE,583.7,2.08,118.2,3.0,6.0,4.0,0.0,10.0,Launched,serotonin receptor agonist,migraine headache,False,N02CA01;N02CA51,True,10.05,97.1172638436482,3070,1.7794741578991797,0.971172638436482,0.6000000000000001,0.75,0.5324652394614875,0.768338841293816,False,True
CHEMBL1201271,-10.9,1,0.0,0.0,24.7,0,,ACVR1,t1_cns,1,0,buclizine,BUCLIZINE,433.0,6.54,6.5,0.0,2.0,5.0,0.0,12.0,Launched,histamine receptor antagonist,migraine headache,False,R06AE51;R06AE01,True,10.9,99.43089430894308,3075,2.150800798954866,0.9943089430894309,0.2,0.9500000000000001,0.7969667318982387,0.7572685870205081,True,True
CHEMBL1372950,-8.408,2,0.0,0.0,53.93,0,,AXL,t1_cns,1,0,nicergoline,NICERGOLINE,484.4,3.91,56.6,0.0,5.0,4.0,0.0,10.0,Launched,adrenergic receptor antagonist,Raynaud's disease|migraine headache|atherosclerosis|thrombosis,False,C04AE02,True,8.408,94.33409312927385,3071,1.4548223288389457,0.9433409312927385,0.2,0.9500000000000001,0.8797731045932484,0.7493023382060827,False,False
CHEMBL1372950,-10.2,2,0.0,0.0,20.2,0,,ACVR1,t1_cns,1,0,nicergoline,NICERGOLINE,484.4,3.91,56.6,0.0,5.0,4.0,0.0,10.0,Launched,adrenergic receptor antagonist,Raynaud's disease|migraine headache|atherosclerosis|thrombosis,False,C04AE02,True,10.2,97.0569105691057,3075,1.7016906660967335,0.9705691056910569,0.2,0.9500000000000001,0.7969667318982387,0.7477726520611586,False,True
CHEMBL708,-9.354,3,0.0,0.0,17.47,0,,ADRA2A,t1_cns,1,0,ziprasidone,ZIPRASIDONE,412.9,3.81,48.5,1.0,5.0,4.0,0.0,8.0,Launched,dopamine receptor antagonist|serotonin receptor antagonist,schizophrenia|bipolar disorder,False,N05AE04,True,9.354,91.93811074918567,3070,1.304358260660947,0.9193811074918566,0.4,1.0,0.5324652394614875,0.7476222289159659,False,False
CHEMBL19299,-8.829,1,0.0,0.0,10.88,0,,TNIK,t1_cns,1,0,loxoprofen,LOXOPROFEN,246.3,2.79,54.4,1.0,2.0,4.0,0.0,10.0,Launched,cyclooxygenase inhibitor|prostanoid receptor antagonist,pain relief,False,M01AE19;M02AA31,True,8.829,93.27456741756448,3063,1.385364238747555,0.9327456741756448,0.2,1.0,0.8242056993121519,0.7467291245670807,False,False
CHEMBL255044,-8.467,2,0.0,0.0,20.42,0,,MAPK14,t1_cns,1,0,flupirtine,FLUPIRTINE,304.3,2.98,89.3,3.0,5.0,5.0,0.0,14.0,Launched,glutamate receptor antagonist,pain relief,True,N02BG07,True,8.467,94.32855280312907,3068,1.5806796132566934,0.9432855280312907,0.2,1.0,0.778536615334207,0.7440947035126473,False,False
CHEMBL1279,-8.759,3,0.0,0.0,8.67,0,,TNIK,t1_cns,1,0,frovatriptan,FROVATRIPTAN,243.3,1.34,70.9,3.0,2.0,2.0,0.0,4.0,Launched,serotonin receptor agonist,migraine headache,False,N02CC07,True,8.759,92.40940254652301,3063,1.3404828865375664,0.9240940254652301,0.2,1.0,0.8242056993121519,0.7432684650829149,False,False
