symbol,n_known_pairs,n_ligands,known_median_aff,all_median_aff,known_median_pct,auc_known_vs_rest,reliable,known_drugs
AXL,13,3071,-8.021,-6.511,88.26115271898405,0.8797731045932484,True,AXITINIB;BOSUTINIB;CABOZANTINIB;CRIZOTINIB;ENTRECTINIB;FEDRATINIB;GILTERITINIB;MIDOSTAURIN
TNIK,10,3063,-8.6995,-6.688,91.6911524649037,0.8242056993121519,True,AXITINIB;BOSUTINIB;LENVATINIB;NERATINIB;NINTEDANIB;PACRITINIB;PAZOPANIB;PONATINIB
ACVR1,9,3075,-8.951,-7.7059999999999995,83.20325203252033,0.7969667318982387,True,CRIZOTINIB;DASATINIB;FEDRATINIB;GILTERITINIB;LORLATINIB;MOMELOTINIB;NINTEDANIB;PACRITINIB
MAPK14,16,3068,-7.758,-6.597,83.6864406779661,0.778536615334207,True,BITHIONOL;CELECOXIB;DASATINIB;DASATINIB ANHYDROUS;ETORICOXIB;GEFITINIB;HEXACHLOROPHENE;LENVATINIB
SLC2A1,1,3066,-10.24,-8.005,91.42204827136334,0.9141924959216966,,EMETINE
ADRA2A,115,3070,-7.719,-7.5,55.065146579804555,0.5324652394614875,False,AMIODARONE;AMITRIPTYLINE;AMLODIPINE;AMOXAPINE;APRACLONIDINE;ARIPIPRAZOLE;ASENAPINE;AZELASTINE
GALNS,0,3064,,-6.496,,,,
ITPKC,0,3065,,-5.06,,,,
SERPINE1,0,3075,,-5.82,,,,
VASH2,0,3070,,-6.6315,,,,
