symbol,chembl_id,pchembl_max,standard_type,chembl_target,source,pref_name,atc,pain_prior
ACVR1,CHEMBL1078178,8.1,IC50,CHEMBL5903,ChEMBL_activity,MOMELOTINIB,L01EJ04,False
ACVR1,CHEMBL2035187,7.66,Kd,CHEMBL5903,ChEMBL_activity,PACRITINIB,L01EJ03,False
ACVR1,CHEMBL3286830,7.54,IC50,CHEMBL5903,ChEMBL_activity,LORLATINIB,L01ED05,False
ACVR1,CHEMBL3301622,7.41,Kd,CHEMBL5903,ChEMBL_activity,GILTERITINIB,L01EX13,False
ACVR1,CHEMBL5416410,7.1,Ki,CHEMBL5903,ChEMBL_activity,DASATINIB,,False
ACVR1,CHEMBL24828,6.82,Kd,CHEMBL5903,ChEMBL_activity,VANDETANIB,L01EX04,False
ACVR1,CHEMBL1287853,6.82,Kd,CHEMBL5903,ChEMBL_activity,FEDRATINIB,L01EJ02,False
ACVR1,CHEMBL601719,6.36,Kd,CHEMBL5903,ChEMBL_activity,CRIZOTINIB,L01ED01,False
ACVR1,CHEMBL502835,6.22,Kd,CHEMBL5903,ChEMBL_activity,NINTEDANIB,L01EX09,False
ADRA2A,CHEMBL134,9.54,EC50,CHEMBL1867,ChEMBL_activity,CLONIDINE,C02AC01;N02CX02;S01EA04,True
ADRA2A,CHEMBL762,9.54,Ki,CHEMBL1867,ChEMBL_activity,OXYMETAZOLINE,D11AX27;R01AA05;S01GA04;R01AB07,False
ADRA2A,CHEMBL1732,9.41,Ki,CHEMBL1867,ChEMBL_activity,DIHYDROERGOTAMINE,N02CA01;N02CA51,False
ADRA2A,CHEMBL844,9.21,EC50,CHEMBL1867,ChEMBL_activity,BRIMONIDINE,S01GA07;S01EA05;D11AX21,False
ADRA2A,CHEMBL2106195,9.17,EC50,CHEMBL1867,ChEMBL_activity,DEXMEDETOMIDINE HYDROCHLORIDE,,False
ADRA2A,CHEMBL778,9.1,EC50,CHEMBL1867,ChEMBL_activity,DEXMEDETOMIDINE,N05CM18,True
ADRA2A,CHEMBL442,9.1,Ki,CHEMBL1867,ChEMBL_activity,ERGOTAMINE,N02CA72;N02CA02;N02CA52,False
ADRA2A,CHEMBL597,8.77,Ki,CHEMBL1867,ChEMBL_activity,PHENTOLAMINE,C04AB01;V03AB36,False
ADRA2A,CHEMBL647,8.54,Ki,CHEMBL1867,ChEMBL_activity,APRACLONIDINE,S01EA03,False
ADRA2A,CHEMBL1200791,8.48,EC50,CHEMBL1867,ChEMBL_activity,OXYMETAZOLINE HYDROCHLORIDE,,False
ADRA2A,CHEMBL85,8.44,Ki,CHEMBL1867,ChEMBL_activity,RISPERIDONE,N05AX08,False
ADRA2A,CHEMBL17860,8.36,Ki,CHEMBL1867,ChEMBL_activity,LOFEXIDINE,N07BC04,False
ADRA2A,CHEMBL6437,8.32,Ki,CHEMBL1867,ChEMBL_activity,MIANSERIN,N06AX03,False
ADRA2A,CHEMBL312448,8.3,AC50,CHEMBL1867,ChEMBL_activity,XYLOMETAZOLINE,S01GA53;R01AA07;R01AB06;S01GA03,False
ADRA2A,CHEMBL1437,8.28,AC50,CHEMBL1867,ChEMBL_activity,NOREPINEPHRINE,C01CA03,False
ADRA2A,CHEMBL1705,8.28,EC50,CHEMBL1867,ChEMBL_activity,CLONIDINE HYDROCHLORIDE,,False
ADRA2A,CHEMBL493,8.26,Ki,CHEMBL1867,ChEMBL_activity,BROMOCRIPTINE,G02CB01;N04BC01,False
ADRA2A,CHEMBL679,8.25,EC50,CHEMBL1867,ChEMBL_activity,EPINEPHRINE,R03AA01;S01EA51;R01AA14;B02BC09;S01EA01;A01AD01;C01CA24;R03AK01,False
ADRA2A,CHEMBL41,8.2,Ki,CHEMBL1867,ChEMBL_activity,FLUOXETINE,N06AB03,False
ADRA2A,CHEMBL420,8.09,AC50,CHEMBL1867,ChEMBL_activity,GUANABENZ,,False
ADRA2A,CHEMBL761,8.06,AC50,CHEMBL1867,ChEMBL_activity,NAPHAZOLINE,R01AA08;S01GA51;S01GA01;R01AB02,False
ADRA2A,CHEMBL1621,7.96,Ki,CHEMBL1867,ChEMBL_activity,PALIPERIDONE,N05AX13,False
ADRA2A,CHEMBL1200494,7.93,EC50,CHEMBL1867,ChEMBL_activity,GUANFACINE HYDROCHLORIDE,,False
ADRA2A,CHEMBL836,7.87,Ki,CHEMBL1867,ChEMBL_activity,TAMSULOSIN,G04CA02,False
ADRA2A,CHEMBL3187365,7.86,AC50,CHEMBL1867,ChEMBL_activity,ASENAPINE,N05AH05,False
ADRA2A,CHEMBL50588,7.85,Ki,CHEMBL1867,ChEMBL_activity,EMETINE,P01AX52;P01AX02,False
ADRA2A,CHEMBL1200517,7.83,Ki,CHEMBL1867,ChEMBL_activity,DIHYDROERGOTAMINE MESYLATE,,False
ADRA2A,CHEMBL654,7.7,Ki,CHEMBL1867,ChEMBL_activity,MIRTAZAPINE,N06AX11,False
ADRA2A,CHEMBL42,7.62,Ki,CHEMBL1867,ChEMBL_activity,CLOZAPINE,N05AH02,False
ADRA2A,CHEMBL1909072,7.6,Ki,CHEMBL1867,ChEMBL_activity,PIPAMAZINE,,False
ADRA2A,CHEMBL1200329,7.48,EC50,CHEMBL1867,ChEMBL_activity,TIZANIDINE HYDROCHLORIDE,,False
ADRA2A,CHEMBL289480,7.44,Ki,CHEMBL1867,ChEMBL_activity,RILMENIDINE,C02AC06,False
ADRA2A,CHEMBL723,7.4,Ki,CHEMBL1867,ChEMBL_activity,CARVEDILOL,C07AG02,False
ADRA2A,CHEMBL1372950,7.37,AC50,CHEMBL1867,ChEMBL_activity,NICERGOLINE,C04AE02,False
ADRA2A,CHEMBL531,7.33,Ki,CHEMBL1867,ChEMBL_activity,PERGOLIDE,N04BC02,False
ADRA2A,CHEMBL862,7.3,Ki,CHEMBL1867,ChEMBL_activity,GUANFACINE,C02AC02,False
