tier,symbol,pdb,n_lig,n_chunk,box_vol,s_per_chunk_arrival,s_per_ligand_wall,elapsed_total_s,n_delta_windows,valid
1,GALNS,4FDI,620,21,9660.0,1.0,0.23,1,1,False
1,ITPKC,2A98,620,21,12000.0,1.0,0.23,1,1,False
1,SLC2A1,6THA,620,21,12650.0,1.0,0.23,1,1,False
1,TNIK,6RA7,620,21,11286.0,1.0,0.23,1,1,False
1,ADRA2A,6KUX,620,21,12480.0,35.7,8.33,1559,4,True
1,ACVR1,6SRH,620,21,14490.0,43.9,10.24,1701,4,True
1,AXL,5VXZ,620,21,14976.0,48.4,11.29,1695,4,True
1,VASH2,6J4P,620,21,12348.0,54.9,12.81,2104,4,True
1,SERPINE1,7AQF,620,21,17500.0,56.0,13.07,1819,4,True
1,MAPK14,2FST,620,21,16128.0,75.6,17.64,2116,3,True
2,GALNS,4FDI,2465,83,9660.0,150.4,35.09,9033,9,True
2,ACVR1,6SRH,2465,83,14490.0,151.8,35.42,4092,4,True
2,VASH2,6J4P,2465,83,12348.0,159.6,37.24,12408,14,True
2,SERPINE1,7AQF,2465,83,17500.0,168.1,39.22,11928,12,True
2,MAPK14,2FST,2465,83,16128.0,186.8,43.59,7940,7,True
2,TNIK,6RA7,2465,83,11286.0,205.4,47.93,16951,13,True
2,AXL,5VXZ,2465,83,14976.0,207.9,48.51,8755,8,True
2,ITPKC,2A98,2465,83,12000.0,208.8,48.72,16326,14,True
2,SLC2A1,6THA,2465,83,12650.0,216.0,50.4,15804,15,True
