symbol,set,n_ligands,n_actives,auc,p_auc,auc_mw_adjusted,auc_size_only,mw_slope_on_neg_affinity,mw_control_verdict
ACVR1,t1_only,620,0,,,,,,n/a
ACVR1,full_library,3075,9,0.7969667318982387,0.0008895560174271289,0.65514242226571,0.817351598173516,0.005791848411596114,FAIL_size_only_matches
ADRA2A,t1_only,620,88,0.6183676520847573,0.0004791835374535758,0.5972744360902256,0.5814144736842105,0.008036316252294829,PASS_size_not_explained
ADRA2A,full_library,620,88,0.6183676520847573,0.0004791835374535758,0.5972744360902256,0.5814144736842105,0.008036316252294829,PASS_size_not_explained
AXL,t1_only,620,0,,,,,,n/a
AXL,full_library,3011,13,0.8786498691435316,9.987850546622212e-10,0.7519115307640991,0.8402524760096475,0.006173125212421628,FAIL_size_only_matches
GALNS,t1_only,620,0,,,,,,n/a
GALNS,full_library,3064,0,,,,,,n/a
ITPKC,t1_only,620,0,,,,,,n/a
ITPKC,full_library,3065,0,,,,,,n/a
MAPK14,t1_only,618,2,,,,,,n/a
MAPK14,full_library,3066,16,0.7785758196721312,5.0936462524742154e-05,0.7285655737704918,0.7871618852459017,0.0031769481200207956,FAIL_size_only_matches
SERPINE1,t1_only,620,0,,,,,,n/a
SERPINE1,full_library,3075,0,,,,,,n/a
SLC2A1,t1_only,620,0,,,,,,n/a
SLC2A1,full_library,3066,1,,,,,,n/a
TNIK,t1_only,620,0,,,,,,n/a
TNIK,full_library,3063,10,0.8242056993121519,6.221348381973968e-05,0.8034719947592532,0.8160334097608909,0.0017534313222293699,FAIL_size_only_matches
VASH2,t1_only,620,0,,,,,,n/a
VASH2,full_library,3070,0,,,,,,n/a
