symbol,median_t1,median_full,delta,rank_t1,rank_full,rank_shift
ACVR1,-7.3905,-7.71,-0.3194999999999997,2,2,0
ADRA2A,-7.127000000000001,-7.127000000000001,0.0,3,3,0
AXL,-6.145,-6.532,-0.38700000000000045,8,7,1
GALNS,-6.199999999999999,-6.496,-0.29600000000000115,7,8,-1
ITPKC,-4.718500000000001,-5.06,-0.341499999999999,10,10,0
MAPK14,-6.3445,-6.599,-0.25450000000000017,6,6,0
SERPINE1,-5.6370000000000005,-5.82,-0.18299999999999983,9,9,0
SLC2A1,-7.4785,-8.005,-0.5265000000000004,1,1,0
TNIK,-6.5885,-6.69,-0.10150000000000059,4,4,0
VASH2,-6.3595,-6.6315,-0.27200000000000024,5,5,0
