set,scale,n_present,mean_Z,stouffer_Z,perm_p,perm_q,stouffer_p,stouffer_q
Neuroinflammation,fixed,19,4.94349202907329,21.548182182929303,0.0004997501249375312,0.0029985007496251873,5.50667987698001e-103,9.912023778564018e-102
Complement,fixed,18,3.44093586084089,14.598654484971386,0.0004997501249375312,0.0029985007496251873,2.864428893182727e-48,1.718657335909636e-47
DAM_microglia,fixed,16,3.883803838437071,15.535215353748285,0.0004997501249375312,0.0029985007496251873,2.0039792062664307e-54,1.8035812856397878e-53
Mitochondria_OXPHOS,fixed,19,-2.372769629573779,-10.342663031614538,0.004497751124437781,0.020239880059970013,4.518047653417511e-25,2.03312144403788e-24
Neuropeptides_pain,fixed,18,2.192655478692605,9.302649346736258,0.012993503248375811,0.04677661169415292,1.3698888524659137e-20,4.9315998688772896e-20
Synaptic,fixed,20,-1.4131806313720119,-6.3199359124677805,0.10594702648675662,0.31784107946026985,2.6167180012199683e-10,7.850154003659905e-10
Nav_SCN,fixed,14,-1.3652366377846032,-5.108247750461181,0.1724137931034483,0.44334975369458135,3.251601239963779e-07,8.361260331335431e-07
P2RX_P2RY,fixed,12,0.8477631223803863,2.9367376014921223,0.4382808595702149,0.7736131934032983,0.003316846234973548,0.006633692469947096
MAPK_kinase,fixed,15,0.7697838465340063,2.9813600178056925,0.44577711144427784,0.7736131934032983,0.0028697120850920957,0.0064568521914572154
Opioid_GPCR,fixed,8,-0.8548923385093283,-2.418000678977486,0.4892553723138431,0.7736131934032983,0.015606047695145082,0.023409071542717624
ASIC,fixed,4,-0.9697036507267021,-1.9394073014534041,0.5262368815592204,0.7736131934032983,0.05245176215901265,0.06743797991873055
K2P_KCNK,fixed,14,0.6597312525016029,2.468488314208247,0.5517241379310345,0.7736131934032983,0.013568508223427292,0.022203013456517387
Autophagy_mitophagy,fixed,11,0.6013151477275502,1.9943367257694125,0.5877061469265368,0.7736131934032983,0.04611526828043306,0.06385190992675346
CPSP_literature,fixed,24,0.5161900362755877,2.5288043983678574,0.6356821589205397,0.7736131934032983,0.011445179195841704,0.020601322552515067
Myelin_OL,fixed,14,0.5068849387796462,1.8965897754293206,0.6446776611694153,0.7736131934032983,0.057882101091132336,0.0694585213093588
Kv_KCNQ_KCNH,fixed,13,0.3295446938389126,1.1881902911932813,0.7671164417791104,0.8487520945409649,0.23475844786268418,0.2641032538455197
CACNA,fixed,18,0.2402159310977637,1.019149882969615,0.8015992003998001,0.8487520945409649,0.3081318153716478,0.3262572162758624
TRP_channels,fixed,12,-0.1663177718476022,-0.5761416620833915,0.888055972013993,0.888055972013993,0.5645194331495187,0.5645194331495187
Sigma1,fixed,1,,,,,,
Neuroinflammation,random,19,2.0024217339997654,8.728353980854461,0.0004997501249375312,0.0029985007496251873,2.5840579351027068e-18,4.651304283184872e-17
Complement,random,18,1.878643442486104,7.970409105681385,0.0004997501249375312,0.0029985007496251873,1.581499482290675e-15,9.48899689374405e-15
DAM_microglia,random,16,2.0692614102578917,8.277045641031567,0.0004997501249375312,0.0029985007496251873,1.2626883720296342e-16,1.1364195348266708e-15
Mitochondria_OXPHOS,random,19,-0.9341651763721055,-4.071931600380857,0.06896551724137931,0.3103448275862069,4.6624872298788383e-05,0.00020981192534454772
K2P_KCNK,random,14,0.957351023914648,3.582079530365839,0.0944527736131934,0.3193403298350824,0.0003408699790716523,0.0012271319246579483
MAPK_kinase,random,15,0.9048473316329212,3.5044586462745233,0.10644677661169415,0.3193403298350824,0.00045753662185532676,0.0013726098655659803
Myelin_OL,random,14,0.8851223274973515,3.311824494879009,0.12843578210894552,0.330263439708717,0.0009268967498300467,0.0023834487852772627
Nav_SCN,random,14,-0.6983435964928069,-2.6129624763235917,0.2353823088455772,0.5047476261869065,0.008976115675310618,0.02019626026944889
P2RX_P2RY,random,12,0.7257674110236837,2.514132060741489,0.25237381309345325,0.5047476261869065,0.011932574201760911,0.023865148403521823
Neuropeptides_pain,random,18,0.4425124210871734,1.877421202260104,0.4897551224387806,0.7948168772756479,0.06046038781461007,0.10882869806629814
Opioid_GPCR,random,8,-0.4164046423059865,-1.177770185168487,0.552223888055972,0.7948168772756479,0.23888823780348178,0.307142020033048
Kv_KCNQ_KCNH,random,13,0.38366113906476085,1.3833099093009154,0.5697151424287856,0.7948168772756479,0.16656986089329784,0.2442305267943124
Autophagy_mitophagy,random,11,0.33616987657844183,1.1149493464307754,0.617191404297851,0.7948168772756479,0.26487212871080446,0.31784655445296534
Synaptic,random,20,-0.3025478487191733,-1.3530351123647881,0.6181909045477262,0.7948168772756479,0.17604441334276144,0.2442305267943124
CPSP_literature,random,24,0.2759672952038838,1.3519581178910616,0.6911544227886057,0.8293853073463269,0.17638871379589227,0.2442305267943124
CACNA,random,18,0.10836603288893347,0.45975814023629574,0.8750624687656172,0.9540523855719198,0.6456898323984325,0.7264010614482366
ASIC,random,4,-0.12572120906250467,-0.25144241812500934,0.9010494752623688,0.9540523855719198,0.8014720759191247,0.8486174921496614
TRP_channels,random,12,0.035356506429041895,0.12247853102647244,0.9610194902548725,0.9610194902548727,0.9025200477318633,0.9025200477318633
Sigma1,random,1,,,,,,
