,symbol,K_ni,Z_NI,p_NI,FDR_NI,ni_consistency,Z_NI_RE,p_NI_RE,FDR_NI_RE,incision_Z,incision_agreement
0,ATF3,5,11.07947418939152,1.57796516458564e-28,1.3059239702110756e-24,1.0,3.419690707022904,0.0006269237160368911,0.0060085937161798615,2.087397648487681,1.0
1,GAL,5,11.251822459439992,2.268555857658681e-29,3.754913655596649e-25,1.0,7.433752657295016,1.055592737255074e-13,9.706761659469993e-11,1.4356020340499613,1.0
2,SMAGP,3,9.658244811858399,4.535681251860115e-22,6.978586570608158e-19,1.0,3.402651326309758,0.0006673538709993876,0.00630841877371894,,
3,ECEL1,5,10.291531314988069,7.694285073981437e-25,3.183895163613519e-21,1.0,5.208989992269193,1.8987135315665795e-07,9.945413409648742e-06,1.4795485332650433,1.0
4,CDHR5,3,9.003917457877343,2.178039137070909e-19,1.567430599860769e-16,1.0,2.374412737624469,0.0175768903559927,0.07666210518376577,3.4248931474833864,1.0
5,NPY,5,10.660787113632272,1.5527766947133614e-26,8.567186616965186e-23,1.0,4.843181588432265,1.2777641280738818e-06,4.640050228876311e-05,0.3642775005767889,1.0
6,FLRT3,5,9.22476485176573,2.841837565967622e-20,2.6132275217720044e-17,1.0,5.812760824922261,6.145083063826952e-09,6.826403682715685e-07,2.6583378956353485,1.0
7,ITGA7,5,9.834798176863714,7.972730314670236e-23,1.6495579021052718e-19,0.8,2.8890497562805773,0.0038640792698690085,0.024411542013309858,1.5699258858831477,1.0
8,STAC2,5,9.256458846650842,2.1132458965523357e-20,2.0575556517490742e-17,0.8,2.059330655427359,0.039462573721751076,0.13818162052938943,2.39675258063748,1.0
9,ADCYAP1,5,10.06766929444569,7.677587612099571e-24,2.117990502591202e-20,1.0,4.637947898669343,3.518854567219554e-06,0.00010236218066189464,0.7165029357910457,1.0
10,IL13RA1,5,8.884098769787796,6.444101945127773e-19,3.555425846525163e-16,1.0,3.583628705863925,0.0003388536750427389,0.0037291928386352486,,
11,TGM1,3,9.869448901422214,5.647402469894823e-23,1.3353686525957017e-19,1.0,2.859360459236478,0.004244961297908728,0.026236967663549392,1.185738957254524,1.0
12,SDC1,5,9.692979770687115,3.2296579635565536e-22,5.939699845865342e-19,1.0,6.032218356960557,1.6172404593262511e-09,2.28791146006565e-07,1.1295983733767603,1.0
13,SOCS3,5,8.782690798634663,1.5960949970798188e-18,8.005625573231867e-16,1.0,2.7850951095598653,0.005351202435929816,0.031224544406912906,,
14,ZDHHC18,5,9.154160435454054,5.478211631696e-20,4.53376794639161e-17,1.0,3.416002065056943,0.0006354776507897918,0.006065989663133007,1.7628829799329375,1.0
15,CCKBR,5,8.898560812012342,5.657548829654963e-19,3.47373771292145e-16,1.0,5.3516857892361935,8.713860927167152e-08,5.505031529254607e-06,2.1518777925858523,1.0
16,COL16A1,5,8.153440566922319,3.5371412810118156e-16,6.969852676584234e-14,1.0,3.325778953072755,0.0008817182287272168,0.007871736851074916,3.137464531190277,1.0
17,VGF,5,9.07312473598591,1.1565176966718627e-19,9.115562340625081e-17,1.0,2.546838292622622,0.010870379250776043,0.05375629213238109,1.5918557788622147,1.0
18,SBNO2,5,9.445634096681717,3.532588659237335e-21,3.898093832513091e-18,1.0,2.6701512975063553,0.007581707552420405,0.04091680568517079,0.985174942934192,1.0
19,SOX11,5,8.556541151942728,1.1630433277979395e-17,3.8501386323422986e-15,1.0,3.639981035116706,0.00027265812216007915,0.0031362315760900834,,
20,NKAIN1,5,8.940313831857651,3.8806670223358196e-19,2.569312022148099e-16,1.0,3.1252126495232906,0.0017767656617522023,0.013434913308964118,1.6743707739209568,1.0
21,DRAXIN,5,8.480613763971661,2.2400908172584556e-17,6.741451492229447e-15,1.0,3.143880455105803,0.0016672353383415301,0.012863236035365025,,
22,CHL1,5,8.830505729261809,1.0420348981030905e-18,5.389925510438236e-16,1.0,5.177083633278238,2.2538120039397475e-07,1.1270421839640695e-05,1.7853445716056238,1.0
23,FADS3,5,8.69308992189792,3.527129921245938e-18,1.4595263614115691e-15,1.0,4.1948512787050465,2.7305068397952717e-05,0.0005029765023319238,1.9674379073645776,1.0
24,AZIN2,5,9.517746906570048,1.7697433958472153e-21,2.0923423348616505e-18,1.0,4.595601489739062,4.315027006632861e-06,0.00011883409050141316,0.6124539060509734,1.0
25,ABCA1,5,8.854182113818087,8.429965331898401e-19,4.501057618502656e-16,1.0,4.257544130823525,2.0668486947038575e-05,0.00040485774668329294,1.6910101943406128,1.0
26,TUBB6,5,9.655963791598177,4.637775028799525e-22,6.978586570608158e-19,1.0,4.746240890735589,2.072318937592974e-06,6.725497650975005e-05,0.305695282062926,1.0
27,MAP7D1,5,8.660482929640898,4.697697875994534e-18,1.8082859358944543e-15,1.0,2.1651051759261217,0.03037963169190654,0.11496197159680774,1.8062018744555177,1.0
28,REG3B,3,10.084880092749035,6.444381724573693e-24,2.117990502591202e-20,1.0,3.042354741201576,0.0023473508044903396,0.016711118501472732,-0.1861994626993967,0.0
29,PLAUR,5,8.675295143973395,4.124792894911358e-18,1.6255612380136379e-15,1.0,6.2308665526871625,4.63862119809321e-10,8.437193194597672e-08,1.6414467545898952,1.0
30,ARG1,3,8.889386064067464,6.144747746825476e-19,3.5071677484639754e-16,1.0,2.7672208967088907,0.005653643258201005,0.03261732422786442,1.5244523828026972,1.0
31,SBF1,5,8.375458124345442,5.5009460678351776e-17,1.4226821767938728e-14,1.0,2.9150918175971228,0.003555839119566561,0.0229817450632822,2.0158108370785426,1.0
32,PTPRO,5,8.697028839596854,3.406868759975524e-18,1.4459100439773044e-15,1.0,2.7783090169764852,0.0054642624731002475,0.031734902615703615,1.4782123479746658,1.0
33,SPRR1A,5,7.812106868557604,5.623984208749362e-15,6.649156187372817e-13,1.0,3.1545358918685027,0.001607536037541284,0.012491988964029734,2.9183408478103936,1.0
34,JUN,5,8.327322161754557,8.269148918214866e-17,2.0428500431983952e-14,0.8,2.167829018270387,0.030171698104621825,0.1143581284698192,2.057965803120748,1.0
35,SEMA3C,5,8.569815550488478,1.036509241857415e-17,3.5012859124946804e-15,1.0,8.569815550488478,1.036509241857415e-17,5.718766990407979e-14,1.653919680987152,1.0
36,MAP2K6,5,-8.386654497128278,5.0017223657124846e-17,1.3352985257624685e-14,1.0,-3.7928372450716457,0.0001489357775964457,0.00193651609644648,-1.9353963620278374,1.0
37,COL7A1,4,8.987452205861414,2.5302772725995346e-19,1.7450478923361456e-16,1.0,5.567839108312684,2.5791780111303395e-08,2.0763191843940334e-06,1.0778364484845802,1.0
38,KIF22,5,9.598258026779662,8.130689738388501e-22,1.121493137915054e-18,1.0,8.783996899419538,1.5776604336995403e-18,1.3056717749297396e-14,-0.053699596112704466,0.0
39,PLEKHO2,5,8.889611460981673,6.132296271858016e-19,3.5071677484639754e-16,1.0,5.423426305287104,5.8467326460566934e-08,3.9989718494847265e-06,1.0997556152793757,1.0
40,AP1S1,5,9.049643176368399,1.4343628345861587e-19,1.0791624380940954e-16,1.0,4.4490250932562345,8.62609388576189e-06,0.00020662678147196934,0.8386243885064434,1.0
41,RND1,5,8.595597016036317,8.283300864642928e-18,2.9805477372080377e-15,1.0,8.318721015695138,8.891756815489193e-17,2.9435271761995426e-13,1.486185952496018,1.0
42,BASP1,5,8.072170711587127,6.905922580260635e-16,1.1663962300864697e-13,0.8,1.693657020758288,0.09033047597819323,0.24502622720272932,,
43,TNKS1BP1,4,8.046495057715006,8.519882613747568e-16,1.355972086757209e-13,1.0,3.5829955412559333,0.000339676407996709,0.003735763392133905,,
44,SEMA6A,5,8.523107894173938,1.5532796559242105e-17,4.764151175085677e-15,1.0,4.407569436194269,1.0453709307260762e-05,0.00023951343208635203,1.479184618214857,1.0
45,GPC1,5,7.729307785104833,1.0813294598996381e-14,1.098046946028148e-12,0.8,1.819429009388679,0.06884600427302102,0.20370737624723703,2.7534940247148363,1.0
46,TNIK,5,7.996448058877853,1.2805975682256337e-15,1.9269500862973354e-13,1.0,3.23836289733768,0.00120217786360042,0.009979161483607899,2.2698263612833287,1.0
47,MIDN,5,8.304830099172841,9.99623828424074e-17,2.39793820406888e-14,1.0,3.5417705174086223,0.00039745108577883423,0.004203584902115824,1.7095895109958563,1.0
