symbol,K,Z_FE,p_FE,Q,tau2,I2,Z_RE,p_RE,FDR_RE,consistency,meta_FDR,FDR_FE,nerve_injury_consistency,K_nerve_injury,incision_lfc,incision_measured,incision_agreement
ATF3,6,10.53326478722921,6.069223687690905e-26,34.06695149721026,2.255613744272246,85.3230189956696,2.9856186821116006,0.0028300529579503198,0.047232529629892,1.0,1.0045779047865986e-21,1.0045779047865986e-21,1.0,5,0.8014242533721352,True,1.0
GAL,6,10.338977724858434,4.695192304649756e-25,28.104829063597116,1.792949288125807,82.2094630474865,3.8637536008814215,0.00011165785511419804,0.005911575195644709,1.0,3.8857411513281385e-21,3.8857411513281385e-21,1.0,5,0.5665499107593992,True,1.0
SMAGP,3,9.658244811858399,4.535681251860115e-22,8.495823988914545,1.184966001758514,76.45902266090229,3.4026513263097584,0.0006673538709993864,0.018078627287695326,1.0,2.5024865360262872e-18,2.5024865360262872e-18,1.0,3,,False,
ECEL1,6,9.543721743119566,1.3779637501592288e-21,26.10042307903731,1.6374061212302842,80.84322240731885,3.487144897608876,0.0004882067746719308,0.014830273108436537,1.0,5.7020139981590115e-18,5.702013998158889e-18,1.0,5,0.4955624490795089,True,1.0
CDHR5,4,9.387908146128765,6.1203671323953726e-21,17.953699896406437,1.4353661368201038,83.29035231005241,3.0159063748390658,0.0025621235822460044,0.04442193006897332,1.0,2.0260863355085418e-17,2.0260863355081643e-17,1.0,3,0.4295934460296509,True,1.0
NPY,6,9.274639430845195,1.7822080875809073e-20,38.44675127612705,2.595488965773662,86.99500000900031,2.773461772331744,0.005546335634188843,0.07014348871384288,1.0,4.916518044273196e-17,4.916518044273196e-17,1.0,5,0.3021868119271387,True,1.0
FLRT3,6,9.251705143719255,2.209394725317804e-20,13.123516049285941,0.6303899620964437,61.90045425919182,4.770986773613043,1.8332557959995753e-06,0.0003371561103931663,1.0,5.224271641923237e-17,5.224271641922899e-17,1.0,5,0.4565686901974217,True,1.0
ITGA7,6,9.201845392265088,3.5185432868939547e-20,51.85955557677306,3.6363310276828615,90.35857530132903,2.9007762990582684,0.0037223951062518856,0.056267656437151786,0.8333333333333334,7.279866060583592e-17,7.279866060583592e-17,0.8,5,0.3684084890029027,True,1.0
STAC2,6,9.14180003954519,6.142132573074592e-20,38.75540164488607,2.6194404287956563,87.09857261752887,2.3403311036210255,0.019266650588887383,0.14319784487977727,0.8333333333333334,1.129606426105921e-16,1.1296064261058962e-16,0.8,5,0.9906954266863373,True,1.0
ADCYAP1,6,8.953599534156496,3.4407534836871653e-19,32.33449988135099,2.1211744076808636,84.5366403737583,2.9855427407092354,0.00283075576322214,0.047232529629892,1.0,5.695135166198997e-16,5.695135166198996e-16,1.0,5,0.4253885393399521,True,1.0
