symbol,set,in_ML_pool,recovery_freq
CDHR5,dock_eligible_17,True,0.155
GALNS,dock_eligible_17,True,0.1
TFE3,dock_eligible_17,True,0.07
PTPN23,dock_eligible_17,True,0.065
ITPKC,dock_eligible_17,True,0.05
NPY,dock_eligible_17,True,0.05
SLC2A1,dock_eligible_17,True,0.05
AXL,dock_eligible_17,True,0.045
FLRT3,dock_eligible_17,True,0.04
VASH2,dock_eligible_17,True,0.035
MAPK14,dock_eligible_17,True,0.03
FLNC,dock_eligible_17,True,0.025
RUBCN,dock_eligible_17,True,0.02
TNIK,dock_eligible_17,True,0.02
SERPINE1,dock_eligible_17,True,0.015
CTTN,dock_eligible_17,True,0.01
ACVR1,dock_eligible_17,True,0.005
GALNS,docked_9,True,0.1
ITPKC,docked_9,True,0.05
SLC2A1,docked_9,True,0.05
AXL,docked_9,True,0.045
VASH2,docked_9,True,0.035
MAPK14,docked_9,True,0.03
TNIK,docked_9,True,0.02
SERPINE1,docked_9,True,0.015
ACVR1,docked_9,True,0.005
