symbol,chembl_id,affinity,n_modes,rmsd_lb,rmsd_ub,sec,rc,err,tag,exh,max_evals,drug_lc,pref_name,mw,logp,tpsa,hbd,hba,rotb,charge,n_torsions,drh_phase,drh_moa,drh_indication,pain_prior,atc,neg_aff,pct_in_target,n_ligands_target,z_in_target
ACVR1,CHEMBL2,-6.647,3,0.0,0.0,5.0,0,,_selftest,1,0,prazosin,PRAZOSIN,383.4,1.78,107.0,1.0,8.0,4.0,0.0,10.0,Launched,adrenergic receptor antagonist,hypertension,False,C02CA01,6.647,38.375,400,-0.2514345566281415
ACVR1,CHEMBL442,-8.538,3,0.0,0.0,5.0,0,,_selftest,1,0,ergotamine,ERGOTAMINE,581.7,1.99,118.2,3.0,6.0,4.0,0.0,10.0,Launched,adrenergic receptor antagonist,migraine headache,False,N02CA72;N02CA02;N02CA52,8.538,88.75,400,1.1825826546875062
ACVR1,CHEMBL42,-6.956,3,0.0,0.0,5.0,0,,_selftest,1,0,clozapine,CLOZAPINE,326.8,3.72,30.9,1.0,4.0,0.0,0.0,0.0,Launched,dopamine receptor antagonist|serotonin receptor antagonist,schizophrenia,False,N05AH02,6.956,49.5,400,-0.017108105916065708
ACVR1,CHEMBL445,-7.663,3,0.0,0.0,5.0,0,,_selftest,1,0,nortriptyline,NORTRIPTYLINE,263.4,3.83,12.0,1.0,1.0,3.0,0.0,14.0,Launched,tricyclic antidepressant,depression,True,N06AA10,7.663,70.375,400,0.5190368800173889
ACVR1,CHEMBL459,-6.88,3,0.0,0.0,5.0,0,,_selftest,1,0,methyldopa,METHYLDOPA,211.2,0.44,103.8,4.0,4.0,3.0,0.0,14.0,Launched,adrenergic receptor agonist,hypertension,False,C02AB01,6.88,45.75,400,-0.074741796058842
ACVR1,CHEMBL71,-6.101,3,0.0,0.0,5.0,0,,_selftest,1,0,chlorpromazine,CHLORPROMAZINE,318.9,4.89,6.5,0.0,3.0,4.0,0.0,8.0,Launched,dopamine receptor antagonist,schizophrenia|nausea|vomiting|acute intermittent porphyria (AIP)|tetanus,False,N05AA01,6.101,24.5,400,-0.6654871200222949
ACVR1,CHEMBL72,-7.719,3,0.0,0.0,5.0,0,,_selftest,1,0,desipramine,DESIPRAMINE,266.4,3.53,15.3,1.0,2.0,4.0,0.0,16.0,Launched,tricyclic antidepressant,depression,False,N06AA01,7.719,72.75,400,0.5615038095962764
ACVR1,CHEMBL493,-5.055,3,0.0,0.0,5.0,0,,_selftest,1,0,bromocriptine,BROMOCRIPTINE,654.6,3.19,118.2,3.0,6.0,5.0,0.0,12.0,Launched,dopamine receptor agonist,hyperprolactinemia|Parkinson's Disease|acromegaly,False,G02CB01;N04BC01,5.055,7.75,400,-1.458708697513658
ACVR1,CHEMBL85,-7.234,3,0.0,0.0,5.0,0,,_selftest,1,0,risperidone,RISPERIDONE,410.5,3.59,64.2,0.0,5.0,4.0,0.0,8.0,Launched,dopamine receptor antagonist|serotonin receptor antagonist,schizophrenia|bipolar disorder|irritability,False,N05AX08,7.234,57.75,400,0.19370986592198267
ACVR1,CHEMBL531,-6.13,3,0.0,0.0,5.0,0,,_selftest,1,0,pergolide,PERGOLIDE,314.5,4.27,19.0,1.0,2.0,4.0,0.0,8.0,Withdrawn,dopamine receptor agonist,,False,N04BC02,6.13,25.25,400,-0.6434953172046568
ACVR1,CHEMBL589,-6.004,3,0.0,0.0,5.0,0,,_selftest,1,0,ropinirole,ROPINIROLE,260.4,2.85,32.3,1.0,2.0,7.0,0.0,14.0,Launched,dopamine receptor agonist,Parkinson's Disease|restless leg syndrome,False,N04BC04,6.004,22.0,400,-0.7390459087571539
ACVR1,CHEMBL597,-4.876,3,0.0,0.0,5.0,0,,_selftest,1,0,phentolamine,PHENTOLAMINE,281.4,2.84,47.9,2.0,4.0,4.0,0.0,10.0,Launched,adrenergic receptor antagonist,pheochromocytoma|hypertension,False,C04AB01;V03AB36,4.876,5.5,400,-1.5944512045604589
ACVR1,CHEMBL19236,-6.189,3,0.0,0.0,5.0,0,,_selftest,1,0,moxonidine,MOXONIDINE,241.7,0.82,71.4,2.0,6.0,2.0,0.0,4.0,Launched,imidazoline receptor agonist,hypertension,False,C02AC05,6.189,27.250000000000004,400,-0.598753373541186
