chembl_id,pref_name,n_targets,n_top1pct,n_top5pct,best_composite,mean_composite,best_affinity,med_affinity,best_target,pain_prior,drh_phase,drh_moa,drh_indication,mw,logp,tpsa,D2,D3,breadth_bonus,drug_rank_score
CHEMBL761,NAPHAZOLINE,10,0,3,0.8381742857142858,0.5817174285714286,-9.802,-7.913500000000001,ADRA2A,False,Launched,adrenergic receptor agonist,eye irritation,210.3,2.38,24.4,0.4,1.0,0.5781296526357756,0.7731631274446583
CHEMBL762,OXYMETAZOLINE,10,1,3,0.8281742857142858,0.5282174285714285,-10.403,-7.8035,ADRA2A,False,Launched,adrenergic receptor agonist,nasal congestion,260.4,2.85,44.6,0.4,1.0,0.5781296526357756,0.7656631274446583
CHEMBL589,ROPINIROLE,10,1,2,0.8431742857142857,0.5061674285714286,-9.88,-7.1240000000000006,ADRA2A,False,Launched,dopamine receptor agonist,Parkinson's Disease|restless leg syndrome,260.4,2.85,32.3,0.4,1.0,0.45815690999132624,0.7469199417835458
CHEMBL531,PERGOLIDE,10,1,2,0.8211742857142857,0.5034174285714286,-9.839,-7.25,ADRA2A,False,Withdrawn,dopamine receptor agonist,,314.5,4.27,19.0,0.4,0.9,0.45815690999132624,0.7304199417835459
CHEMBL445,NORTRIPTYLINE,10,0,2,0.8061742857142857,0.5673674285714286,-9.545,-8.033999999999999,ADRA2A,True,Launched,tricyclic antidepressant,depression,263.4,3.83,12.0,0.4,1.0,0.45815690999132624,0.7191699417835459
CHEMBL1201087,CABERGOLINE,10,1,2,0.7991742857142857,0.49051742857142855,-10.381,-7.5825,ADRA2A,False,Launched,dopamine receptor agonist,hyperprolactinemia,451.6,3.19,71.7,0.4,0.8,0.45815690999132624,0.7139199417835458
CHEMBL255044,FLUPIRTINE,10,0,1,0.8551742857142857,0.5632174285714286,-9.478,-7.21,ADRA2A,True,Launched,glutamate receptor antagonist,pain relief,304.3,2.98,89.3,0.6000000000000001,1.0,0.2890648263178878,0.7136469208651861
CHEMBL289480,RILMENIDINE,10,0,2,0.7931742857142858,0.5225174285714286,-9.527,-7.5634999999999994,ADRA2A,False,Launched,adrenergic receptor agonist|imidazoline receptor agonist,hypertension,180.3,1.15,33.6,0.4,1.0,0.45815690999132624,0.709419941783546
CHEMBL19236,MOXONIDINE,10,0,2,0.7931742857142857,0.4473674285714286,-9.613,-6.4525,ADRA2A,False,Launched,imidazoline receptor agonist,hypertension,241.7,0.82,71.4,0.4,0.8,0.45815690999132624,0.7094199417835458
CHEMBL1732,DIHYDROERGOTAMINE,10,0,1,0.8401742857142858,0.5518174285714286,-9.819,-7.5725,ADRA2A,False,Launched,serotonin receptor agonist,migraine headache,583.7,2.08,118.2,0.6000000000000001,0.75,0.2890648263178878,0.7023969208651862
CHEMBL715,OLANZAPINE,10,0,1,0.8341742857142858,0.5151174285714286,-9.518,-7.202500000000001,ADRA2A,False,Launched,dopamine receptor antagonist|serotonin receptor antagonist,schizophrenia|bipolar disorder,312.4,3.44,30.9,0.4,1.0,0.2890648263178878,0.6978969208651862
CHEMBL621,TRAZODONE,10,0,1,0.8321742857142858,0.5214674285714286,-9.474,-7.265000000000001,ADRA2A,False,Launched,adrenergic receptor antagonist|serotonin receptor antagonist|serotonin reuptake inhibitor,depression,371.9,2.36,45.8,0.4,1.0,0.2890648263178878,0.6963969208651862
