miRNA,symbol,score
hsa-miR-606,ACVR1,96.9747548056
hsa-miR-518a-5p,ACVR1,96.4203672486228
hsa-miR-527,ACVR1,96.4203672486228
hsa-miR-454-3p,ACVR1,95.23518548302
hsa-miR-6868-5p,ACVR1,94.8438
hsa-miR-130a-3p,ACVR1,94.83525937447
hsa-miR-130b-3p,ACVR1,94.83525937447
hsa-miR-301a-3p,ACVR1,94.83525937447
hsa-miR-301b-3p,ACVR1,94.83525937447
hsa-miR-3666,ACVR1,94.83525937447
hsa-miR-4295,ACVR1,94.83525937447
hsa-miR-12136,ACVR1,94.111034719
hsa-miR-548aj-3p,ACVR1,93.89580088
hsa-miR-548x-3p,ACVR1,93.89580088
hsa-miR-4452,ACVR1,93.49364
hsa-miR-548ae-3p,ACVR1,92.4606301681
hsa-miR-548ah-3p,ACVR1,92.4606301681
hsa-miR-548am-3p,ACVR1,92.4606301681
hsa-miR-548aq-3p,ACVR1,92.4606301681
hsa-miR-548j-3p,ACVR1,92.4606301681
hsa-miR-193a-5p,ACVR1,91.60862
hsa-miR-365a-3p,ACVR1,91.201069972
hsa-miR-365b-3p,ACVR1,91.201069972
hsa-miR-5692a,ACVR1,88.7425
hsa-let-7a-3p,ACVR1,87.6465
hsa-let-7b-3p,ACVR1,87.6465
hsa-miR-98-3p,ACVR1,87.6465
hsa-miR-203b-3p,ACVR1,86.644
hsa-miR-376a-2-5p,ACVR1,86.4716
hsa-miR-7975,ACVR1,86.0365
hsa-miR-519a-3p,ACVR1,85.9177
hsa-miR-519b-3p,ACVR1,85.9177
hsa-miR-519c-3p,ACVR1,85.9177
hsa-let-7f-1-3p,ACVR1,85.7919
hsa-miR-8066,ACVR1,85.4249600843
hsa-miR-4799-5p,ACVR1,84.6299
hsa-miR-570-3p,ACVR1,82.8254
hsa-miR-450b-5p,ACVR1,82.638100725
hsa-miR-8485,ACVR1,81.9886
hsa-miR-148a-3p,ACVR1,80.9015
hsa-miR-148b-3p,ACVR1,80.9015
hsa-miR-152-3p,ACVR1,80.9015
hsa-miR-1277-5p,ACVR1,80.7628
hsa-miR-182-5p,ACVR1,77.5097
hsa-miR-548ac,ACVR1,77.423301568
hsa-miR-548bb-3p,ACVR1,77.423301568
hsa-miR-548d-3p,ACVR1,77.423301568
hsa-miR-548h-3p,ACVR1,77.423301568
hsa-miR-548z,ACVR1,77.423301568
hsa-miR-30a-5p,ACVR1,77.4084
hsa-miR-30b-5p,ACVR1,77.4084
hsa-miR-30c-5p,ACVR1,77.4084
hsa-miR-30d-5p,ACVR1,77.4084
hsa-miR-30e-5p,ACVR1,77.4084
hsa-miR-549a-3p,ACVR1,77.4039588183
hsa-miR-4720-5p,ACVR1,77.2479
hsa-miR-4799-3p,ACVR1,77.2479
hsa-miR-5588-5p,ACVR1,77.2479
hsa-miR-338-3p,ACVR1,76.6628
hsa-miR-3128,ACVR1,76.5436
hsa-miR-3163,ACVR1,76.4214
hsa-miR-323a-3p,ACVR1,75.7195
hsa-miR-1972,ACVR1,75.6138
hsa-miR-6868-3p,ACVR1,73.4061
hsa-miR-6888-5p,ACVR1,73.2574
hsa-miR-302b-5p,ACVR1,73.1885742262
hsa-miR-302d-5p,ACVR1,73.1885742262
hsa-miR-4282,ACVR1,72.3949458196
hsa-miR-545-5p,ACVR1,71.9158
hsa-miR-3686,ACVR1,71.858
hsa-miR-6719-3p,ACVR1,71.2865300904
hsa-miR-5700,ACVR1,70.2388
hsa-miR-6782-3p,ACVR1,69.9433
hsa-miR-9718,ACVR1,69.6786
hsa-miR-3150a-3p,ACVR1,69.0857380131
hsa-miR-6763-5p,ACVR1,69.0857380131
hsa-miR-4691-5p,ACVR1,69.0066
hsa-miR-6792-3p,ACVR1,69.0066
hsa-miR-4775,ACVR1,68.9615
hsa-miR-19a-5p,ACVR1,66.3083
hsa-miR-19b-1-5p,ACVR1,66.3083
hsa-miR-19b-2-5p,ACVR1,66.3083
hsa-miR-122-5p,ACVR1,66.1934
hsa-miR-101-5p,ACVR1,65.8876
hsa-miR-4671-3p,ACVR1,65.68
hsa-miR-1248,ACVR1,65.1747
hsa-miR-628-5p,ACVR1,65.1719
hsa-miR-137-3p,ACVR1,64.3483
hsa-miR-10226,ACVR1,64.3454
hsa-miR-4483,ACVR1,63.5829
hsa-miR-6080,ACVR1,62.8853
hsa-miR-3611,ACVR1,62.8655362235
hsa-miR-548c-3p,ACVR1,62.201572125
hsa-miR-3660,ACVR1,62.045076917
hsa-miR-6825-5p,ACVR1,61.99600819
hsa-let-7f-2-3p,ACVR1,61.3908
hsa-miR-548n,ACVR1,61.3883
hsa-miR-4650-5p,ACVR1,61.1477
hsa-miR-4638-3p,ACVR1,61.0153
hsa-miR-302c-5p,ACVR1,60.9708
hsa-miR-526b-5p,ACVR1,59.0865
hsa-miR-6793-3p,ACVR1,58.6199
hsa-miR-141-5p,ACVR1,57.9863
hsa-miR-586,ACVR1,57.9659
hsa-miR-3162-3p,ACVR1,57.7075
hsa-miR-4505,ACVR1,57.6667
hsa-miR-5787,ACVR1,57.6667
hsa-miR-5197-5p,ACVR1,57.2428
hsa-miR-3662,ACVR1,56.292750444
hsa-miR-8075,ACVR1,56.0028
hsa-miR-10393-5p,ACVR1,55.9988
hsa-miR-4526,ACVR1,55.8271268325
hsa-miR-6730-3p,ACVR1,55.8271268325
hsa-miR-4310,ACVR1,55.5926
hsa-miR-4304,ACVR1,53.9836
hsa-miR-202-5p,ACVR1,53.8954
hsa-miR-1293,ACVR1,53.8053
hsa-miR-381-5p,ACVR1,53.3431
hsa-miR-1185-1-3p,ACVR1,53.3402
hsa-miR-1185-2-3p,ACVR1,53.3402
hsa-miR-4789-5p,ACVR1,53.3402
hsa-miR-8078,ACVR1,52.8238
hsa-miR-4668-3p,ACVR1,52.2413
hsa-miR-1343-5p,ACVR1,52.077648042
hsa-miR-939-5p,ACVR1,52.077648042
hsa-miR-4524a-3p,ACVR1,51.262
hsa-miR-155-5p,ACVR1,51.0933
hsa-miR-300,ACVR1,50.7923
hsa-miR-381-3p,ACVR1,50.7923
hsa-miR-337-3p,ACVR1,50.0
hsa-miR-499b-5p,AGRN,91.37255
hsa-miR-3121-3p,AGRN,90.74538
hsa-miR-802,AGRN,90.0889742002
hsa-miR-520d-5p,AGRN,88.3278
hsa-miR-524-5p,AGRN,88.3278
hsa-miR-4494,AGRN,85.6841
hsa-miR-12122,AGRN,81.9463
hsa-miR-4660,AGRN,78.7335
hsa-miR-6825-5p,AGRN,75.0261
hsa-miR-6733-5p,AGRN,73.7463
hsa-miR-6739-5p,AGRN,73.7463
hsa-miR-296-5p,AGRN,71.7668
hsa-miR-4283,AGRN,71.2700681435245
hsa-miR-27a-3p,AGRN,68.973575065
hsa-miR-27b-3p,AGRN,68.973575065
hsa-miR-9985,AGRN,68.973575065
hsa-miR-642a-3p,AGRN,68.9077
hsa-miR-642b-3p,AGRN,68.9077
hsa-miR-4498,AGRN,67.8481002426421
hsa-miR-5787,AGRN,67.6222302472915
hsa-miR-3153,AGRN,66.6474
hsa-miR-548e-5p,AGRN,64.0371
hsa-miR-1291,AGRN,63.8753365453
hsa-miR-6775-3p,AGRN,63.8753365453
hsa-miR-4505,AGRN,63.7057019376423
hsa-miR-491-5p,AGRN,63.3359659474533
hsa-miR-494-3p,AGRN,63.1029
hsa-miR-940,AGRN,61.6578456477017
hsa-miR-5001-5p,AGRN,61.0583951823274
hsa-miR-6808-5p,AGRN,60.9298279957357
hsa-miR-6893-5p,AGRN,60.9298279957357
hsa-miR-4492,AGRN,60.8238645267578
hsa-miR-762,AGRN,60.4658404317749
hsa-miR-92a-2-5p,AGRN,59.723329184
hsa-miR-7111-3p,AGRN,59.273319754
hsa-miR-3065-3p,AGRN,59.2459
hsa-miR-185-3p,AGRN,59.005684810497
hsa-miR-4508,AGRN,58.75830541
hsa-miR-184,AGRN,58.6101
hsa-miR-7160-3p,AGRN,58.3116385888
hsa-miR-608,AGRN,56.4475649349026
hsa-miR-6842-5p,AGRN,55.4643613084
hsa-miR-7110-5p,AGRN,55.4643613084
hsa-miR-6516-5p,AGRN,55.4555418328
hsa-miR-514a-3p,AGRN,55.4545
hsa-miR-514b-3p,AGRN,55.4545
hsa-miR-6852-5p,AGRN,55.080525323
hsa-miR-330-5p,AGRN,54.5819
hsa-miR-3202,AGRN,54.3536996122961
hsa-miR-31-5p,AGRN,54.0752
hsa-miR-561-3p,AGRN,53.7661
hsa-miR-128-3p,AGRN,53.7499524645
hsa-miR-216a-3p,AGRN,53.7499524645
hsa-miR-874-5p,AGRN,53.2289711953
hsa-miR-3918,AGRN,52.629049618945
hsa-miR-3681-3p,AGRN,51.927582376
hsa-miR-4731-5p,AGRN,51.284201206
hsa-miR-326,AGRN,51.2481
hsa-miR-205-3p,AGRN,50.0
hsa-miR-5692a,ANKRD1,97.330669120545
hsa-miR-20a-3p,ANKRD1,91.2191930209
hsa-miR-3163,ANKRD1,89.1064
hsa-miR-8055,ANKRD1,87.9775
hsa-miR-8088,ANKRD1,87.2152
hsa-miR-4768-3p,ANKRD1,87.0214
hsa-miR-6765-3p,ANKRD1,86.2453
hsa-miR-4729,ANKRD1,86.1111
hsa-miR-4297,ANKRD1,85.6196368314
hsa-miR-425-5p,ANKRD1,85.3006
hsa-miR-548c-3p,ANKRD1,85.1163563130158
hsa-miR-4509,ANKRD1,82.8376
hsa-miR-338-5p,ANKRD1,79.3877007061
hsa-miR-760,ANKRD1,78.325
hsa-miR-4446-3p,ANKRD1,77.5168
hsa-miR-6515-3p,ANKRD1,75.9203783614
hsa-miR-3160-5p,ANKRD1,75.4863
hsa-miR-642a-3p,ANKRD1,74.3788
hsa-miR-642b-3p,ANKRD1,74.3788
hsa-miR-506-5p,ANKRD1,73.688
hsa-miR-5003-5p,ANKRD1,73.6146
hsa-miR-6849-3p,ANKRD1,72.1567
hsa-miR-6837-3p,ANKRD1,71.580106957
hsa-miR-4427,ANKRD1,71.4949
hsa-miR-4666a-3p,ANKRD1,71.0111321604984
hsa-miR-1225-5p,ANKRD1,70.0577
hsa-miR-493-5p,ANKRD1,69.9409
hsa-miR-6835-5p,ANKRD1,69.5128
hsa-miR-5581-5p,ANKRD1,67.52985
hsa-miR-6509-3p,ANKRD1,66.8534
hsa-miR-3121-3p,ANKRD1,65.9334
hsa-miR-4698,ANKRD1,65.8683
hsa-miR-3662,ANKRD1,65.4619
hsa-miR-7152-5p,ANKRD1,62.9993
hsa-miR-582-5p,ANKRD1,62.2535
hsa-miR-371b-5p,ANKRD1,61.7584
hsa-miR-373-5p,ANKRD1,61.7584
hsa-miR-616-5p,ANKRD1,61.7584
hsa-miR-493-3p,ANKRD1,61.7063
hsa-let-7a-3p,ANKRD1,61.5086974753
hsa-let-7b-3p,ANKRD1,61.5086974753
hsa-let-7f-1-3p,ANKRD1,61.5086974753
hsa-miR-98-3p,ANKRD1,61.5086974753
hsa-miR-4325,ANKRD1,60.547
hsa-miR-548aj-3p,ANKRD1,59.2255
hsa-miR-548x-3p,ANKRD1,59.2255
hsa-miR-3658,ANKRD1,58.6596
hsa-miR-3920,ANKRD1,55.1491
hsa-miR-548ae-3p,ANKRD1,55.1278
hsa-miR-548ah-3p,ANKRD1,55.1278
hsa-miR-548am-3p,ANKRD1,55.1278
hsa-miR-548aq-3p,ANKRD1,55.1278
hsa-miR-548j-3p,ANKRD1,55.1278
hsa-miR-544a,ANKRD1,54.6086603206
hsa-miR-3664-5p,ANKRD1,54.4416
hsa-miR-4680-3p,ANKRD1,52.4057
hsa-miR-6748-3p,ANKRD1,51.422
hsa-miR-181a-2-3p,ANKRD1,50.9917
hsa-miR-1323,ANKRD1,50.0
hsa-miR-4766-5p,ANKRD1,50.0
hsa-miR-5708,ANKRD1,50.0
hsa-miR-5682,ANKRD13B,97.05955
hsa-miR-4447,ANKRD13B,95.8880311086416
hsa-miR-550b-2-5p,ANKRD13B,93.881190223
hsa-miR-210-5p,ANKRD13B,92.819892546391
hsa-miR-585-5p,ANKRD13B,92.54284
hsa-miR-1199-5p,ANKRD13B,91.5207430192144
hsa-miR-6751-3p,ANKRD13B,91.5207430192144
hsa-miR-767-5p,ANKRD13B,89.6068795425
hsa-miR-29a-3p,ANKRD13B,89.5876
hsa-miR-29b-3p,ANKRD13B,89.5876
hsa-miR-29c-3p,ANKRD13B,89.5876
hsa-miR-7113-3p,ANKRD13B,89.3331
hsa-miR-4472,ANKRD13B,87.9552176823863
hsa-miR-6756-5p,ANKRD13B,86.1610701160207
hsa-miR-599,ANKRD13B,85.4756933618824
hsa-miR-4254,ANKRD13B,81.6498
hsa-miR-3613-3p,ANKRD13B,81.2998
hsa-miR-4677-5p,ANKRD13B,81.2239
hsa-miR-455-5p,ANKRD13B,81.0
hsa-miR-6766-5p,ANKRD13B,80.3009543107653
hsa-miR-6848-5p,ANKRD13B,79.8095699851597
hsa-miR-6080,ANKRD13B,77.4992
hsa-miR-608,ANKRD13B,76.8270267883061
hsa-miR-4651,ANKRD13B,76.5420123078987
hsa-miR-3151-5p,ANKRD13B,76.0447649901569
hsa-miR-1275,ANKRD13B,74.3562029770718
hsa-miR-6846-5p,ANKRD13B,74.3555971515666
hsa-miR-6737-3p,ANKRD13B,73.3183824077
hsa-miR-6871-3p,ANKRD13B,72.4215
hsa-miR-92a-2-5p,ANKRD13B,72.1407442691625
hsa-miR-2110,ANKRD13B,71.58
hsa-miR-7157-3p,ANKRD13B,70.6169492898
