symbol,n_scored,n_t1,n_t2,best_affinity,p1,median_affinity,q1,q3,n_le_9,n_le_10,pdb_id,box_volume,receptor_atoms,ref_lig_heavy,rank_by_median,rank_by_depth9
SLC2A1,3066,620,2446,-15.71,-11.94,-8.005,-9.151,-6.82925,840,327,6THA,12930.302385,3478.0,22.0,1,1
ACVR1,3075,620,2455,-14.55,-10.72,-7.71,-8.621,-6.582,492,125,6SRH,14041.380000000001,4673.0,32.0,2,2
ADRA2A,3070,620,2450,-12.52,-10.5224,-7.5055,-8.45575,-6.512,444,96,6KUX,12545.533962,2900.0,25.0,3,3
TNIK,3063,620,2443,-11.48,-10.0828,-6.69,-7.616,-5.806,162,36,6RA7,11134.331208,2349.0,22.0,4,4
VASH2,3070,620,2450,-10.1,-9.29396,-6.6315,-7.37,-5.8294999999999995,67,2,6J4P,11939.576544,2024.0,23.0,5,5
MAPK14,3066,618,2448,-10.04,-9.29415,-6.599,-7.382,-5.833,50,1,3LFF,16161.116928000003,2675.0,28.0,6,7
AXL,3071,620,2451,-10.59,-9.338799999999999,-6.52,-7.449,-5.552,51,13,5U6B,14999.206103999999,8918.0,32.0,7,6
GALNS,3064,620,2444,-10.09,-8.98114,-6.496,-7.2395,-5.6115,29,1,4FDJ,9636.643744,7787.0,15.0,8,8
SERPINE1,3075,620,2455,-9.004,-7.910799999999999,-5.82,-6.412,-5.179,2,0,7AQF,17442.84672,5746.0,27.0,9,9
ITPKC,3065,620,2445,-8.722,-7.089,-5.06,-5.681,-4.441,0,0,2A98,11921.008640000002,2075.0,24.0,10,10
