symbol,n_known_pairs,n_ligands,known_median_aff,all_median_aff,known_median_pct,auc_known_vs_rest,reliable,known_drugs
ADRA2A,50,400,-9.1645,-6.9485,91.375,0.9678285714285715,True,AMITRIPTYLINE;AMOXAPINE;APRACLONIDINE;ARIPIPRAZOLE;BRIMONIDINE;BROMOCRIPTINE;CABERGOLINE;CELIPROLOL
ACVR1,0,400,,-7.0145,,,,
AXL,0,400,,-6.9485,,,,
GALNS,0,400,,-6.9765,,,,
ITPKC,0,400,,-7.01,,,,
MAPK14,0,400,,-7.082,,,,
SERPINE1,0,400,,-6.9925,,,,
SLC2A1,0,400,,-7.0634999999999994,,,,
TNIK,0,400,,-7.1475,,,,
VASH2,0,400,,-7.0495,,,,
